run_name,test_file,arc_num_params,arc_features,arc_encoder_blocks,arc_latent_volume,arc_skip,arc_num_conv,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
paper_based_unet_features-n8-4-n16-3-pool-max-up-upsample-skip1-add-cat,test_0.csv,13988,"[4, 8, 8, 8, 8, 16, 16, 16]",7,16.0,1,2,0.0009516128162346989,0.00015654027217295858,0.00013038196742980228,1.0,0.9999886658349421,0.9999915782597916,0.9999886685785865,1.0,0.9999915813577587,0.994198312236287,1.0,0.9956896551724138
paper_based_unet_features-n8-4-n16-3-pool-max-up-upsample-skip0,test_0.csv,11636,"[4, 8, 8, 8, 8, 16, 16, 16]",7,16.0,0,2,0.15073330324724757,0.14173181218152142,0.1488089389328299,0.731827422533984,0.7122655166728021,0.7183652295171158,0.7972695394910337,0.8129384566326531,0.8020356276939655,0.0,0.0,0.0
paper_based_unet_features-n8-4-n16-2-pool-max-up-upsample-skip1-add-cat,test_0.csv,9956,"[4, 8, 8, 8, 8, 16, 16]",6,32.0,1,2,0.0007725944084347175,0.00013469551450558654,0.0001267347290885137,0.9999900300413246,0.999977327145819,1.0,0.999977337157173,0.9999900350765306,1.0,0.9936708860759493,0.9948979591836735,1.0
paper_based_unet_features-n8-4-n16-2-pool-max-up-upsample-skip0,test_0.csv,8372,"[4, 8, 8, 8, 8, 16, 16]",6,32.0,0,2,0.14107878229537593,0.13665308681677799,0.13922101374844026,0.7502338335839055,0.7459194234493738,0.7360558818913363,0.805374596189346,0.8137755102040817,0.8049400592672413,0.0,0.0,0.0
paper_based_unet_features-n8-4-n16-1-pool-max-up-upsample-skip1-add-cat,test_0.csv,5924,"[4, 8, 8, 8, 8, 16]",5,64.0,1,2,0.0012241421022525113,0.0004356968910338319,0.0003556573220552748,1.0,0.9999938167261705,1.0,0.9999938192246836,1.0,1.0,0.9968354430379747,1.0,1.0
paper_based_unet_features-n8-4-n16-1-pool-max-up-upsample-skip0,test_0.csv,5108,"[4, 8, 8, 8, 8, 16]",5,64.0,0,2,0.14044287854231863,0.1378143733861495,0.14254830032587051,0.7512071595080916,0.7509972029082957,0.7453093491193339,0.8089718074235233,0.8144630899234694,0.8074909078663793,0.0,0.0,0.0
paper_based_unet_features-n8-4-n16-0-pool-max-up-upsample-skip1-add-cat,test_0.csv,3860,"[4, 8, 8, 8, 8]",4,64.0,1,2,0.0010136634303956344,0.00035689648998692174,0.00019734786737585794,0.9998803427038215,0.9998948711493433,0.9999241965126974,0.9998949268196202,0.9998804209183674,0.9999242322198276,0.9462025316455697,0.9387755102040817,0.9612068965517241
paper_based_unet_features-n8-4-n16-0-pool-max-up-upsample-skip0,test_0.csv,3236,"[4, 8, 8, 8, 8]",4,64.0,0,2,0.14039308277552137,0.13511555550657972,0.14213525208419767,0.7399493687229663,0.7336214421865757,0.723746513568087,0.8028136949498945,0.8131875797193877,0.8024733970905172,0.0,0.0,0.0
paper_based_unet_features-n8-3-n16-3-pool-max-up-upsample-skip1-add-cat,test_0.csv,12932,"[4, 8, 8, 8, 16, 16, 16]",6,32.0,1,2,0.001437570258274081,0.0009165913287113059,0.0009276104904309815,0.9993224254821432,0.999450906679791,0.9992428918956322,0.9994509411260548,0.9993223852040817,0.9992423221982759,0.7626582278481012,0.7244897959183674,0.6810344827586207
paper_based_unet_features-n8-3-n16-3-pool-max-up-upsample-skip0,test_0.csv,10772,"[4, 8, 8, 8, 16, 16, 16]",6,32.0,0,2,0.13971316806563344,0.1359789158616747,0.13782593042686067,0.7528849260799504,0.754776071615177,0.75651792048249,0.8095538304324894,0.8160076530612245,0.8114055765086207,0.0,0.0,0.0
