"experiment_name","run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_layers","arc_num_conv2","arc_latent_dim","arc_latent_volume","arc_skip","arc_encoder_blocks","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
UNet_selection_v4p,"567f21e8cff642949fd6a1ae676423ea",A_nc1-resnet0-nc1-2encode-flat1-skip0,16,"8","16","3","2","2","1","0","1","64","512","0","2",16,0.08640532813306097,0.8943870319092827,0.0,0.886163049962831,0.12117223593653464,0.8435706313775511,0.0,0.8242287140778832,0.11117679998278618,0.8582721578663793,0.0,0.8442735101600438
UNet_selection_v4p,"529e8931d538446fa99938f61f4e2a7a",A_nc1-resnet0-nc1-2encode-flat1-skip1,19,"8","16","3","2","2","1","0","1","64","512","1","2",19,0.004400326312865417,0.9980891102979957,0.3802742616033755,0.9980849779701215,0.004896521435252258,0.9974888392857143,0.16326530612244897,0.9974816743795158,0.0037078091489343807,0.9986614358836207,0.5560344827586207,0.9986593573919366
UNet_selection_v4p,"2a7e833d9bb24acc9c4022d27ad811e1",A_nc1-resnet0-nc2-2encode-flat1-skip0,19,"8","16","3","2","2","1","0","2","64","256","0","2",19,0.09801695606659484,0.8753605452267933,0.0,0.861445697343642,0.12658967990048078,0.83544921875,0.0,0.8056015169681209,0.12035652378509784,0.8437415813577587,0.0,0.8233015626684962
UNet_selection_v4p,fa71e205d4ed473d9c81fe6c423f03a2,A_nc1-resnet0-nc2-2encode-flat1-skip1,19,"8","16","3","2","2","1","0","2","64","256","1","2",19,0.004246356474620757,0.999562195081751,0.8523206751054853,0.9995615553876737,0.00497016710780409,0.9992227359693877,0.7448979591836735,0.9992218783733401,0.004968066430843339,0.9995874865301724,0.8017241379310345,0.9995872677083871
UNet_selection_v4p,aa0304e8800c4cb0b0e1adde3e4abdb8,A_nc1-resnet0-nc3-2encode-flat1-skip0,19,"8","16","3","2","2","1","0","3","64","128","0","2",19,0.10734363683039629,0.8632894910337553,0.0,0.8466824925774129,0.12974945577431699,0.8327985491071429,0.0,0.7989342306752812,0.12326341726142785,0.8399952855603449,0.0,0.8160448732207131
UNet_selection_v4p,"74843b29f3a649388e90eee1cd3e376a",A_nc1-resnet0-nc3-2encode-flat1-skip1,19,"8","16","3","2","2","1","0","3","64","128","1","2",19,0.025419425062112165,0.9785619808148734,0.0,0.978103880797278,0.027153590770096193,0.9768415178571429,0.0,0.9762659464024319,0.029608839063038087,0.9748956088362069,0.0,0.9742560510175043
UNet_selection_v4p,"951dec1ff3064aa197fb3c96088aa6b3",A_nc1-resnet1-nc1-2encode-flat1-skip0,15,"8","16","3","2","2","1","1","1","64","512","0","2",15,0.09449107317796236,0.8861356968618144,0.0,0.876369789200932,0.12513325819555593,0.8426239636479592,0.0,0.8207623961009246,0.1198811637687272,0.8489022090517241,0.0,0.8302976277999137
UNet_selection_v4p,"20786f313812408bb2718939ca42ecc2",A_nc1-resnet1-nc1-2encode-flat1-skip1,18,"8","16","3","2","2","1","1","1","64","512","1","2",18,0.003791473263615294,0.998092200685654,0.25843881856540085,0.9980884718616715,0.0035334383446381104,0.9980767697704082,0.3112244897959184,0.9980724777422472,0.0034332021284077703,0.9980889682112069,0.15948275862068967,0.9980854422441129
UNet_selection_v4p,fd229a76332e43b0b268a8a8c799527e,A_nc1-resnet1-nc2-2encode-flat1-skip0,15,"8","16","3","2","2","1","1","2","64","256","0","2",15,0.10010228778396729,0.8729459223364979,0.0,0.8589642316789523,0.1281250887075249,0.8342534279336735,0.0,0.8043502036690923,0.12261404084234402,0.8404835668103449,0.0,0.8155869074458301
UNet_selection_v4p,"40be4dbd9a5a4663862d0ed9afe56e9c",A_nc1-resnet1-nc2-2encode-flat1-skip1,19,"8","16","3","2","2","1","1","2","64","256","1","2",19,0.006919272572591995,0.9970085047468354,0.3138185654008439,0.997004544501889,0.005757022891383694,0.9976084183673469,0.37755102040816324,0.9976067429148054,0.006496539194907607,0.9971460802801724,0.3448275862068966,0.9971444027126338
