run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
pseudop_baseline_skip0,"[4, 8, 16, 32, 64]",4,37925,512.0,2,0,0.03742820421854655,0.14676654897630215,0.0943254865705967,0.7613372048479492,0.9503615552090797,0.8665009302801736,0.9433914590287512,0.7505531148854332,0.8476672929245761,0.0,0.0,0.0
pseudop_baseline_skip1,"[4, 8, 16, 32, 64]",4,42005,512.0,2,1,0.029704087724288303,0.13284624367952347,0.11900587007403374,0.7886442280825872,0.9623897067289341,0.8213332778386533,0.9575150798385021,0.7884864323304372,0.8020397312437357,0.0,0.0,0.0
pseudop_nc_2_n4_3_n8_1_skip1,"[4, 4, 4, 4, 8]",4,1541,64.0,2,1,0.085495608796676,0.14707189798355103,0.1133981067687273,0.754133756373351,0.8800909482476152,0.8253316151411638,0.8633829290239511,0.7464147157759059,0.8030665598526509,0.0,0.0,0.0
pseudop_nc_2_n4_3_n8_1_skip0,"[4, 4, 4, 4, 8]",4,1349,64.0,2,0,0.11141670321424803,0.14164001494646072,0.12782778218388557,0.7335657909399613,0.8364165246005435,0.8026427341884406,0.8072604357019283,0.7194658755094203,0.7691573539318016,0.0,0.0,0.0
pseudop_nc_2_n4_2_n8_1_skip1,"[4, 4, 4, 8]",3,1253,128.0,2,1,0.09667767360806465,0.1443838384002447,0.12743590027093887,0.751854484282606,0.8708961663821161,0.8158101697258717,0.8488403543410634,0.7325897750458747,0.7837489256953187,0.0,0.0,0.0
pseudop_nc_2_n4_2_n8_1_skip0,"[4, 4, 4, 8]",3,1109,128.0,2,0,0.12547535300254822,0.16631407663226128,0.13585030660033226,0.6826026430408081,0.8014524988938039,0.7777497603166352,0.7700636635190959,0.6650165856138057,0.7423251452092497,0.0,0.0,0.0
pseudop_nc_2_n4_1_n8_1_skip1,"[4, 4, 8]",2,965,256.0,2,1,0.10163050442934037,0.15839838981628418,0.1441703960299492,0.7175147469495898,0.854521194033195,0.7670650875790099,0.8322791226427602,0.7011870766430718,0.7352407458210162,0.0,0.0,0.0
pseudop_nc_2_n4_1_n8_1_skip0,"[4, 4, 8]",2,869,256.0,2,0,0.12082127183675766,0.167546596378088,0.15456298366189003,0.6989479241909686,0.8206739261592945,0.7509110618947183,0.7885159316554129,0.6756221918865131,0.7015396149455315,0.0,0.0,0.0
pseudop_nc_2_n4_0_n8_1_skip1,"[4, 8]",1,677,512.0,2,1,0.11357941056291262,0.15951156616210938,0.14241211861371994,0.7214906199324925,0.8362616907619597,0.7800399006543217,0.8083717527568274,0.695144510156593,0.7433239781656755,0.0,0.0,0.0
pseudop_nc_2_n4_0_n8_1_skip0,"[4, 8]",1,629,512.0,2,0,0.11882249365250269,0.15675979480147362,0.15062519162893295,0.7290918561075808,0.8300460602580209,0.771085088550806,0.7991400302615261,0.7086699760894233,0.7264029203315339,0.0,0.0,0.0
pseudop_nc_2_n4_3_n8_0_skip1,"[4, 4, 4, 4]",3,989,64.0,2,1,0.09835226684808732,0.1460946761071682,0.12990574538707733,0.7444710742593217,0.8594974549449467,0.7987893994368351,0.8370091938229655,0.7290253666411091,0.7669459832841538,0.0,0.0,0.0
pseudop_nc_2_n4_3_n8_0_skip0,"[4, 4, 4, 4]",3,845,64.0,2,0,0.14212787399689356,0.17151911929249763,0.16709529608488083,0.6584563084994325,0.7767992855423499,0.7176842706554212,0.7336155804515005,0.6250570759536604,0.6603494308402316,0.0,0.0,0.0
pseudop_nc_2_n4_2_n8_0_skip1,"[4, 4, 4]",2,701,128.0,2,1,0.10308382660150528,0.14894617348909378,0.13157022558152676,0.7401589276350704,0.853005282108956,0.7844975585310808,0.8291531610716104,0.7264774649480682,0.7593114254980937,0.0,0.0,0.0
pseudop_nc_2_n4_2_n8_0_skip0,"[4, 4, 4]",2,605,128.0,2,0,0.1336276705066363,0.16943145915865898,0.16599556058645248,0.6936633101748857,0.7974546730558834,0.7227584259059523,0.7613471619106087,0.6706083309210802,0.678571678166223,0.0,0.0,0.0
