epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8547,0.0000,0.8304,624.8160,0.1137,0.8524,0.0000,0.8337,638.7994,0.1123
1,0.8920,0.0000,0.8825,612.9429,0.0846,0.8694,0.0000,0.8557,634.0833,0.1026
2,0.9019,0.0000,0.8946,609.5879,0.0775,0.8713,0.0000,0.8597,631.5153,0.0996
3,0.9086,0.0006,0.9024,607.6720,0.0728,0.8764,0.0000,0.8647,630.9389,0.0964
4,0.9140,0.0006,0.9087,605.9323,0.0690,0.8771,0.0000,0.8677,629.7095,0.0962
5,0.9183,0.0011,0.9135,604.1967,0.0662,0.8781,0.0000,0.8690,629.3344,0.0953
6,0.9224,0.0017,0.9183,603.1278,0.0636,0.8809,0.0000,0.8718,629.0215,0.0930
7,0.9256,0.0050,0.9220,602.3761,0.0615,0.8824,0.0000,0.8729,628.9304,0.0935
8,0.9284,0.0044,0.9251,601.5914,0.0596,0.8829,0.0000,0.8743,628.2193,0.0922
9,0.9314,0.0078,0.9284,600.8363,0.0576,0.8821,0.0000,0.8728,628.6900,0.0925
10,0.9341,0.0094,0.9313,600.0730,0.0558,0.8831,0.0000,0.8745,628.0061,0.0921
11,0.9357,0.0116,0.9332,599.5524,0.0547,0.8836,0.0000,0.8757,627.6766,0.0915
12,0.9378,0.0116,0.9354,598.7861,0.0534,0.8846,0.0000,0.8768,627.0933,0.0919
13,0.9394,0.0144,0.9372,598.4665,0.0523,0.8848,0.0000,0.8769,627.1451,0.0909
14,0.9415,0.0211,0.9394,597.9301,0.0511,0.8868,0.0000,0.8788,627.4229,0.0899
15,0.9424,0.0238,0.9404,597.4147,0.0502,0.8852,0.0000,0.8784,625.5829,0.0918
16,0.9436,0.0200,0.9418,597.0780,0.0495,0.8864,0.0000,0.8799,625.7487,0.0906
17,0.9450,0.0277,0.9432,596.7815,0.0485,0.8835,0.0000,0.8758,627.4097,0.0929
18,0.9465,0.0266,0.9448,595.9149,0.0475,0.8855,0.0000,0.8785,626.3479,0.0912
19,0.9476,0.0310,0.9460,596.0200,0.0468,0.8872,0.0000,0.8805,625.9369,0.0909
20,0.9488,0.0349,0.9473,595.3713,0.0461,0.8856,0.0000,0.8790,626.1361,0.0908
21,0.9494,0.0327,0.9479,594.9399,0.0458,0.8865,0.0000,0.8803,625.4849,0.0924
22,0.9502,0.0360,0.9489,595.2149,0.0450,0.8864,0.0000,0.8801,625.5083,0.0909
23,0.9515,0.0366,0.9501,594.7115,0.0443,0.8863,0.0000,0.8799,625.7185,0.0916
24,0.9521,0.0394,0.9508,594.7606,0.0440,0.8862,0.0000,0.8794,626.9432,0.0912
25,0.9530,0.0438,0.9518,594.4681,0.0434,0.8848,0.0000,0.8778,626.2292,0.0922
26,0.9537,0.0371,0.9525,593.8381,0.0429,0.8889,0.0000,0.8832,625.2568,0.0910
27,0.9549,0.0449,0.9538,593.9103,0.0421,0.8884,0.0000,0.8826,625.8537,0.0905
28,0.9553,0.0460,0.9542,593.7562,0.0418,0.8858,0.0000,0.8795,626.2620,0.0919
29,0.9559,0.0438,0.9548,593.6651,0.0416,0.8859,0.0000,0.8801,625.9438,0.0924
30,0.9567,0.0532,0.9557,593.4345,0.0411,0.8886,0.0000,0.8829,625.4339,0.0903
31,0.9572,0.0460,0.9562,593.2743,0.0407,0.8874,0.0000,0.8815,625.3651,0.0910
32,0.9575,0.0516,0.9566,593.0328,0.0405,0.8878,0.0000,0.8822,625.6111,0.0915
33,0.9585,0.0482,0.9576,592.6283,0.0400,0.8853,0.0000,0.8793,626.3634,0.0927
34,0.9591,0.0504,0.9582,592.5656,0.0395,0.8871,0.0000,0.8810,625.7739,0.0923
35,0.9594,0.0516,0.9586,592.5511,0.0392,0.8869,0.0000,0.8813,625.8977,0.0918
36,0.9600,0.0560,0.9592,591.6975,0.0390,0.8866,0.0000,0.8808,625.2900,0.0925
37,0.9602,0.0471,0.9593,591.9856,0.0388,0.8869,0.0000,0.8812,625.4137,0.0912
38,0.9613,0.0510,0.9605,591.7078,0.0381,0.8863,0.0000,0.8808,624.8888,0.0921
39,0.9616,0.0504,0.9608,592.0026,0.0380,0.8876,0.0000,0.8822,625.0226,0.0912
40,0.9617,0.0527,0.9609,591.5554,0.0379,0.8870,0.0000,0.8818,624.7964,0.0921
41,0.9624,0.0599,0.9617,591.8081,0.0375,0.8866,0.0000,0.8814,624.8823,0.0929
42,0.9623,0.0582,0.9616,591.3518,0.0374,0.8876,0.0000,0.8828,624.7020,0.0913
43,0.9631,0.0560,0.9624,591.4821,0.0369,0.8864,0.0000,0.8809,625.2553,0.0921
44,0.9633,0.0576,0.9627,591.4546,0.0367,0.8880,0.0000,0.8822,625.5049,0.0915
