epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8482,0.0000,0.8218,625.4969,0.1184,0.8763,0.0000,0.8604,608.0676,0.0966
1,0.8835,0.0000,0.8716,614.3557,0.0906,0.8886,0.0000,0.8771,603.7966,0.0868
2,0.8965,0.0000,0.8881,610.3165,0.0815,0.8955,0.0000,0.8865,601.3297,0.0829
3,0.9050,0.0007,0.8983,607.8145,0.0758,0.9017,0.0030,0.8934,599.9789,0.0779
4,0.9113,0.0033,0.9056,605.8399,0.0714,0.9056,0.0030,0.8984,597.7148,0.0746
5,0.9166,0.0052,0.9119,604.1450,0.0678,0.9068,0.0030,0.9007,597.2440,0.0751
6,0.9212,0.0098,0.9169,602.8254,0.0648,0.9106,0.0061,0.9045,596.2144,0.0729
7,0.9249,0.0098,0.9211,601.7257,0.0622,0.9128,0.0091,0.9073,595.4148,0.0704
8,0.9278,0.0085,0.9243,600.8645,0.0603,0.9156,0.0091,0.9104,595.0271,0.0687
9,0.9303,0.0151,0.9272,599.9333,0.0583,0.9175,0.0061,0.9128,594.1877,0.0678
10,0.9331,0.0118,0.9302,599.1626,0.0566,0.9189,0.0061,0.9139,594.6886,0.0676
11,0.9358,0.0164,0.9332,598.4284,0.0549,0.9211,0.0091,0.9165,593.2519,0.0655
12,0.9381,0.0190,0.9357,597.7454,0.0534,0.9225,0.0091,0.9182,592.7270,0.0645
13,0.9400,0.0151,0.9378,597.1738,0.0522,0.9231,0.0091,0.9194,591.9959,0.0646
14,0.9414,0.0177,0.9393,596.7188,0.0511,0.9233,0.0061,0.9191,592.2488,0.0641
15,0.9432,0.0203,0.9412,596.2249,0.0500,0.9238,0.0122,0.9200,591.6404,0.0637
16,0.9445,0.0216,0.9427,595.7808,0.0491,0.9247,0.0122,0.9210,590.9143,0.0630
17,0.9464,0.0209,0.9446,595.2825,0.0480,0.9260,0.0152,0.9225,591.9464,0.0627
18,0.9477,0.0275,0.9461,594.9755,0.0472,0.9274,0.0152,0.9240,590.6819,0.0615
19,0.9494,0.0268,0.9479,594.5175,0.0462,0.9275,0.0152,0.9242,590.5490,0.0615
20,0.9507,0.0295,0.9493,594.0977,0.0454,0.9282,0.0244,0.9249,590.6064,0.0611
21,0.9521,0.0308,0.9507,593.7718,0.0446,0.9276,0.0244,0.9246,590.8273,0.0623
22,0.9530,0.0327,0.9517,593.4635,0.0439,0.9292,0.0244,0.9261,590.4617,0.0611
23,0.9540,0.0295,0.9528,593.1336,0.0432,0.9287,0.0213,0.9256,590.3957,0.0613
24,0.9550,0.0340,0.9538,592.9124,0.0427,0.9299,0.0183,0.9268,591.2888,0.0609
25,0.9560,0.0314,0.9549,592.6077,0.0420,0.9303,0.0244,0.9276,590.1684,0.0601
26,0.9570,0.0340,0.9559,592.3366,0.0414,0.9293,0.0183,0.9264,590.7755,0.0617
27,0.9576,0.0445,0.9566,592.1252,0.0409,0.9310,0.0213,0.9283,589.5688,0.0599
28,0.9584,0.0360,0.9575,591.8358,0.0403,0.9306,0.0366,0.9280,590.1422,0.0611
29,0.9594,0.0393,0.9585,591.6407,0.0398,0.9309,0.0213,0.9284,589.8375,0.0605
30,0.9601,0.0399,0.9592,591.4793,0.0394,0.9319,0.0274,0.9295,589.3367,0.0601
31,0.9611,0.0399,0.9603,591.1326,0.0388,0.9319,0.0335,0.9294,589.0615,0.0596
32,0.9619,0.0484,0.9611,590.9753,0.0383,0.9324,0.0305,0.9301,588.5346,0.0595
33,0.9627,0.0419,0.9619,590.7386,0.0379,0.9320,0.0183,0.9294,589.4619,0.0593
34,0.9630,0.0452,0.9622,590.6297,0.0376,0.9328,0.0305,0.9304,588.3791,0.0590
35,0.9636,0.0471,0.9629,590.4546,0.0373,0.9328,0.0244,0.9304,589.1164,0.0586
36,0.9645,0.0537,0.9638,590.2653,0.0368,0.9330,0.0366,0.9309,588.1279,0.0595
37,0.9654,0.0452,0.9647,590.0198,0.0362,0.9332,0.0335,0.9310,588.0524,0.0592
38,0.9658,0.0510,0.9651,589.8786,0.0359,0.9335,0.0427,0.9313,588.2263,0.0586
39,0.9661,0.0530,0.9655,589.7795,0.0358,0.9328,0.0335,0.9307,588.0725,0.0596
40,0.9668,0.0569,0.9662,589.6538,0.0354,0.9341,0.0335,0.9319,588.4552,0.0585
41,0.9673,0.0556,0.9667,589.4262,0.0349,0.9338,0.0305,0.9317,588.3077,0.0591
42,0.9675,0.0530,0.9669,589.3587,0.0348,0.9340,0.0274,0.9320,587.7041,0.0588
43,0.9682,0.0602,0.9676,589.1988,0.0344,0.9340,0.0396,0.9318,587.6482,0.0589
44,0.9688,0.0556,0.9682,589.0352,0.0341,0.9341,0.0244,0.9320,587.6874,0.0588
45,0.9689,0.0609,0.9684,588.9824,0.0340,0.9336,0.0335,0.9313,588.9079,0.0589
