epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8512,0.0000,0.8262,628.6820,0.1160,0.8442,0.0000,0.8153,584.0819,0.1183
1,0.8877,0.0000,0.8768,617.2893,0.0882,0.8542,0.0000,0.8330,580.5487,0.1108
2,0.9003,0.0000,0.8927,613.1873,0.0788,0.8601,0.0000,0.8413,578.7041,0.1073
3,0.9074,0.0000,0.9010,610.8932,0.0737,0.8609,0.0000,0.8431,578.6162,0.1070
4,0.9132,0.0011,0.9079,609.1174,0.0698,0.8614,0.0000,0.8447,577.2478,0.1068
5,0.9175,0.0042,0.9127,607.8731,0.0670,0.8632,0.0000,0.8463,576.9784,0.1050
6,0.9215,0.0053,0.9174,606.5672,0.0640,0.8645,0.0000,0.8496,576.3709,0.1044
7,0.9246,0.0053,0.9208,605.6771,0.0621,0.8670,0.0000,0.8518,575.8446,0.1027
8,0.9273,0.0079,0.9237,604.8369,0.0602,0.8664,0.0000,0.8519,575.6917,0.1036
9,0.9297,0.0095,0.9266,604.0790,0.0585,0.8658,0.0000,0.8525,575.5898,0.1036
10,0.9322,0.0127,0.9293,603.3468,0.0569,0.8674,0.0000,0.8536,576.0956,0.1034
11,0.9342,0.0148,0.9315,602.7914,0.0556,0.8685,0.0000,0.8534,574.9683,0.1038
12,0.9362,0.0185,0.9337,602.2020,0.0544,0.8700,0.0000,0.8564,575.2989,0.1017
13,0.9380,0.0248,0.9356,601.6470,0.0531,0.8688,0.0000,0.8539,575.2766,0.1021
14,0.9396,0.0185,0.9373,601.1861,0.0521,0.8692,0.0000,0.8566,574.1388,0.1026
15,0.9412,0.0222,0.9392,600.6719,0.0510,0.8699,0.0000,0.8563,574.7759,0.1023
16,0.9423,0.0253,0.9403,600.3886,0.0503,0.8709,0.0000,0.8600,573.4221,0.1013
17,0.9441,0.0301,0.9422,599.8211,0.0491,0.8702,0.0000,0.8583,573.9494,0.1022
18,0.9452,0.0285,0.9433,599.5268,0.0484,0.8706,0.0000,0.8585,574.1434,0.1014
19,0.9467,0.0353,0.9450,599.1015,0.0474,0.8713,0.0000,0.8605,573.2227,0.1015
20,0.9476,0.0264,0.9460,598.8517,0.0469,0.8697,0.0000,0.8592,573.3076,0.1022
21,0.9486,0.0380,0.9471,598.5666,0.0462,0.8693,0.0000,0.8589,573.1709,0.1023
22,0.9498,0.0343,0.9483,598.2178,0.0455,0.8695,0.0000,0.8590,573.2758,0.1024
23,0.9507,0.0411,0.9493,597.9357,0.0449,0.8710,0.0000,0.8607,572.8581,0.1014
24,0.9515,0.0427,0.9502,597.7387,0.0444,0.8718,0.0000,0.8607,573.1866,0.1024
25,0.9522,0.0422,0.9510,597.4583,0.0438,0.8704,0.0000,0.8605,572.7402,0.1017
26,0.9536,0.0432,0.9525,597.1047,0.0430,0.8672,0.0000,0.8566,573.8273,0.1042
27,0.9538,0.0406,0.9526,596.9995,0.0428,0.8722,0.0000,0.8615,572.8934,0.1021
28,0.9548,0.0427,0.9537,596.7262,0.0422,0.8699,0.0000,0.8601,572.5429,0.1023
29,0.9558,0.0496,0.9547,596.5060,0.0417,0.8710,0.0000,0.8602,573.4571,0.1032
30,0.9563,0.0454,0.9553,596.3547,0.0414,0.8723,0.0000,0.8623,573.3461,0.1022
31,0.9569,0.0469,0.9559,596.1710,0.0409,0.8712,0.0000,0.8606,573.1339,0.1027
32,0.9574,0.0501,0.9565,595.9617,0.0405,0.8709,0.0000,0.8612,572.1887,0.1030
33,0.9582,0.0538,0.9572,595.7245,0.0399,0.8692,0.0000,0.8592,572.9937,0.1038
34,0.9589,0.0506,0.9580,595.5585,0.0396,0.8706,0.0000,0.8610,572.4407,0.1021
35,0.9594,0.0501,0.9585,595.4188,0.0393,0.8698,0.0000,0.8615,572.2623,0.1039
36,0.9597,0.0533,0.9588,595.3721,0.0392,0.8698,0.0000,0.8605,572.7448,0.1052
37,0.9602,0.0517,0.9593,595.1740,0.0388,0.8702,0.0000,0.8610,572.4440,0.1033
38,0.9607,0.0538,0.9599,595.0168,0.0384,0.8705,0.0000,0.8615,572.2986,0.1036
39,0.9615,0.0564,0.9607,594.8125,0.0379,0.8706,0.0000,0.8616,572.2466,0.1037
40,0.9619,0.0522,0.9612,594.6714,0.0377,0.8699,0.0000,0.8609,572.5421,0.1038
41,0.9621,0.0559,0.9613,594.5809,0.0375,0.8698,0.0000,0.8610,572.3612,0.1054
42,0.9627,0.0533,0.9620,594.4547,0.0372,0.8703,0.0000,0.8612,572.5772,0.1047
43,0.9631,0.0570,0.9625,594.3086,0.0369,0.8701,0.0000,0.8610,572.2928,0.1039
44,0.9634,0.0628,0.9627,594.1913,0.0366,0.8705,0.0000,0.8622,571.7536,0.1039
45,0.9637,0.0570,0.9630,594.1011,0.0364,0.8693,0.0000,0.8606,572.6336,0.1057
46,0.9643,0.0596,0.9636,594.0275,0.0362,0.8707,0.0000,0.8626,572.0295,0.1042
