epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7976,0.0000,0.7194,641.1828,4.5388,0.7869,0.0000,0.7273,647.8548,0.4019
1,0.7996,0.0000,0.7166,641.4682,0.3304,0.7987,0.0000,0.7208,646.4372,0.2966
2,0.8011,0.0000,0.7219,641.0178,0.2602,0.7972,0.0000,0.7098,645.5038,0.2448
3,0.8023,0.0000,0.7264,640.6651,0.2351,0.7560,0.0000,0.7482,644.4684,0.2755
4,0.8036,0.0000,0.7318,640.2632,0.2304,0.7992,0.0000,0.7454,644.6834,0.2397
5,0.8041,0.0000,0.7345,639.9721,0.2292,0.8007,0.0000,0.7205,644.6784,0.2318
6,0.8045,0.0000,0.7361,639.8892,0.2284,0.8026,0.0000,0.7284,643.0569,0.2318
7,0.8052,0.0000,0.7378,639.8278,0.2276,0.8006,0.0000,0.7195,644.4147,0.2310
8,0.8054,0.0000,0.7386,639.7943,0.2274,0.8023,0.0000,0.7358,643.7368,0.2301
9,0.8057,0.0000,0.7400,639.6885,0.2269,0.8052,0.0000,0.7362,642.8099,0.2275
10,0.8059,0.0000,0.7403,639.6506,0.2265,0.8012,0.0000,0.7308,645.1721,0.2335
11,0.8061,0.0000,0.7406,639.5985,0.2268,0.7254,0.0000,0.7262,644.0541,0.2764
12,0.8060,0.0000,0.7409,639.5572,0.2266,0.8041,0.0000,0.7279,643.1677,0.2288
13,0.8060,0.0000,0.7402,639.5512,0.2267,0.7999,0.0000,0.7353,643.4849,0.2354
14,0.8062,0.0000,0.7402,639.5576,0.2264,0.7995,0.0000,0.7358,644.8332,0.2344
15,0.8063,0.0000,0.7402,639.4976,0.2265,0.7797,0.0000,0.7450,644.5550,0.2433
16,0.8065,0.0000,0.7408,639.4189,0.2265,0.5050,0.0000,0.5531,652.2527,0.5048
17,0.8065,0.0000,0.7411,639.3597,0.2264,0.7427,0.0000,0.7288,646.5120,0.2696
18,0.8065,0.0000,0.7408,639.3881,0.2263,0.8040,0.0000,0.7450,641.9558,0.2290
19,0.8067,0.0000,0.7415,639.2796,0.2263,0.8046,0.0000,0.7278,643.3928,0.2335
20,0.8070,0.0000,0.7417,639.2277,0.2260,0.8068,0.0000,0.7381,642.4543,0.2290
21,0.8070,0.0000,0.7422,639.2281,0.2261,0.8046,0.0000,0.7383,643.0021,0.2289
22,0.8070,0.0000,0.7417,639.2229,0.2261,0.7719,0.0000,0.7408,646.1651,0.2559
23,0.8071,0.0000,0.7418,639.2363,0.2259,0.8051,0.0000,0.7446,642.6677,0.2283
24,0.8070,0.0000,0.7420,639.1567,0.2259,0.8071,0.0000,0.7428,641.6368,0.2272
25,0.8072,0.0000,0.7428,639.1146,0.2258,0.8061,0.0000,0.7344,642.7826,0.2276
26,0.8072,0.0000,0.7422,639.1176,0.2259,0.8020,0.0000,0.7232,644.0776,0.2324
27,0.8071,0.0000,0.7424,639.1756,0.2260,0.7965,0.0000,0.7375,643.9654,0.2348
28,0.8072,0.0000,0.7424,639.0947,0.2259,0.8068,0.0000,0.7395,643.5833,0.2293
29,0.8075,0.0000,0.7435,638.9417,0.2257,0.8035,0.0000,0.7285,644.4006,0.2311
30,0.8077,0.0000,0.7431,639.0325,0.2258,0.8059,0.0000,0.7385,642.5097,0.2285
31,0.8075,0.0000,0.7433,638.9240,0.2257,0.7972,0.0000,0.7444,642.7278,0.2325
32,0.8080,0.0000,0.7447,638.8259,0.2256,0.8065,0.0000,0.7496,641.7758,0.2277
33,0.8083,0.0000,0.7447,638.8240,0.2257,0.7602,0.0000,0.7427,644.6283,0.2576
34,0.8075,0.0000,0.7433,638.8823,0.2256,0.8055,0.0000,0.7292,642.8509,0.2298
35,0.8083,0.0000,0.7447,638.7567,0.2255,0.8051,0.0000,0.7466,642.4246,0.2285
36,0.8084,0.0000,0.7449,638.7530,0.2255,0.8027,0.0000,0.7303,643.3896,0.2328
37,0.8083,0.0000,0.7450,638.6846,0.2254,0.8077,0.0000,0.7415,642.6559,0.2279
38,0.8086,0.0000,0.7451,638.6266,0.2254,0.8015,0.0000,0.7212,644.4249,0.2346
39,0.8082,0.0000,0.7441,638.7639,0.2254,0.8001,0.0000,0.7375,642.7206,0.2320
