run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,arc_kernel,test_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,name,train_swaps
skip1_kernel13_noise_0.9_n4_2_n8_1-0.9,"[4, 4, 4, 8]",3,3344,128.0,2,1,13,0.9,,,0.15174393728375435,,,0.31488147821167284,,,0.31488147821167284,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.9,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.7,"[4, 4, 4, 8]",3,3344,128.0,2,1,13,0.7,,,0.13542583584785461,,,0.4358905942395465,,,0.43589059423954646,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.7,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.5,"[4, 4, 4, 8]",3,3344,128.0,2,1,13,0.5,,,0.12111464887857437,,,0.519712274916493,,,0.519712274916493,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.5,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.3,"[4, 4, 4, 8]",3,3344,128.0,2,1,13,0.3,,,0.10538345575332642,,,0.6039764633332811,,,0.6039764633332811,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.3,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.2,"[4, 4, 4, 8]",3,3344,128.0,2,1,13,0.2,,,0.09832706674933434,,,0.6404467449815788,,,0.6404467449815788,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.2,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.1,"[4, 4, 4, 8]",3,3344,128.0,2,1,13,0.1,,,0.09127590619027615,,,0.6758628564366235,,,0.6758628564366235,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.1,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.0,"[4, 4, 4, 8]",3,3344,128.0,2,1,13,0.0,,,0.0846704076975584,,,0.709123883466958,,,0.709123883466958,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.0,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1,"[4, 4, 4, 8]",3,3344,128.0,2,1,13,,0.13037041028340657,0.10811563953757286,,0.6336531039087953,0.4615835054019099,,0.4615835054019099,0.6336531039087953,,0.0,0.0,,skip1_kernel13_noise_0.9_n4_2_n8_1,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.9,"[4, 4, 4, 8]",3,2960,128.0,2,1,11,0.9,,,0.14622079208493233,,,0.34224803955832034,,,0.34224803955832034,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.9,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.7,"[4, 4, 4, 8]",3,2960,128.0,2,1,11,0.7,,,0.1445988118648529,,,0.3791233173578107,,,0.37912331735781063,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.7,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.5,"[4, 4, 4, 8]",3,2960,128.0,2,1,11,0.5,,,0.1365346871316433,,,0.41845040221387875,,,0.41845040221387875,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.5,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.3,"[4, 4, 4, 8]",3,2960,128.0,2,1,11,0.3,,,0.12917939573526382,,,0.4548020331548329,,,0.4548020331548329,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.3,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.2,"[4, 4, 4, 8]",3,2960,128.0,2,1,11,0.2,,,0.12540578842163086,,,0.4747685095793459,,,0.4747685095793459,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.2,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.1,"[4, 4, 4, 8]",3,2960,128.0,2,1,11,0.1,,,0.12233522720634937,,,0.4915893884608959,,,0.4915893884608959,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.1,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.0,"[4, 4, 4, 8]",3,2960,128.0,2,1,11,0.0,,,0.1192821767181158,,,0.5095216560458062,,,0.5095216560458062,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.0,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1,"[4, 4, 4, 8]",3,2960,128.0,2,1,11,,0.1403066004316012,0.20636215806007385,,0.3263279232714186,0.40922786526586663,,0.40922786526586663,0.3263279232714186,,0.0,0.0,,skip1_kernel11_noise_0.9_n4_2_n8_1,0.9
skip1_kernel9_noise_0.9_n4_2_n8_1-0.9,"[4, 4, 4, 8]",3,2576,128.0,2,1,9,0.9,,,0.1467428021132946,,,0.2793484234579017,,,0.2793484234579017,,,0.0,skip1_kernel9_noise_0.9_n4_2_n8_1-0.9,0.9
skip1_kernel9_noise_0.9_n4_2_n8_1-0.7,"[4, 4, 4, 8]",3,2576,128.0,2,1,9,0.7,,,0.13908358290791512,,,0.3348378030078454,,,0.3348378030078454,,,0.0,skip1_kernel9_noise_0.9_n4_2_n8_1-0.7,0.9
skip1_kernel9_noise_0.9_n4_2_n8_1-0.5,"[4, 4, 4, 8]",3,2576,128.0,2,1,9,0.5,,,0.1328420303761959,,,0.38781535445821413,,,0.38781535445821413,,,0.0,skip1_kernel9_noise_0.9_n4_2_n8_1-0.5,0.9
skip1_kernel9_noise_0.9_n4_2_n8_1-0.3,"[4, 4, 4, 8]",3,2576,128.0,2,1,9,0.3,,,0.1272878460586071,,,0.4396964347133275,,,0.4396964347133275,,,0.0,skip1_kernel9_noise_0.9_n4_2_n8_1-0.3,0.9
skip1_kernel9_noise_0.9_n4_2_n8_1-0.2,"[4, 4, 4, 8]",3,2576,128.0,2,1,9,0.2,,,0.12472158297896385,,,0.46485142711796507,,,0.46485142711796507,,,0.0,skip1_kernel9_noise_0.9_n4_2_n8_1-0.2,0.9
skip1_kernel9_noise_0.9_n4_2_n8_1-0.1,"[4, 4, 4, 8]",3,2576,128.0,2,1,9,0.1,,,0.12228358164429665,,,0.48887595574794784,,,0.48887595574794784,,,0.0,skip1_kernel9_noise_0.9_n4_2_n8_1-0.1,0.9
skip1_kernel9_noise_0.9_n4_2_n8_1-0.0,"[4, 4, 4, 8]",3,2576,128.0,2,1,9,0.0,,,0.11996398866176605,,,0.5106881042490943,,,0.5106881042490943,,,0.0,skip1_kernel9_noise_0.9_n4_2_n8_1-0.0,0.9
skip1_kernel9_noise_0.9_n4_2_n8_1,"[4, 4, 4, 8]",3,2576,128.0,2,1,9,,0.14838076680898665,0.1286403089761734,,0.29078493442681885,0.30234802691384444,,0.30234802691384444,0.29078493442681885,,0.0,0.0,,skip1_kernel9_noise_0.9_n4_2_n8_1,0.9
skip1_kernel7_noise_0.9_n4_2_n8_1-0.9,"[4, 4, 4, 8]",3,2192,128.0,2,1,7,0.9,,,0.14118992909789085,,,0.34672950009699666,,,0.34672950009699666,,,0.0,skip1_kernel7_noise_0.9_n4_2_n8_1-0.9,0.9
skip1_kernel7_noise_0.9_n4_2_n8_1-0.7,"[4, 4, 4, 8]",3,2192,128.0,2,1,7,0.7,,,0.12297450192272663,,,0.480253277736762,,,0.480253277736762,,,0.0,skip1_kernel7_noise_0.9_n4_2_n8_1-0.7,0.9
skip1_kernel7_noise_0.9_n4_2_n8_1-0.5,"[4, 4, 4, 8]",3,2192,128.0,2,1,7,0.5,,,0.10779111832380295,,,0.5914857810064583,,,0.5914857810064583,,,0.0,skip1_kernel7_noise_0.9_n4_2_n8_1-0.5,0.9
skip1_kernel7_noise_0.9_n4_2_n8_1-0.3,"[4, 4, 4, 8]",3,2192,128.0,2,1,7,0.3,,,0.09633736126124859,,,0.6793504667002392,,,0.6793504667002392,,,0.0,skip1_kernel7_noise_0.9_n4_2_n8_1-0.3,0.9
skip1_kernel7_noise_0.9_n4_2_n8_1-0.2,"[4, 4, 4, 8]",3,2192,128.0,2,1,7,0.2,,,0.09199693240225315,,,0.713511501066465,,,0.7135115010664649,,,0.0,skip1_kernel7_noise_0.9_n4_2_n8_1-0.2,0.9
skip1_kernel7_noise_0.9_n4_2_n8_1-0.1,"[4, 4, 4, 8]",3,2192,128.0,2,1,7,0.1,,,0.08842080272734165,,,0.7445039040319591,,,0.7445039040319591,,,0.0,skip1_kernel7_noise_0.9_n4_2_n8_1-0.1,0.9
skip1_kernel7_noise_0.9_n4_2_n8_1-0.0,"[4, 4, 4, 8]",3,2192,128.0,2,1,7,0.0,,,0.08515971153974533,,,0.7774192052152877,,,0.7774192052152878,,,0.0,skip1_kernel7_noise_0.9_n4_2_n8_1-0.0,0.9
skip1_kernel7_noise_0.9_n4_2_n8_1,"[4, 4, 4, 8]",3,2192,128.0,2,1,7,,0.1412023941675822,0.10481077432632446,,0.732363488126853,0.38117170810984163,,0.38117170810984163,0.732363488126853,,0.0,0.0,,skip1_kernel7_noise_0.9_n4_2_n8_1,0.9
