run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,arc_kernel,test_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,name,train_swaps
skip1_kernel13_noise_0.9_n4_2_n8_1-0.9,"[4, 8]",1,2024,512.0,2,1,13,0.9,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.9,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.7,"[4, 8]",1,2024,512.0,2,1,13,0.7,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.7,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.5,"[4, 8]",1,2024,512.0,2,1,13,0.5,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.5,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.3,"[4, 8]",1,2024,512.0,2,1,13,0.3,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.3,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.2,"[4, 8]",1,2024,512.0,2,1,13,0.2,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.2,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.1,"[4, 8]",1,2024,512.0,2,1,13,0.1,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.1,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.0,"[4, 8]",1,2024,512.0,2,1,13,0.0,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.0,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1,"[4, 8]",1,2024,512.0,2,1,13,,0.16129698008298873,0.1560727097094059,,0.29078493442681885,0.3027233090850763,,0.3027233090850763,0.29078493442681885,,0.0,0.0,,skip1_kernel13_noise_0.9_n4_2_n8_1,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.9,"[4, 8]",1,1768,512.0,2,1,11,0.9,,,0.1411006934940815,,,0.34887955623050815,,,0.34887955623050815,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.9,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.7,"[4, 8]",1,1768,512.0,2,1,11,0.7,,,0.11894254013895988,,,0.45921861297219035,,,0.4592186129721904,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.7,0.9
