run_name,arc_features,arc_skip,arc_num_conv,arc_latent_volume,arc_encoder_blocks,n_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc-2-n4-2-n8-2-skip1-0,"[4, 4, 4, 8, 8]",1,2,64.0,4,0,,,0.07352060079574585,,,0.8785795545702917,,,0.8897122742459582,,,0.0
nc-2-n4-2-n8-2-skip1-2,"[4, 4, 4, 8, 8]",1,2,64.0,4,2,,,0.07360783219337463,,,0.878965789228003,,,0.890000119780011,,,0.0
nc-2-n4-2-n8-2-skip1-4,"[4, 4, 4, 8, 8]",1,2,64.0,4,4,,,0.073561180382967,,,0.8792979479048249,,,0.890227253775904,,,0.0
nc-2-n4-2-n8-2-skip1-6,"[4, 4, 4, 8, 8]",1,2,64.0,4,6,,,0.07367008551955223,,,0.8787270216323791,,,0.889774904840209,,,0.0
nc-2-n4-2-n8-2-skip1-8,"[4, 4, 4, 8, 8]",1,2,64.0,4,8,,,0.07372544705867767,,,0.8795093128596168,,,0.8904033441916703,,,0.0
nc-2-n4-2-n8-2-skip1-10,"[4, 4, 4, 8, 8]",1,2,64.0,4,10,,,0.07361549884080887,,,0.8800292397883382,,,0.8907963854624528,,,0.0
nc-2-n4-2-n8-2-skip1-12,"[4, 4, 4, 8, 8]",1,2,64.0,4,12,,,0.07371053844690323,,,0.8801069474862571,,,0.8908700152104054,,,0.0
nc-2-n4-2-n8-2-skip1-14,"[4, 4, 4, 8, 8]",1,2,64.0,4,14,,,0.07384176924824715,,,0.8793029616114754,,,0.8901664281615428,,,0.0
nc-2-n4-2-n8-2-skip1-16,"[4, 4, 4, 8, 8]",1,2,64.0,4,16,,,0.07415023446083069,,,0.8792669905597169,,,0.8901824687473527,,,0.0
nc-2-n4-2-n8-2-skip1-18,"[4, 4, 4, 8, 8]",1,2,64.0,4,18,,,0.07408731430768967,,,0.8794613323574714,,,0.8903085459486795,,,0.0
nc-2-n4-2-n8-2-skip1-20,"[4, 4, 4, 8, 8]",1,2,64.0,4,20,,,0.07398524880409241,,,0.8798700389277159,,,0.8906173594244495,,,0.0
nc-2-n4-2-n8-2-skip1-22,"[4, 4, 4, 8, 8]",1,2,64.0,4,22,,,0.0742478184401989,,,0.8798677413437371,,,0.8906354193430108,,,0.0
nc-2-n4-2-n8-2-skip1-24,"[4, 4, 4, 8, 8]",1,2,64.0,4,24,,,0.074127197265625,,,0.8795692806624232,,,0.8903723798628569,,,0.0
nc-2-n4-2-n8-2-skip1-26,"[4, 4, 4, 8, 8]",1,2,64.0,4,26,,,0.07427770644426346,,,0.8794247226846793,,,0.8902540791625541,,,0.0
nc-2-n4-2-n8-2-skip1-28,"[4, 4, 4, 8, 8]",1,2,64.0,4,28,,,0.07408812642097473,,,0.8803618006151432,,,0.8910275581238483,,,0.0
nc-2-n4-2-n8-2-skip1-30,"[4, 4, 4, 8, 8]",1,2,64.0,4,30,,,0.07407307252287865,,,0.8805380386947195,,,0.8910726301828407,,,0.0
nc-2-n4-2-n8-2-skip1,"[4, 4, 4, 8, 8]",1,2,64.0,4,0,0.07285281767447789,0.06827555224299431,,0.886637228411082,0.8898668805429553,,0.8986064826135979,0.896294520656691,,0.0,0.0,
nc-2-n4-2-n8-2-skip0-0,"[4, 4, 4, 8, 8]",0,2,64.0,4,0,,,0.2150498554110527,,,0.6431213739380902,,,0.7500527482833557,,,0.0
nc-2-n4-2-n8-2-skip0-2,"[4, 4, 4, 8, 8]",0,2,64.0,4,2,,,0.21505939960479736,,,0.6431365011400879,,,0.7500743316845765,,,0.0
nc-2-n4-2-n8-2-skip0-4,"[4, 4, 4, 8, 8]",0,2,64.0,4,4,,,0.21506612747907639,,,0.6430243980063142,,,0.7500479074045685,,,0.0
nc-2-n4-2-n8-2-skip0-6,"[4, 4, 4, 8, 8]",0,2,64.0,4,6,,,0.21514726430177689,,,0.6431292420393712,,,0.7500960153624581,,,0.0
nc-2-n4-2-n8-2-skip0-8,"[4, 4, 4, 8, 8]",0,2,64.0,4,8,,,0.21551956981420517,,,0.6429858707911402,,,0.7500240038406145,,,0.0
nc-2-n4-2-n8-2-skip0-10,"[4, 4, 4, 8, 8]",0,2,64.0,4,10,,,0.21545857191085815,,,0.6431485657278639,,,0.7500623297642692,,,0.0
nc-2-n4-2-n8-2-skip0-12,"[4, 4, 4, 8, 8]",0,2,64.0,4,12,,,0.21497152000665665,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-2-skip0-14,"[4, 4, 4, 8, 8]",0,2,64.0,4,14,,,0.21532662957906723,,,0.6429487397553024,,,0.7500215834012209,,,0.0
nc-2-n4-2-n8-2-skip0-16,"[4, 4, 4, 8, 8]",0,2,64.0,4,16,,,0.21479014307260513,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-2-skip0-18,"[4, 4, 4, 8, 8]",0,2,64.0,4,18,,,0.21537373214960098,,,0.6429932601402844,,,0.750048007681229,,,0.0
nc-2-n4-2-n8-2-skip0-20,"[4, 4, 4, 8, 8]",0,2,64.0,4,20,,,0.21530701220035553,,,0.6430602867500168,,,0.7500479074045685,,,0.0
nc-2-n4-2-n8-2-skip0-22,"[4, 4, 4, 8, 8]",0,2,64.0,4,22,,,0.21540537476539612,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-2-skip0-24,"[4, 4, 4, 8, 8]",0,2,64.0,4,24,,,0.21584147959947586,,,0.6429932601402844,,,0.750048007681229,,,0.0
nc-2-n4-2-n8-2-skip0-26,"[4, 4, 4, 8, 8]",0,2,64.0,4,26,,,0.21644710004329681,,,0.6430949767699584,,,0.7500720115218436,,,0.0
nc-2-n4-2-n8-2-skip0-28,"[4, 4, 4, 8, 8]",0,2,64.0,4,28,,,0.2161683887243271,,,0.6430216458630779,,,0.7500600096015362,,,0.0
nc-2-n4-2-n8-2-skip0-30,"[4, 4, 4, 8, 8]",0,2,64.0,4,30,,,0.21641061455011368,,,0.6428931104454834,,,0.75,,,0.0
nc-2-n4-2-n8-2-skip0,"[4, 4, 4, 8, 8]",0,2,64.0,4,0,0.2160133272409439,0.2012643739581108,,0.6431733985278214,0.6435248632881232,,0.750130717989815,0.7500701013954237,,0.0,0.0,
nc-2-n4-2-n8-1-skip1-0,"[4, 4, 4, 8]",1,2,128.0,3,0,,,0.0705975666642189,,,0.9117005042733548,,,0.9170077284418243,,,0.0
nc-2-n4-2-n8-1-skip1-2,"[4, 4, 4, 8]",1,2,128.0,3,2,,,0.07056022807955742,,,0.9113697696284091,,,0.9167195820777898,,,0.0
nc-2-n4-2-n8-1-skip1-4,"[4, 4, 4, 8]",1,2,128.0,3,4,,,0.07083680108189583,,,0.9111048195965095,,,0.9164853873170373,,,0.0
nc-2-n4-2-n8-1-skip1-6,"[4, 4, 4, 8]",1,2,128.0,3,6,,,0.07084416598081589,,,0.9107337539934021,,,0.916146913109041,,,0.0
nc-2-n4-2-n8-1-skip1-8,"[4, 4, 4, 8]",1,2,128.0,3,8,,,0.07086160406470299,,,0.9106562529336765,,,0.9160606797808177,,,0.0
nc-2-n4-2-n8-1-skip1-10,"[4, 4, 4, 8]",1,2,128.0,3,10,,,0.07089085876941681,,,0.9106438576170655,,,0.9160674397156956,,,0.0
nc-2-n4-2-n8-1-skip1-12,"[4, 4, 4, 8]",1,2,128.0,3,12,,,0.07104100286960602,,,0.9097743856385041,,,0.9152883176623299,,,0.0
nc-2-n4-2-n8-1-skip1-14,"[4, 4, 4, 8]",1,2,128.0,3,14,,,0.0711984783411026,,,0.9091813175658228,,,0.9147747558051723,,,0.0
nc-2-n4-2-n8-1-skip1-16,"[4, 4, 4, 8]",1,2,128.0,3,16,,,0.07111766934394836,,,0.909850128317828,,,0.9153674902256934,,,0.0
nc-2-n4-2-n8-1-skip1-18,"[4, 4, 4, 8]",1,2,128.0,3,18,,,0.07130768150091171,,,0.908700460908656,,,0.914322306592817,,,0.0
nc-2-n4-2-n8-1-skip1-20,"[4, 4, 4, 8]",1,2,128.0,3,20,,,0.07161683216691017,,,0.9081817650042916,,,0.9138924573478284,,,0.0
nc-2-n4-2-n8-1-skip1-22,"[4, 4, 4, 8]",1,2,128.0,3,22,,,0.07170780375599861,,,0.90904896229449,,,0.9147125263175635,,,0.0
nc-2-n4-2-n8-1-skip1-24,"[4, 4, 4, 8]",1,2,128.0,3,24,,,0.0722004659473896,,,0.9076810400058815,,,0.91347873516577,,,0.0
nc-2-n4-2-n8-1-skip1-26,"[4, 4, 4, 8]",1,2,128.0,3,26,,,0.07167795300483704,,,0.9086911057667604,,,0.9144171186353484,,,0.0
nc-2-n4-2-n8-1-skip1-28,"[4, 4, 4, 8]",1,2,128.0,3,28,,,0.07182680815458298,,,0.9082669000194772,,,0.9140218574784935,,,0.0
nc-2-n4-2-n8-1-skip1-30,"[4, 4, 4, 8]",1,2,128.0,3,30,,,0.07182881981134415,,,0.907786526176984,,,0.9135285616264293,,,0.0
nc-2-n4-2-n8-1-skip1,"[4, 4, 4, 8]",1,2,128.0,3,0,0.07103401372830073,0.06494027376174927,,0.914003413362052,0.9108279862581077,,0.9163345647388933,0.9192179678642378,,0.0,0.0,
nc-2-n4-2-n8-1-skip0-0,"[4, 4, 4, 8]",0,2,128.0,3,0,,,0.14882652461528778,,,0.6609339990060424,,,0.7490116033159817,,,0.0
nc-2-n4-2-n8-1-skip0-2,"[4, 4, 4, 8]",0,2,128.0,3,2,,,0.14887116849422455,,,0.6602561253467758,,,0.748713975747694,,,0.0
nc-2-n4-2-n8-1-skip0-4,"[4, 4, 4, 8]",0,2,128.0,3,4,,,0.14889736473560333,,,0.6605102415446444,,,0.7489566351465538,,,0.0
nc-2-n4-2-n8-1-skip0-6,"[4, 4, 4, 8]",0,2,128.0,3,6,,,0.14890871942043304,,,0.6612346659852555,,,0.749091076709327,,,0.0
nc-2-n4-2-n8-1-skip0-8,"[4, 4, 4, 8]",0,2,128.0,3,8,,,0.14898397773504257,,,0.6593319658507151,,,0.7487794278879807,,,0.0
