epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8469,0.0000,0.8205,625.6004,0.1189,0.8684,0.0000,0.8515,615.7479,0.1032
1,0.8833,0.0000,0.8717,614.4533,0.0910,0.8817,0.0000,0.8685,610.3367,0.0917
2,0.8938,0.0000,0.8849,610.8888,0.0830,0.8888,0.0000,0.8782,608.7621,0.0871
3,0.9016,0.0000,0.8943,608.4576,0.0776,0.8951,0.0000,0.8854,606.2139,0.0823
4,0.9074,0.0013,0.9012,606.6728,0.0736,0.8989,0.0000,0.8909,604.9532,0.0797
5,0.9125,0.0020,0.9071,605.1240,0.0701,0.9023,0.0030,0.8948,603.9266,0.0770
6,0.9166,0.0026,0.9119,603.8699,0.0673,0.9049,0.0000,0.8980,602.4712,0.0754
7,0.9207,0.0033,0.9166,602.6795,0.0647,0.9075,0.0061,0.9003,602.9147,0.0739
8,0.9237,0.0039,0.9200,601.6689,0.0624,0.9105,0.0061,0.9050,600.6064,0.0727
9,0.9268,0.0072,0.9234,600.8914,0.0606,0.9109,0.0091,0.9048,601.3571,0.0715
10,0.9293,0.0092,0.9264,600.0761,0.0588,0.9148,0.0122,0.9104,598.8597,0.0696
11,0.9321,0.0111,0.9293,599.2582,0.0571,0.9158,0.0152,0.9108,599.6425,0.0685
12,0.9345,0.0157,0.9320,598.6027,0.0555,0.9162,0.0244,0.9107,600.1550,0.0687
13,0.9364,0.0177,0.9341,597.9652,0.0542,0.9183,0.0183,0.9142,597.7826,0.0677
14,0.9384,0.0177,0.9362,597.4491,0.0529,0.9183,0.0152,0.9143,597.8124,0.0675
15,0.9404,0.0190,0.9384,596.8663,0.0518,0.9189,0.0183,0.9147,598.2542,0.0667
16,0.9420,0.0249,0.9401,596.4163,0.0507,0.9199,0.0183,0.9157,598.1842,0.0661
17,0.9439,0.0216,0.9422,595.8615,0.0495,0.9219,0.0366,0.9182,597.0087,0.0652
18,0.9452,0.0223,0.9435,595.4698,0.0486,0.9218,0.0274,0.9185,596.0298,0.0654
