epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8499,0.0000,0.8237,616.3815,0.1166,0.8510,0.0000,0.8337,669.1571,0.1126
1,0.8884,0.0000,0.8780,604.3113,0.0873,0.8632,0.0000,0.8487,666.5208,0.1061
2,0.9005,0.0000,0.8927,600.6435,0.0788,0.8699,0.0000,0.8594,662.3368,0.0992
3,0.9080,0.0045,0.9016,598.2720,0.0735,0.8726,0.0000,0.8617,662.2961,0.0988
4,0.9136,0.0067,0.9082,596.4413,0.0696,0.8805,0.0000,0.8727,658.9904,0.0937
5,0.9186,0.0050,0.9139,594.9733,0.0664,0.8824,0.0000,0.8738,659.7662,0.0930
6,0.9226,0.0101,0.9185,593.7908,0.0637,0.8802,0.0000,0.8721,659.1612,0.0946
7,0.9262,0.0157,0.9227,592.8286,0.0614,0.8809,0.0000,0.8733,659.1733,0.0935
8,0.9295,0.0118,0.9263,591.7476,0.0590,0.8832,0.0000,0.8764,658.0667,0.0917
9,0.9321,0.0151,0.9291,590.8727,0.0573,0.8859,0.0000,0.8792,657.0801,0.0902
10,0.9346,0.0219,0.9319,590.1506,0.0557,0.8831,0.0000,0.8759,657.5647,0.0904
11,0.9373,0.0230,0.9348,589.3793,0.0539,0.8813,0.0000,0.8754,656.2736,0.0934
12,0.9391,0.0219,0.9368,588.6376,0.0526,0.8895,0.0000,0.8836,656.8583,0.0886
13,0.9408,0.0219,0.9387,588.3674,0.0514,0.8912,0.0000,0.8861,655.3074,0.0891
14,0.9429,0.0275,0.9410,587.6920,0.0500,0.8886,0.0000,0.8824,656.3714,0.0883
15,0.9446,0.0336,0.9428,587.1693,0.0491,0.8933,0.0000,0.8888,654.0766,0.0879
16,0.9461,0.0376,0.9444,586.7523,0.0481,0.8889,0.0000,0.8830,656.6759,0.0894
17,0.9472,0.0359,0.9456,586.3862,0.0472,0.8914,0.0000,0.8869,654.2891,0.0883
18,0.9489,0.0387,0.9474,585.9865,0.0461,0.8909,0.0000,0.8861,654.7528,0.0873
19,0.9502,0.0443,0.9487,585.5440,0.0453,0.8908,0.0000,0.8858,655.5545,0.0886
20,0.9514,0.0409,0.9501,585.2452,0.0446,0.8930,0.0000,0.8881,654.9516,0.0879
21,0.9527,0.0426,0.9514,584.8339,0.0438,0.8941,0.0000,0.8903,653.2811,0.0876
22,0.9535,0.0448,0.9524,584.4624,0.0430,0.8922,0.0000,0.8873,654.6387,0.0887
23,0.9547,0.0527,0.9535,584.1524,0.0424,0.8893,0.0000,0.8849,654.4450,0.0895
24,0.9556,0.0589,0.9545,583.9717,0.0418,0.8954,0.0000,0.8913,653.0786,0.0866
25,0.9561,0.0527,0.9551,583.7919,0.0414,0.8898,0.0000,0.8858,654.8317,0.0901
26,0.9571,0.0538,0.9561,583.5541,0.0409,0.8943,0.0000,0.8902,654.1355,0.0876
