epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8347,0.0000,0.8014,630.4546,0.8360,0.8527,0.0000,0.8246,628.8338,0.2778
1,0.8560,0.0000,0.8355,623.7437,0.2264,0.8557,0.0000,0.8308,627.0576,0.1993
2,0.8612,0.0000,0.8433,621.9408,0.1861,0.8618,0.0000,0.8404,625.6721,0.1767
3,0.8642,0.0000,0.8470,621.0800,0.1688,0.8658,0.0000,0.8465,624.1518,0.1623
4,0.8678,0.0000,0.8520,619.8111,0.1568,0.8673,0.0000,0.8487,624.5937,0.1551
5,0.8703,0.0000,0.8555,619.1073,0.1497,0.8684,0.0000,0.8529,622.1263,0.1509
6,0.8725,0.0000,0.8586,618.3317,0.1446,0.8713,0.0000,0.8536,622.4479,0.1440
7,0.8739,0.0000,0.8603,617.9183,0.1421,0.8723,0.0000,0.8561,620.8154,0.1439
8,0.8760,0.0000,0.8631,617.2906,0.1389,0.8765,0.0000,0.8624,619.5870,0.1385
9,0.8771,0.0000,0.8647,616.7362,0.1363,0.8776,0.0000,0.8635,619.9494,0.1358
10,0.8782,0.0000,0.8659,616.4997,0.1348,0.8772,0.0000,0.8634,618.7343,0.1359
11,0.8788,0.0000,0.8669,616.0792,0.1334,0.8786,0.0000,0.8652,619.1650,0.1323
12,0.8798,0.0000,0.8682,615.8031,0.1319,0.8790,0.0000,0.8659,618.8872,0.1324
13,0.8802,0.0000,0.8686,615.7414,0.1310,0.8773,0.0000,0.8622,620.4209,0.1330
14,0.8811,0.0000,0.8696,615.4880,0.1295,0.8790,0.0000,0.8651,619.6074,0.1305
15,0.8813,0.0000,0.8700,615.2979,0.1287,0.8793,0.0000,0.8669,618.9645,0.1301
16,0.8816,0.0000,0.8705,615.1743,0.1279,0.8795,0.0000,0.8668,618.1838,0.1301
17,0.8822,0.0000,0.8715,615.0194,0.1275,0.8818,0.0000,0.8691,618.0564,0.1277
18,0.8829,0.0000,0.8721,614.7154,0.1263,0.8818,0.0000,0.8690,617.9020,0.1271
19,0.8832,0.0000,0.8726,614.6573,0.1262,0.8822,0.0000,0.8692,618.3523,0.1262
20,0.8840,0.0000,0.8736,614.4264,0.1249,0.8807,0.0000,0.8678,618.7886,0.1273
21,0.8839,0.0000,0.8735,614.3032,0.1243,0.8833,0.0000,0.8715,617.8752,0.1254
22,0.8841,0.0000,0.8736,614.3614,0.1244,0.8829,0.0000,0.8696,619.1373,0.1250
23,0.8849,0.0000,0.8746,614.1300,0.1237,0.8842,0.0000,0.8711,618.5204,0.1247
24,0.8849,0.0000,0.8748,614.1467,0.1235,0.8833,0.0000,0.8722,616.8192,0.1245
25,0.8853,0.0000,0.8751,613.9083,0.1229,0.8828,0.0000,0.8704,618.9342,0.1246
26,0.8853,0.0000,0.8751,613.9768,0.1228,0.8823,0.0000,0.8691,619.4932,0.1248
27,0.8851,0.0000,0.8750,613.9733,0.1229,0.8808,0.0000,0.8698,616.7508,0.1261
28,0.8866,0.0000,0.8766,613.6556,0.1216,0.8827,0.0000,0.8717,616.8245,0.1232
29,0.8859,0.0000,0.8759,613.7219,0.1217,0.8820,0.0000,0.8692,619.0420,0.1244
30,0.8857,0.0000,0.8759,613.7905,0.1219,0.8816,0.0000,0.8701,617.7546,0.1245
31,0.8857,0.0000,0.8758,613.7514,0.1216,0.8836,0.0000,0.8723,618.1364,0.1226
32,0.8856,0.0000,0.8757,613.7228,0.1212,0.8835,0.0000,0.8716,617.9729,0.1237
33,0.8861,0.0000,0.8763,613.6621,0.1208,0.8834,0.0000,0.8721,616.5293,0.1239
34,0.8860,0.0000,0.8762,613.6595,0.1208,0.8845,0.0000,0.8740,616.4132,0.1224
35,0.8857,0.0000,0.8758,613.7049,0.1209,0.8834,0.0000,0.8713,617.0638,0.1232
36,0.8861,0.0000,0.8762,613.6529,0.1208,0.8846,0.0000,0.8734,617.4586,0.1209
37,0.8863,0.0000,0.8765,613.5517,0.1201,0.8839,0.0000,0.8712,618.0510,0.1219
38,0.8861,0.0000,0.8763,613.5873,0.1203,0.8836,0.0000,0.8721,617.6731,0.1228
39,0.8859,0.0000,0.8759,613.7276,0.1204,0.8830,0.0000,0.8701,618.8511,0.1230
40,0.8862,0.0000,0.8764,613.5362,0.1203,0.8828,0.0000,0.8710,616.9968,0.1224
41,0.8863,0.0000,0.8763,613.5266,0.1197,0.8826,0.0000,0.8717,617.1428,0.1231
42,0.8861,0.0000,0.8763,613.5749,0.1201,0.8841,0.0000,0.8712,617.5163,0.1218
43,0.8869,0.0000,0.8772,613.2729,0.1193,0.8831,0.0000,0.8711,617.8799,0.1221
44,0.8870,0.0000,0.8771,613.4115,0.1193,0.8837,0.0000,0.8715,616.7609,0.1214
45,0.8870,0.0000,0.8771,613.3133,0.1191,0.8846,0.0000,0.8731,618.0963,0.1211
46,0.8869,0.0000,0.8769,613.3461,0.1190,0.8830,0.0000,0.8717,617.2209,0.1218
47,0.8863,0.0000,0.8764,613.4793,0.1197,0.8847,0.0000,0.8724,618.2166,0.1205
48,0.8871,0.0000,0.8775,613.1843,0.1184,0.8839,0.0000,0.8721,617.4139,0.1207
49,0.8869,0.0000,0.8771,613.3829,0.1191,0.8843,0.0000,0.8735,616.1020,0.1223
50,0.8879,0.0000,0.8782,613.1487,0.1188,0.8847,0.0000,0.8739,616.7071,0.1201
51,0.8870,0.0000,0.8773,613.2745,0.1190,0.8864,0.0000,0.8742,617.0606,0.1196
52,0.8874,0.0000,0.8778,613.1394,0.1184,0.8844,0.0000,0.8728,618.2950,0.1215
53,0.8873,0.0000,0.8778,613.1822,0.1183,0.8855,0.0000,0.8748,616.7129,0.1191
54,0.8871,0.0000,0.8774,613.2058,0.1185,0.8845,0.0000,0.8727,617.4197,0.1204
55,0.8874,0.0000,0.8777,613.0519,0.1184,0.8853,0.0000,0.8747,616.6679,0.1205
56,0.8874,0.0000,0.8778,613.0885,0.1181,0.8845,0.0000,0.8742,615.9554,0.1206
57,0.8875,0.0000,0.8779,613.0431,0.1180,0.8858,0.0000,0.8746,615.7481,0.1192
58,0.8870,0.0000,0.8774,613.2700,0.1187,0.8852,0.0000,0.8737,616.7617,0.1195
59,0.8871,0.0000,0.8776,613.1073,0.1182,0.8845,0.0000,0.8724,617.1659,0.1206
60,0.8873,0.0000,0.8776,613.1837,0.1193,0.8848,0.0000,0.8730,618.0994,0.1213
61,0.8876,0.0000,0.8780,613.0853,0.1182,0.8861,0.0000,0.8743,617.1963,0.1185
62,0.8870,0.0000,0.8774,613.1624,0.1182,0.8843,0.0000,0.8724,617.0004,0.1209
63,0.8877,0.0000,0.8782,612.9741,0.1179,0.8847,0.0000,0.8738,616.9174,0.1202
64,0.8874,0.0000,0.8778,613.1679,0.1184,0.8858,0.0000,0.8749,617.5148,0.1199
65,0.8877,0.0000,0.8782,613.0364,0.1178,0.8850,0.0000,0.8738,616.4729,0.1200
66,0.8880,0.0000,0.8784,612.9572,0.1185,0.8852,0.0000,0.8744,616.4723,0.1203
67,0.8880,0.0000,0.8786,612.9565,0.1179,0.8848,0.0000,0.8744,616.7700,0.1199
68,0.8877,0.0000,0.8779,613.0252,0.1177,0.8846,0.0000,0.8732,618.2027,0.1205
69,0.8877,0.0000,0.8785,613.0865,0.1182,0.8845,0.0000,0.8722,617.1113,0.1211
70,0.8877,0.0000,0.8781,613.0173,0.1182,0.8865,0.0000,0.8751,617.1390,0.1196
71,0.8881,0.0000,0.8788,612.8687,0.1175,0.8828,0.0000,0.8726,615.9813,0.1217
72,0.8877,0.0000,0.8780,613.0459,0.1177,0.8863,0.0000,0.8750,618.0027,0.1202
73,0.8883,0.0000,0.8790,612.9197,0.1174,0.8852,0.0000,0.8735,616.8746,0.1196
74,0.8875,0.0000,0.8779,613.1237,0.1180,0.8847,0.0000,0.8746,616.7178,0.1200
75,0.8878,0.0000,0.8783,612.9727,0.1175,0.8844,0.0000,0.8725,616.5977,0.1200
76,0.8882,0.0000,0.8788,612.8859,0.1172,0.8828,0.0000,0.8724,616.4759,0.1215
77,0.8876,0.0000,0.8780,613.1569,0.1188,0.8847,0.0000,0.8732,616.5186,0.1212
78,0.8885,0.0000,0.8792,612.8122,0.1173,0.8850,0.0000,0.8737,617.2061,0.1194
79,0.8881,0.0000,0.8786,612.9643,0.1174,0.8844,0.0000,0.8736,616.0978,0.1201
80,0.8885,0.0000,0.8790,612.8057,0.1168,0.8839,0.0000,0.8727,617.6520,0.1200
81,0.8875,0.0000,0.8779,613.0648,0.1177,0.8856,0.0000,0.8741,616.8121,0.1194
82,0.8885,0.0000,0.8788,612.8871,0.1171,0.8847,0.0000,0.8736,617.1724,0.1197
83,0.8881,0.0000,0.8787,612.9110,0.1171,0.8858,0.0000,0.8746,616.4717,0.1188
84,0.8875,0.0000,0.8779,613.2353,0.1235,0.8849,0.0000,0.8739,616.7199,0.1278
85,0.8887,0.0000,0.8795,612.7157,0.1181,0.8865,0.0000,0.8756,616.9869,0.1186
86,0.8880,0.0000,0.8785,612.9108,0.1170,0.8849,0.0000,0.8734,617.5146,0.1194
87,0.8887,0.0000,0.8793,612.7268,0.1173,0.8848,0.0000,0.8744,616.9706,0.1197
88,0.8883,0.0000,0.8788,612.8452,0.1176,0.8853,0.0000,0.8733,617.2859,0.1199
89,0.8890,0.0000,0.8797,612.5864,0.1164,0.8860,0.0000,0.8750,615.6380,0.1185
90,0.8884,0.0000,0.8787,612.9271,0.1172,0.8860,0.0000,0.8742,616.3123,0.1186
91,0.8885,0.0000,0.8791,612.8335,0.1170,0.8860,0.0000,0.8736,617.4296,0.1198
