name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
23s_S.aureus_domain6,0.5849056603773585,0.4246575342465753,0.557630979498861,0.49206349206349204,hc_400,23s
23s_T.thermophilus_domain3,0.6105263157894737,0.5631067961165048,0.6262626262626262,0.5858585858585859,hc_400,23s
23s_E.coli_domain3,0.6082474226804123,0.5363636363636364,0.6137920535850205,0.570048309178744,hc_400,23s
23s_H.pylori_domain3,0.38461538461538464,0.3333333333333333,0.45968657733363616,0.3571428571428571,hc_400,23s
23s_B.subtilis_domain4,0.42857142857142855,0.3402061855670103,0.41379310344827586,0.37931034482758624,hc_400,23s
23s_S.aureus_domain4,0.35802469135802467,0.3020833333333333,0.327683615819209,0.327683615819209,hc_400,23s
23s_T.thermophilus_domain6,0.4915254237288136,0.3918918918918919,0.4593726846134848,0.43609022556390975,hc_400,23s
23s_E.coli_domain6,0.66,0.4520547945205479,0.5528455284552846,0.5365853658536586,hc_400,23s
23s_B.subtilis_domain3,0.35789473684210527,0.3177570093457944,0.3616125967150807,0.3366336633663366,hc_400,23s
23s_H.pylori_domain6,0.42857142857142855,0.2647058823529412,0.32727272727272727,0.32727272727272727,hc_400,23s
23s_B.subtilis_domain6,0.5692307692307692,0.5,0.5899280575539568,0.5323741007194245,hc_400,23s
23s_T.thermophilus_domain4,0.5657894736842105,0.45263157894736844,0.5146198830409356,0.5029239766081872,hc_400,23s
23s_E.coli_domain4,0.3111111111111111,0.28865979381443296,0.32085561497326204,0.29946524064171126,hc_400,23s
23s_S.aureus_domain3,0.31,0.28703703703703703,0.3557692307692307,0.2980769230769231,hc_400,23s
23s_H.pylori_domain4,0.6103896103896104,0.5222222222222223,0.6171747730975099,0.562874251497006,hc_400,23s
