name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
23s_H.pylori_domain4,0.3761467889908257,0.45555555555555555,0.45226130653266333,0.4120603015075377,samples_200,23s
23s_S.aureus_domain4,0.205607476635514,0.22916666666666666,0.22660098522167488,0.21674876847290642,samples_200,23s
23s_H.pylori_domain3,0.10743801652892562,0.12380952380952381,0.11504424778761062,0.11504424778761062,samples_200,23s
23s_B.subtilis_domain3,0.20175438596491227,0.21495327102803738,0.22148394241417493,0.2081447963800905,samples_200,23s
23s_S.aureus_domain6,0.24705882352941178,0.2876712328767123,0.26582278481012656,0.26582278481012656,samples_200,23s
23s_T.thermophilus_domain3,0.208,0.2524271844660194,0.2368421052631579,0.22807017543859648,samples_200,23s
23s_E.coli_domain4,0.2336448598130841,0.25773195876288657,0.2549019607843137,0.24509803921568624,samples_200,23s
23s_B.subtilis_domain6,0.3132530120481928,0.35135135135135137,0.33121019108280253,0.33121019108280253,samples_200,23s
23s_E.coli_domain3,0.23076923076923078,0.24545454545454545,0.272572402044293,0.2378854625550661,samples_200,23s
23s_T.thermophilus_domain6,0.17045454545454544,0.20270270270270271,0.18518518518518517,0.18518518518518517,samples_200,23s
23s_B.subtilis_domain4,0.28440366972477066,0.31958762886597936,0.32924743443557586,0.3009708737864077,samples_200,23s
23s_S.aureus_domain3,0.23478260869565218,0.25,0.25112107623318386,0.242152466367713,samples_200,23s
23s_T.thermophilus_domain4,0.3018867924528302,0.3368421052631579,0.31840796019900497,0.31840796019900497,samples_200,23s
23s_E.coli_domain6,0.3176470588235294,0.3698630136986301,0.37836700336700335,0.34177215189873417,samples_200,23s
23s_H.pylori_domain6,0.23376623376623376,0.2647058823529412,0.27586206896551724,0.24827586206896549,samples_200,23s
