name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
RNaseP_T.luteus,0.45454545454545453,0.054945054945054944,0.09803921568627451,0.09803921568627451,rnadist_200,RNaseP
RNaseP_LGB27,0.18181818181818182,0.019230769230769232,0.03478260869565218,0.03478260869565218,rnadist_200,RNaseP
RNaseP_A.fastidiosum,0.3333333333333333,0.03260869565217391,0.05940594059405941,0.05940594059405941,rnadist_200,RNaseP
RNaseP_T.acidophilum,0.23529411764705882,0.04395604395604396,0.07407407407407408,0.07407407407407408,rnadist_200,RNaseP
RNaseP_ESH212C,0.375,0.029411764705882353,0.05454545454545454,0.05454545454545454,rnadist_200,RNaseP
RNaseP_S.caesia-K76T,0.75,0.02912621359223301,0.056074766355140186,0.056074766355140186,rnadist_200,RNaseP
RNaseP_S.negevensis,0.14814814814814814,0.05714285714285714,0.08247422680412371,0.08247422680412371,rnadist_200,RNaseP
RNaseP_P.strasburgensis,0.5625,0.09375,0.16071428571428573,0.16071428571428573,rnadist_200,RNaseP
RNaseP_N.meningtidis-MC58,0.25,0.009259259259259259,0.017857142857142856,0.017857142857142856,rnadist_200,RNaseP
RNaseP_P.putida,0.11764705882352941,0.023809523809523808,0.0396039603960396,0.0396039603960396,rnadist_200,RNaseP
RNaseP_Y.pestis,0.6153846153846154,0.06611570247933884,0.11940298507462686,0.11940298507462686,rnadist_200,RNaseP
RNaseP_M.thermoautotrophicumDH-g,0.5555555555555556,0.05952380952380952,0.1075268817204301,0.1075268817204301,rnadist_200,RNaseP
RNaseP_A.brierleyi,0.6666666666666666,0.22857142857142856,0.3404255319148936,0.3404255319148936,rnadist_200,RNaseP
RNaseP_C.pneumoniae,0.3157894736842105,0.061855670103092786,0.10344827586206896,0.10344827586206896,rnadist_200,RNaseP
RNaseP_T.album,0.375,0.030927835051546393,0.05714285714285715,0.05714285714285715,rnadist_200,RNaseP
RNaseP_CPA49,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.13333333333333333,rnadist_200,RNaseP
RNaseP_P.vulgaris,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_E.eschsholtzii,0.25,0.037037037037037035,0.06451612903225806,0.06451612903225806,rnadist_200,RNaseP
RNaseP_V.cholera,0.18181818181818182,0.01639344262295082,0.030075187969924817,0.030075187969924817,rnadist_200,RNaseP
RNaseP_CPA61,0.2,0.009259259259259259,0.017699115044247787,0.017699115044247787,rnadist_200,RNaseP
RNaseP_P.cultripes,0.045454545454545456,0.02040816326530612,0.02816901408450704,0.02816901408450704,rnadist_200,RNaseP
RNaseP_ESH7-9,0.07142857142857142,0.011111111111111112,0.019230769230769232,0.019230769230769232,rnadist_200,RNaseP
RNaseP_S.viridis-K73T,0.25,0.019417475728155338,0.036036036036036036,0.036036036036036036,rnadist_200,RNaseP
RNaseP_P.alcalifaciens,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_M.luteus,0.375,0.030927835051546393,0.05714285714285715,0.05714285714285715,rnadist_200,RNaseP
RNaseP_SM1,0.25,0.023529411764705882,0.04301075268817204,0.04301075268817204,rnadist_200,RNaseP
RNaseP_SM-A3254,0.5714285714285714,0.041666666666666664,0.07766990291262137,0.07766990291262137,rnadist_200,RNaseP
RNaseP_C.psittaci-2,0.6,0.11538461538461539,0.1935483870967742,0.1935483870967742,rnadist_200,RNaseP
RNaseP_S.solfataricus,0.23076923076923078,0.08955223880597014,0.12903225806451613,0.12903225806451613,rnadist_200,RNaseP
RNaseP_LGW23,0.36363636363636365,0.04,0.07207207207207207,0.07207207207207207,rnadist_200,RNaseP
RNaseP_SM-A6090,0.3333333333333333,0.012048192771084338,0.023255813953488372,0.023255813953488372,rnadist_200,RNaseP
RNaseP_S.viridis-K197,0.25,0.019417475728155338,0.036036036036036036,0.036036036036036036,rnadist_200,RNaseP
RNaseP_S.glauca-K195,0.3333333333333333,0.019417475728155338,0.03669724770642202,0.03669724770642202,rnadist_200,RNaseP
RNaseP_S.pneumoniae,0.6666666666666666,0.05128205128205128,0.09523809523809523,0.09523809523809523,rnadist_200,RNaseP
RNaseP_C.trachomatis-2,0.4,0.061068702290076333,0.13245033112582782,0.10596026490066225,rnadist_200,RNaseP
RNaseP_P.horikoshi,0.55,0.11224489795918367,0.1864406779661017,0.1864406779661017,rnadist_200,RNaseP
RNaseP_S.bayanus,0.5833333333333334,0.07368421052631578,0.1308411214953271,0.1308411214953271,rnadist_200,RNaseP
RNaseP_S.viridis-K191,0.375,0.02912621359223301,0.05405405405405406,0.05405405405405406,rnadist_200,RNaseP
RNaseP_C.opuntiae,0.13333333333333333,0.04878048780487805,0.07142857142857142,0.07142857142857142,rnadist_200,RNaseP
RNaseP_G.sulfurreducens,0.7,0.0603448275862069,0.11111111111111113,0.11111111111111113,rnadist_200,RNaseP
RNaseP_N.simplex,0.14285714285714285,0.01282051282051282,0.02352941176470588,0.02352941176470588,rnadist_200,RNaseP
RNaseP_SM-A1932,0.23076923076923078,0.033707865168539325,0.0588235294117647,0.0588235294117647,rnadist_200,RNaseP
RNaseP_SM2,0.25,0.023529411764705882,0.04301075268817204,0.04301075268817204,rnadist_200,RNaseP
RNaseP_M.fermentans,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_M.bovis,0.5,0.06870229007633588,0.12080536912751678,0.12080536912751678,rnadist_200,RNaseP
RNaseP_C.trachomatis-D,0.4,0.061068702290076333,0.13245033112582782,0.10596026490066225,rnadist_200,RNaseP
RNaseP_C.testosteroni,0.3333333333333333,0.07792207792207792,0.12631578947368421,0.12631578947368421,rnadist_200,RNaseP
RNaseP_P.abyssi,0.5263157894736842,0.10309278350515463,0.1724137931034483,0.1724137931034483,rnadist_200,RNaseP
RNaseP_S.polymorpha,0.2,0.0375,0.08421052631578949,0.0631578947368421,rnadist_200,RNaseP
RNaseP_N.fulvus-JCM3335,0.6923076923076923,0.11842105263157894,0.20224719101123595,0.20224719101123595,rnadist_200,RNaseP
RNaseP_Synechococcus-PCC7001,0.09090909090909091,0.00980392156862745,0.01769911504424779,0.01769911504424779,rnadist_200,RNaseP
RNaseP_T.maritima-g,0.6153846153846154,0.07407407407407407,0.1322314049586777,0.1322314049586777,rnadist_200,RNaseP
RNaseP_M.jannaschii,0.44,0.1506849315068493,0.22448979591836735,0.22448979591836735,rnadist_200,RNaseP
RNaseP_D.radiodurans,0.5555555555555556,0.033112582781456956,0.06250000000000001,0.06250000000000001,rnadist_200,RNaseP
RNaseP_A.ambivalens,0.4666666666666667,0.0958904109589041,0.15909090909090906,0.15909090909090906,rnadist_200,RNaseP
RNaseP_SM-A03,0.25,0.01098901098901099,0.021052631578947368,0.021052631578947368,rnadist_200,RNaseP
RNaseP_V.spinosum,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_Pseudoanabaena-PCC6903,0.7857142857142857,0.07236842105263158,0.13253012048192772,0.13253012048192772,rnadist_200,RNaseP
RNaseP_A.ferrooxidans-g,0.7,0.06542056074766354,0.11965811965811965,0.11965811965811965,rnadist_200,RNaseP
RNaseP_CPB139,0.125,0.011627906976744186,0.02127659574468085,0.02127659574468085,rnadist_200,RNaseP
RNaseP_Nostoc-PCC6705,0.6428571428571429,0.07258064516129033,0.13043478260869565,0.13043478260869565,rnadist_200,RNaseP
RNaseP_N.europaea,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.08333333333333333,rnadist_200,RNaseP
RNaseP_SM-A4674,0.25,0.010752688172043012,0.02061855670103093,0.02061855670103093,rnadist_200,RNaseP
