name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
grp1_a.I1.e.C.saccatum.C1.SSU.1512,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.P.carinii.Pc2.C1.LSU.1921,0.5,0.036036036036036036,0.06722689075630252,0.06722689075630252,rnadist_400,grp1
grp1_a.I1.e.Staurastrum.sp.M752.C1.SSU.1506,0.25,0.008403361344537815,0.016260162601626015,0.016260162601626015,rnadist_400,grp1
grp1_a.I1.e.A.capsulatus.CBS213.53.C1.SSU.943,0.8,0.03305785123966942,0.06349206349206349,0.06349206349206349,rnadist_400,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.943,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1052,0.18181818181818182,0.030303030303030304,0.05194805194805195,0.05194805194805195,rnadist_400,grp1
grp1_a.I1.e.P.carinii.C1.SSU.1506,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.U.maydis.C1.SSU.943,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.1506,0.6666666666666666,0.019230769230769232,0.037383177570093455,0.037383177570093455,rnadist_400,grp1
grp1_a.I1.c.G.prostrata.C3.tLEU,0.6666666666666666,0.03333333333333333,0.06349206349206349,0.06349206349206349,rnadist_400,grp1
grp1_a.I1.e.T.cosmopolitanis.C1.LSU.1925,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.C.ellipsoidea.211-1a.C1.SSU.1506,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.G.planctonica.C1.SSU.943,0.2,0.007462686567164179,0.014388489208633093,0.014388489208633093,rnadist_400,grp1
grp1_a.I1.m.S.luteus.A1.LSU.2504,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.1506,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1210,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.287,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1516,0.42857142857142855,0.04918032786885246,0.08823529411764706,0.08823529411764706,rnadist_400,grp1
grp1_a.I1.e.S.granulatum.C1.SSU.1506,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.A.stipitatus.C1.SSU.1046,0.36363636363636365,0.032,0.058823529411764705,0.058823529411764705,rnadist_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1516,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.D.salina.C1.SSU.943,0.75,0.04918032786885246,0.0923076923076923,0.0923076923076923,rnadist_400,grp1
grp1_a.I1.e.A.capsulatus.FLs1.C1.SSU,0.5,0.03278688524590164,0.061538461538461535,0.061538461538461535,rnadist_400,grp1
grp1_a.I1.e.A.adeninivorans.C1.LSU.2449,0.0,0.0,0.0,0.0,rnadist_400,grp1
