name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
23s_B.subtilis_domain3,0.18181818181818182,0.037383177570093455,0.062015503875968984,0.062015503875968984,samples_100,23s
23s_S.aureus_domain6,0.16666666666666666,0.0410958904109589,0.06593406593406594,0.06593406593406594,samples_100,23s
23s_E.coli_domain4,0.625,0.10309278350515463,0.17699115044247787,0.17699115044247787,samples_100,23s
23s_H.pylori_domain3,0.8571428571428571,0.05714285714285714,0.10714285714285714,0.10714285714285714,samples_100,23s
23s_T.thermophilus_domain3,0.6842105263157895,0.1262135922330097,0.21311475409836064,0.21311475409836064,samples_100,23s
23s_E.coli_domain6,0.4482758620689655,0.1780821917808219,0.2549019607843137,0.2549019607843137,samples_100,23s
23s_T.thermophilus_domain4,0.5,0.08421052631578947,0.14414414414414414,0.14414414414414414,samples_100,23s
23s_E.coli_domain3,0.3333333333333333,0.03636363636363636,0.06557377049180327,0.06557377049180327,samples_100,23s
23s_B.subtilis_domain4,0.47368421052631576,0.09278350515463918,0.15517241379310343,0.15517241379310343,samples_100,23s
23s_H.pylori_domain4,0.4827586206896552,0.15555555555555556,0.23529411764705885,0.23529411764705885,samples_100,23s
23s_T.thermophilus_domain6,0.15,0.04054054054054054,0.06382978723404256,0.06382978723404256,samples_100,23s
23s_S.aureus_domain3,0.9,0.16666666666666666,0.28125,0.28125,samples_100,23s
23s_S.aureus_domain4,0.6,0.125,0.20689655172413793,0.20689655172413793,samples_100,23s
23s_H.pylori_domain6,0.25,0.058823529411764705,0.09523809523809523,0.09523809523809523,samples_100,23s
23s_B.subtilis_domain6,0.14285714285714285,0.02702702702702703,0.045454545454545456,0.045454545454545456,samples_100,23s
