run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_f64_64_64,Seq2Motif_tRNA,s2m_skip1_f64_64_64,"[64, 64, 64]",1,2,2,2048.0,162625,0.020969970637689465,0.033806909807026386,0.19276521934403312,0.9578064992722468,0.9742703488965184,0.6212184533976248,0.9706368532008914,0.9520490721812696,0.5866690433752467,0.0,0.0,0.0
s2m_skip0_f64_64_64,Seq2Motif_tRNA,s2m_skip0_f64_64_64,"[64, 64, 64]",0,2,2,2048.0,138049,0.028588218533474465,0.0420258113493522,0.19048632350232866,0.9452024186160043,0.9639540752015704,0.5893482813871384,0.9588446679559892,0.9372319623095867,0.5766840265442342,0.0,0.0,0.0
s2m_skip1_f32_64_64,Seq2Motif_tRNA,s2m_skip1_f32_64_64,"[32, 64, 64]",1,2,2,2048.0,112641,0.02680319725819256,0.04124183766543865,0.1949657698472341,0.9492074586888473,0.9669673266072117,0.6197397133873991,0.9620353220999857,0.9417444310597728,0.5726100172137873,0.0,0.0,0.0
s2m_skip0_f32_64_64,Seq2Motif_tRNA,s2m_skip0_f32_64_64,"[32, 64, 64]",0,2,2,2048.0,97281,0.04027783336198848,0.04733198322355747,0.17262973388036093,0.9379661466689609,0.948321907682194,0.6541410982663071,0.9401896610151629,0.9287286849149221,0.6111820632178347,0.0,0.0,0.0
s2m_skip1_f32_32_64,Seq2Motif_tRNA,s2m_skip1_f32_32_64,"[32, 32, 64]",1,2,2,2048.0,56929,0.027345152126382225,0.03840318756798903,0.18843659427430895,0.9509558660507132,0.9655980264043337,0.6444508809274165,0.9605326875383793,0.9442486478432041,0.5914124231017327,0.0,0.0,0.0
s2m_skip0_f32_32_64,Seq2Motif_tRNA,s2m_skip0_f32_32_64,"[32, 32, 64]",0,2,2,2048.0,50785,0.028674540069440136,0.04309308218459288,0.18508025341563755,0.9440889875088376,0.9648547175703955,0.633800356973162,0.9599208770074751,0.9365920720832891,0.5898510763716038,0.0,0.0,0.0
s2m_skip1_f32_32_32,Seq2Motif_tRNA,s2m_skip1_f32_32_32,"[32, 32, 32]",1,2,2,1024.0,41377,0.02699423370801884,0.03888585170110067,0.1965172009335624,0.9494869403860683,0.9658620530366326,0.6043367651305709,0.9609576793205944,0.942340871108828,0.570237525044258,0.0,0.0,0.0
s2m_skip0_f32_32_32,Seq2Motif_tRNA,s2m_skip0_f32_32_32,"[32, 32, 32]",0,2,2,1024.0,35233,0.03019349900600703,0.04208900096515814,0.17821978363725874,0.9454995481521262,0.9621182889228822,0.6158541569680711,0.956614430166797,0.9379285728299688,0.589352111213676,0.0,0.0,0.0
s2m_skip1_f16_64_64,Seq2Motif_tRNA,s2m_skip1_f16_64_64,"[16, 64, 64]",1,2,2,2048.0,96865,0.028137301297291466,0.041100759680072464,0.19327725801202986,0.9496179495377298,0.965591500582839,0.6218625654960421,0.9610087690049142,0.9420016072905226,0.5860106223984849,0.0,0.0,0.0
s2m_skip0_f16_64_64,Seq2Motif_tRNA,s2m_skip0_f16_64_64,"[16, 64, 64]",0,2,2,2048.0,83809,0.02970627197266921,0.043525040770570435,0.1859370917081833,0.9443437059428318,0.9626972194703451,0.6078475396687818,0.957344194189988,0.9368825746522482,0.5746092793023492,0.0,0.0,0.0
