run_name,exp,run,arc_features,arc_kernels,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
scnn_k3_f64_64_64,SimpleCNN_cd-hit0_full,scnn_k3_f64_64_64,"[64, 64, 64]","[3, 3, 3]",25985,0.06381159943218033,0.0864195887531553,0.08193912889276232,0.7028705263155182,0.7686117624134109,0.6850929777116107,0.7472501669276433,0.6969953369821751,0.6759707845187616,0.0,0.0,0.0
scnn_k3_f32_64_64,SimpleCNN_cd-hit0_full,scnn_k3_f32_64_64,"[32, 64, 64]","[3, 3, 3]",19361,0.06461738391468923,0.08806646934577397,0.08222374745777675,0.697155137914553,0.7662245795103978,0.7008746361048112,0.7439253886985794,0.6864575722683739,0.6832237916585179,0.0,0.0,0.0
scnn_k3_f32_32_64,SimpleCNN_cd-hit0_full,scnn_k3_f32_32_64,"[32, 32, 64]","[3, 3, 3]",10049,0.06701844402899344,0.08813535528523582,0.0823982719864164,0.6891969990067507,0.7552250977345277,0.6764300500538535,0.7325783636983251,0.6858535006920565,0.6692463507133529,0.0,0.0,0.0
scnn_k3_f32_32_32,SimpleCNN_cd-hit0_full,scnn_k3_f32_32_32,"[32, 32, 32]","[3, 3, 3]",6849,0.06835790172529717,0.08872079529932567,0.08226142504385539,0.6929019302809951,0.7500223014422059,0.6767714861745412,0.7252811228326204,0.6810693493153199,0.6736188341068642,0.0,0.0,0.0
scnn_k3_f16_64_64,SimpleCNN_cd-hit0_full,scnn_k3_f16_64_64,"[16, 64, 64]","[3, 3, 3]",16049,0.06540019119468828,0.0879975003855569,0.08210523320095879,0.6927447824556755,0.7610024721897221,0.6971585062709779,0.7393109597447548,0.6869906473605132,0.6775167742033903,0.0,0.0,0.0
scnn_k3_f16_32_64,SimpleCNN_cd-hit0_full,scnn_k3_f16_32_64,"[16, 32, 64]","[3, 3, 3]",8273,0.06651611044071615,0.08782292902469635,0.08244139914001737,0.6985892279045028,0.7571274535386133,0.6936226258986833,0.7346179204840566,0.6892189212433097,0.671755209359727,0.0,0.0,0.0
scnn_k3_f16_32_32,SimpleCNN_cd-hit0_full,scnn_k3_f16_32_32,"[16, 32, 32]","[3, 3, 3]",5073,0.06944919905314843,0.09063425553696496,0.08251964513744627,0.7053977251046838,0.7457204172770365,0.6830512283425382,0.7205515102623581,0.6718033699039853,0.668207024928409,0.0,0.0,0.0
scnn_k3_f16_16_64,SimpleCNN_cd-hit0_full,scnn_k3_f16_16_64,"[16, 16, 64]","[3, 3, 3]",4385,0.06980124294447403,0.08994574206215995,0.08259510887520653,0.694560200059408,0.7421563826458639,0.6862554976912588,0.7183066165687065,0.6753663210775768,0.668195209835311,0.0,0.0,0.0
scnn_k3_f16_16_32,SimpleCNN_cd-hit0_full,scnn_k3_f16_16_32,"[16, 16, 32]","[3, 3, 3]",2721,0.07026720729966958,0.08994530247790473,0.08277138429028648,0.7011853045160005,0.7426326242820244,0.6800223841273477,0.7159969384355901,0.678093172565943,0.6613818642787849,0.0,0.0,0.0
scnn_k3_f16_16_16,SimpleCNN_cd-hit0_full,scnn_k3_f16_16_16,"[16, 16, 16]","[3, 3, 3]",1889,0.07194727930861215,0.0905083811708859,0.08336043570722852,0.700294507518563,0.7358723393502444,0.668795662184516,0.7077869349978921,0.6743851275322031,0.6645746716310984,0.0,0.0,0.0
scnn_k3_f8_64_64,SimpleCNN_cd-hit0_full,scnn_k3_f8_64_64,"[8, 64, 64]","[3, 3, 3]",14393,0.06487583842438956,0.08730901990618024,0.08136291376182012,0.6971969996164206,0.7646822418879936,0.6928554294093774,0.7428016197777964,0.693246161207881,0.6755518513834754,0.0,0.0,0.0
scnn_k3_f8_32_64,SimpleCNN_cd-hit0_full,scnn_k3_f8_32_64,"[8, 32, 64]","[3, 3, 3]",7385,0.06796617433428764,0.08860604890755244,0.08242006387029376,0.6987828774332568,0.7509313862191056,0.6896665128621862,0.7268455244626426,0.6843374854947397,0.6727333216061575,0.0,0.0,0.0
