run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_combsf8_16_32_64_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf8_16_32_64_128_256_512,"[8, 16, 32, 64, 128, 256, 512]",1,6,2,1024.0,2892801,0.03554171812720597,0.0634210083101477,0.05644134804606438,0.783942069156898,0.8765720062426335,0.7897972749079104,0.866103083549779,0.7870649662048536,0.787400975217043,0.0,0.0,0.0
s2m_skip0_combsf8_16_32_64_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf8_16_32_64_128_256_512,"[8, 16, 32, 64, 128, 256, 512]",0,6,2,1024.0,2630721,0.05244378373026848,0.07989058111395154,0.07283104423965726,0.7272864228326427,0.8045714869200475,0.7157529560063026,0.7800462828593341,0.7090309610058875,0.7017556406552691,0.0,0.0,0.0
s2m_skip1_combsf4_16_32_64_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_32_64_128_256_512,"[4, 16, 32, 64, 128, 256, 512]",1,6,2,1024.0,2891737,0.03905723888116578,0.06556430459022522,0.06282448981489454,0.7866335758651075,0.8648046255882685,0.7653538185006438,0.8530739802005641,0.7834800080388227,0.7660631002743761,0.0,0.0,0.0
s2m_skip0_combsf4_16_32_64_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_32_64_128_256_512,"[4, 16, 32, 64, 128, 256, 512]",0,6,2,1024.0,2629801,0.05423853065197667,0.08401021148477282,0.07134401478937694,0.721025627428304,0.7993792207169189,0.7344487206969376,0.7726443685068549,0.6987898197657498,0.6911600849278619,0.0,0.0,0.0
s2m_skip1_combsf4_8_32_64_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_32_64_128_256_512,"[4, 8, 32, 64, 128, 256, 512]",1,6,2,1024.0,2887601,0.0319965974194929,0.06450397627694267,0.06018914920943124,0.7927824107369729,0.8924427802851831,0.775679869834771,0.8830759507699227,0.7823432611742869,0.7727339052029819,0.0,0.0,0.0
s2m_skip0_combsf4_8_32_64_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_32_64_128_256_512,"[4, 8, 32, 64, 128, 256, 512]",0,6,2,1024.0,2626241,0.0919002816081047,0.10812844655343465,0.09623038343020848,0.6752075368795898,0.693259901285228,0.6754112031757372,0.535722787102231,0.5164519705246173,0.5163440436763201,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_64_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_64_128_256_512,"[4, 8, 16, 64, 128, 256, 512]",1,6,2,1024.0,2871265,0.040309663590354226,0.06403389360223498,0.058840404131582806,0.7838262006577708,0.8577027096628888,0.7834566651689899,0.8454173572064857,0.7811762552137533,0.7747464611699418,0.0,0.0,0.0
s2m_skip0_combsf4_8_16_64_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_16_64_128_256_512,"[4, 8, 16, 64, 128, 256, 512]",0,6,2,1024.0,2612209,0.0576417645594726,0.08383187438760485,0.07255314929144722,0.7062464749939473,0.7856405969228287,0.7038008224396025,0.7572611795228149,0.6881125157373963,0.6904592893977971,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_32_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_32_128_256_512,"[4, 8, 16, 32, 128, 256, 512]",1,6,2,1024.0,2806337,0.04138761211652309,0.06776012480258942,0.06280522048473358,0.7777335098728132,0.8544215182819657,0.7719332085124362,0.8420201438482451,0.7696255075440109,0.7646115207914062,0.0,0.0,0.0
s2m_skip0_combsf4_8_16_32_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_16_32_128_256_512,"[4, 8, 16, 32, 128, 256, 512]",0,6,2,1024.0,2556497,0.05773836405326923,0.08854223042726517,0.0740578898361751,0.6948644224971189,0.7807277661575851,0.7009869177736562,0.7562044341001264,0.6734862011581761,0.697668053539249,0.0,0.0,0.0
