run_name,exp,run,arc_features,arc_kernels,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
scnn_k_3_f6_8_12_16_24,SimpleCNN_no_pooling,scnn_k_3_f6_8_12_16_24,"[6, 8, 12, 16, 24]","[3, 3, 3, 3, 3]",2455,0.0767625991255045,0.16519446298480034,0.13176599517464638,0.751426805819723,0.8936751745838404,0.7944465615809889,0.8782812561391433,0.731550649270806,0.7711902361070316,0.0,0.0,0.0
scnn_k_3_f8_16_24_32_48,SimpleCNN_no_pooling,scnn_k_3_f8_16_24_32_48,"[8, 16, 24, 32, 48]","[3, 3, 3, 3, 3]",8977,0.05214451526602109,0.16520428843796253,0.12501544132828712,0.7567481672676122,0.9293853912945015,0.8071500802560361,0.9198128757733802,0.7422811036271768,0.7821623094562271,0.0,0.0,0.0
scnn_k_3_f8_16_32_64_128,SimpleCNN_no_pooling,scnn_k_3_f8_16_32_64_128,"[8, 16, 32, 64, 128]","[3, 3, 3, 3, 3]",33609,0.03871006779372692,0.16223174706101418,0.11592382751405239,0.7640035868276082,0.9488170954372036,0.8239846099074002,0.9420701467891098,0.7515191412387608,0.8065076500495528,0.0,0.0,0.0
scnn_k_3_f8_8_16_32_64,SimpleCNN_no_pooling,scnn_k_3_f8_8_16_32_64,"[8, 8, 16, 32, 64]","[3, 3, 3, 3, 3]",8801,0.056272901222109796,0.1604115404188633,0.11661635152995586,0.7495683374005463,0.9238262008266441,0.825082433620216,0.9135591956932178,0.7401904869224751,0.8062061376007714,0.0,0.0,0.0
scnn_k_3_f4_8_16_32_64,SimpleCNN_no_pooling,scnn_k_3_f4_8_16_32_64,"[4, 8, 16, 32, 64]","[3, 3, 3, 3, 3]",8645,0.058766865730285646,0.15782292187213898,0.13143024034798145,0.7584615222789406,0.9204029290138871,0.7952622791161224,0.9094318703085292,0.7515747417584306,0.7757449055756045,0.0,0.0,0.0
scnn_k_3_f64_64_64_64,SimpleCNN_no_pooling,scnn_k_3_f64_64_64_64,"[64, 64, 64, 64]","[3, 3, 3, 3]",38465,0.04414647308488687,0.16206209361553192,0.12431789748370647,0.7491422487859088,0.9416504480848752,0.8096624477044414,0.9338848225738768,0.7378283009202694,0.7894051370682102,0.0,0.0,0.0
scnn_k_3_f32_64_64_64,SimpleCNN_no_pooling,scnn_k_3_f32_64_64_64,"[32, 64, 64, 64]","[3, 3, 3, 3]",31841,0.04349535827835401,0.16207214631140232,0.12512083537876606,0.7604166598171669,0.9425882805127264,0.8076468848645001,0.9350133417467413,0.7468921604066466,0.7910257313368012,0.0,0.0,0.0
scnn_k_3_f32_32_64_64,SimpleCNN_no_pooling,scnn_k_3_f32_32_64_64,"[32, 32, 64, 64]","[3, 3, 3, 3]",22529,0.04402630577484767,0.16309522092342377,0.12217804789543152,0.7591221975502533,0.9420987609000379,0.8191594714547166,0.9344137160466204,0.7515785584809563,0.8012484029891083,0.0,0.0,0.0
scnn_k_3_f32_32_32_64,SimpleCNN_no_pooling,scnn_k_3_f32_32_32_64,"[32, 32, 32, 64]","[3, 3, 3, 3]",13217,0.052284852042794226,0.16909527406096458,0.11808312870562077,0.7494195942896354,0.9300708342031867,0.8178831009077352,0.920730638620383,0.7262217621922091,0.7973149303175735,0.0,0.0,0.0
scnn_k_3_f32_32_32_32,SimpleCNN_no_pooling,scnn_k_3_f32_32_32_32,"[32, 32, 32, 32]","[3, 3, 3, 3]",10017,0.05531931854784489,0.15853448398411274,0.1213599145412445,0.7569971118606235,0.925728934274707,0.8144378725943338,0.9155439109717083,0.7493547021674851,0.7923649762553748,0.0,0.0,0.0
