name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
tmRNA_Lact.sake._TRW-314315_1-370,0.8333333333333334,0.04950495049504951,0.09345794392523366,0.09345794392523366,rnadist_400,tmRNA
tmRNA_Camp.upsa._TRW-306264_1-359,0.7777777777777778,0.06930693069306931,0.14545454545454545,0.1272727272727273,rnadist_400,tmRNA
tmRNA_Ente.saka._TRW-28141_1-364,1.0,0.038461538461538464,0.07407407407407407,0.07407407407407407,rnadist_400,tmRNA
tmRNA_Baci.clau._AP006627_1-355,0.8571428571428571,0.0625,0.11650485436893204,0.11650485436893204,rnadist_400,tmRNA
tmRNA_Yers.pest._AL590842_1-364,0.4,0.019801980198019802,0.056603773584905655,0.03773584905660377,rnadist_400,tmRNA
tmRNA_Chla.muri._AE002296_1-418,1.0,0.04918032786885246,0.09375,0.09375,rnadist_400,tmRNA
tmRNA_Stap.aure._BA000018_1-362,0.6666666666666666,0.08,0.14285714285714285,0.14285714285714285,rnadist_400,tmRNA
tmRNA_uncu.mari._TRW-363180_1-347,1.0,0.08333333333333333,0.15384615384615385,0.15384615384615385,rnadist_400,tmRNA
tmRNA_Buch.aphi._AE013218_1-376,0.8,0.08333333333333333,0.1509433962264151,0.1509433962264151,rnadist_400,tmRNA
tmRNA_Nost.spec._BA000019_1-390,1.0,0.027522935779816515,0.05357142857142857,0.05357142857142857,rnadist_400,tmRNA
tmRNA_Acti.acti._TRW-272556_1-366,0.0,0.0,0.0,0.0,rnadist_400,tmRNA
tmRNA_Acid.ferr._TRW-133824_1-364,1.0,0.05660377358490566,0.10714285714285715,0.10714285714285715,rnadist_400,tmRNA
tmRNA_Pseu.fluo._TRW-216595_1-397,0.0,0.0,0.01941747572815534,0.0,rnadist_400,tmRNA
tmRNA_envi.sequ._TRW-32045-1_1-355,1.0,0.053763440860215055,0.10204081632653061,0.10204081632653061,rnadist_400,tmRNA
tmRNA_Erwi.amyl._TRW-552_1-381,0.8333333333333334,0.04854368932038835,0.09174311926605504,0.09174311926605504,rnadist_400,tmRNA
tmRNA_uncu.bact._TRW-135621-1_1-397,0.5,0.00980392156862745,0.038461538461538464,0.019230769230769232,rnadist_400,tmRNA
tmRNA_Meth.caps._AE017282_1-356,0.8571428571428571,0.06521739130434782,0.12121212121212122,0.12121212121212122,rnadist_400,tmRNA
tmRNA_Rubr.xyla._CP000386_1-360,1.0,0.020202020202020204,0.03960396039603961,0.03960396039603961,rnadist_400,tmRNA
