name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
23s_S.aureus_domain6,0.45,0.2465753424657534,0.3185840707964602,0.3185840707964602,famfold,23s
23s_T.thermophilus_domain3,0.5909090909090909,0.5048543689320388,0.6024601366742597,0.544502617801047,famfold,23s
23s_E.coli_domain3,0.746031746031746,0.42727272727272725,0.5664739884393064,0.5433526011560693,famfold,23s
23s_H.pylori_domain3,0.3950617283950617,0.3047619047619048,0.3763440860215054,0.34408602150537637,famfold,23s
23s_B.subtilis_domain4,0.3684210526315789,0.21649484536082475,0.3116883116883117,0.2727272727272727,famfold,23s
23s_S.aureus_domain4,0.4827586206896552,0.2916666666666667,0.3636363636363637,0.3636363636363637,famfold,23s
23s_T.thermophilus_domain6,0.4444444444444444,0.2702702702702703,0.33613445378151263,0.33613445378151263,famfold,23s
23s_E.coli_domain6,0.44642857142857145,0.3424657534246575,0.3875968992248062,0.3875968992248062,famfold,23s
23s_B.subtilis_domain3,0.43478260869565216,0.37383177570093457,0.4120603015075377,0.40201005025125625,famfold,23s
23s_H.pylori_domain6,0.4864864864864865,0.2647058823529412,0.3619047619047619,0.34285714285714286,famfold,23s
23s_B.subtilis_domain6,0.5849056603773585,0.4189189189189189,0.4881889763779527,0.4881889763779527,famfold,23s
23s_T.thermophilus_domain4,0.4603174603174603,0.30526315789473685,0.3670886075949367,0.3670886075949367,famfold,23s
23s_E.coli_domain4,0.4142857142857143,0.29896907216494845,0.3473053892215569,0.3473053892215569,famfold,23s
23s_S.aureus_domain3,0.5466666666666666,0.37962962962962965,0.44808743169398907,0.44808743169398907,famfold,23s
23s_H.pylori_domain4,0.4666666666666667,0.3888888888888889,0.42424242424242425,0.42424242424242425,famfold,23s
