name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
telomerase_AF221931.99-541,0.3170731707317073,0.11504424778761062,0.16883116883116883,0.16883116883116883,samples_200,telomerase
telomerase_AC121792.109554-109950,0.13333333333333333,0.06741573033707865,0.13432835820895525,0.08955223880597014,samples_200,telomerase
telomerase_AF221906.96-545,0.3055555555555556,0.09821428571428571,0.16216216216216214,0.14864864864864866,samples_200,telomerase
telomerase_AF221940.103-499,0.34210526315789475,0.1368421052631579,0.19548872180451127,0.19548872180451127,samples_200,telomerase
telomerase_AF221937.99-545,0.25,0.07547169811320754,0.11594202898550725,0.11594202898550725,samples_200,telomerase
telomerase_AF221917.99-542,0.2,0.07964601769911504,0.11392405063291138,0.11392405063291138,samples_200,telomerase
telomerase_AF221927.113-556,0.2222222222222222,0.0784313725490196,0.11594202898550723,0.11594202898550723,samples_200,telomerase
telomerase_AF221934.121-565,0.36065573770491804,0.20952380952380953,0.26506024096385544,0.26506024096385544,samples_200,telomerase
telomerase_AF221909.98-496,0.35294117647058826,0.1875,0.2585034013605442,0.24489795918367344,samples_200,telomerase
telomerase_AF221939.99-544,0.19047619047619047,0.07272727272727272,0.10526315789473682,0.10526315789473682,samples_200,telomerase
telomerase_AF221913.109-520,0.15,0.061855670103092786,0.08759124087591241,0.08759124087591241,samples_200,telomerase
telomerase_AF221923.106-554,0.0,0.0,0.0,0.0,samples_200,telomerase
telomerase_AF221910.112-554,0.47058823529411764,0.2222222222222222,0.3018867924528302,0.3018867924528302,samples_200,telomerase
telomerase_AF221926.103-507,0.3333333333333333,0.1590909090909091,0.21538461538461537,0.21538461538461537,samples_200,telomerase
telomerase_AF147806.247-692,0.17073170731707318,0.07692307692307693,0.10606060606060606,0.10606060606060606,samples_200,telomerase
telomerase_AF221916.94-481,0.075,0.033707865168539325,0.07194244604316546,0.046511627906976744,samples_200,telomerase
telomerase_U85256.1-451,0.2830188679245283,0.13274336283185842,0.18072289156626506,0.18072289156626506,samples_200,telomerase
telomerase_AF221924.105-538,0.5476190476190477,0.21495327102803738,0.3087248322147651,0.3087248322147651,samples_200,telomerase
telomerase_AF221921.98-548,0.43137254901960786,0.20952380952380953,0.3205128205128205,0.28205128205128205,samples_200,telomerase
telomerase_AF221932.102-549,0.0,0.0,0.0,0.0,samples_200,telomerase
telomerase_AF221929.92-517,0.43137254901960786,0.20754716981132076,0.2802547770700637,0.2802547770700637,samples_200,telomerase
telomerase_AF221930.94-546,0.30612244897959184,0.13392857142857142,0.1863354037267081,0.1863354037267081,samples_200,telomerase
telomerase_AF221911.104-513,0.30434782608695654,0.14,0.19178082191780824,0.19178082191780824,samples_200,telomerase
telomerase_AF221935.112-602,0.04411764705882353,0.030927835051546393,0.03636363636363636,0.03636363636363636,samples_200,telomerase
telomerase_AF221920.99-541,0.2727272727272727,0.08035714285714286,0.12413793103448277,0.12413793103448277,samples_200,telomerase
telomerase_AF221908.136-584,0.35294117647058826,0.1782178217821782,0.23684210526315788,0.23684210526315788,samples_200,telomerase
telomerase_AF221919.107-614,0.11320754716981132,0.06521739130434782,0.1048689138576779,0.08275862068965517,samples_200,telomerase
telomerase_AY312571.605-1069,0.23076923076923078,0.06593406593406594,0.10256410256410256,0.10256410256410256,samples_200,telomerase
telomerase_AF221925.98-540,0.024390243902439025,0.009009009009009009,0.013157894736842106,0.013157894736842106,samples_200,telomerase
telomerase_AF221914.112-589,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.19047619047619047,samples_200,telomerase
telomerase_AF221936.98-540,0.07142857142857142,0.02830188679245283,0.04054054054054055,0.04054054054054055,samples_200,telomerase
telomerase_AY058901.1-397,0.13043478260869565,0.06976744186046512,0.13636363636363635,0.09090909090909091,samples_200,telomerase
telomerase_AF221918.97-547,0.1111111111111111,0.043859649122807015,0.06289308176100629,0.06289308176100629,samples_200,telomerase
telomerase_AF221928.95-476,0.2708333333333333,0.14444444444444443,0.2028985507246377,0.18840579710144925,samples_200,telomerase
telomerase_AF221912.98-564,0.17647058823529413,0.05504587155963303,0.12224108658743635,0.08391608391608392,samples_200,telomerase
