name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
telomerase_AF221906.96-545,0.4,0.08928571428571429,0.14598540145985403,0.14598540145985403,rnadist_400,telomerase
telomerase_AF221923.106-554,0.29411764705882354,0.04716981132075472,0.0813008130081301,0.0813008130081301,rnadist_400,telomerase
telomerase_AF221916.94-481,0.30303030303030304,0.11235955056179775,0.180327868852459,0.1639344262295082,rnadist_400,telomerase
telomerase_AF221931.99-541,0.15384615384615385,0.035398230088495575,0.05755395683453238,0.05755395683453238,rnadist_400,telomerase
telomerase_AF221920.99-541,0.32142857142857145,0.08035714285714286,0.1285714285714286,0.1285714285714286,rnadist_400,telomerase
telomerase_AF221914.112-589,0.3333333333333333,0.05102040816326531,0.08849557522123894,0.08849557522123894,rnadist_400,telomerase
telomerase_AF221921.98-548,0.5161290322580645,0.1523809523809524,0.23529411764705882,0.23529411764705882,rnadist_400,telomerase
telomerase_AF147806.247-692,0.058823529411764705,0.01098901098901099,0.01851851851851852,0.01851851851851852,rnadist_400,telomerase
telomerase_AF221911.104-513,0.18181818181818182,0.04,0.06557377049180327,0.06557377049180327,rnadist_400,telomerase
telomerase_AF221929.92-517,0.25806451612903225,0.07547169811320754,0.11678832116788322,0.11678832116788322,rnadist_400,telomerase
telomerase_AF221910.112-554,0.5,0.09259259259259259,0.15625,0.15625,rnadist_400,telomerase
telomerase_AF221919.107-614,0.2,0.043478260869565216,0.08928571428571427,0.07142857142857142,rnadist_400,telomerase
telomerase_AF221927.113-556,0.25806451612903225,0.0784313725490196,0.12030075187969926,0.12030075187969926,rnadist_400,telomerase
telomerase_AF221912.98-564,0.0,0.0,0.015384615384615385,0.0,rnadist_400,telomerase
telomerase_AF221932.102-549,0.16666666666666666,0.046296296296296294,0.07246376811594202,0.07246376811594202,rnadist_400,telomerase
telomerase_AF221926.103-507,0.15384615384615385,0.06818181818181818,0.09448818897637795,0.09448818897637795,rnadist_400,telomerase
telomerase_U85256.1-451,0.16,0.035398230088495575,0.057971014492753624,0.057971014492753624,rnadist_400,telomerase
telomerase_AF221934.121-565,0.25,0.08571428571428572,0.1276595744680851,0.1276595744680851,rnadist_400,telomerase
telomerase_AY312571.605-1069,0.23076923076923078,0.03296703296703297,0.057692307692307696,0.057692307692307696,rnadist_400,telomerase
telomerase_AF221913.109-520,0.23333333333333334,0.07216494845360824,0.11023622047244093,0.11023622047244093,rnadist_400,telomerase
telomerase_AF221930.94-546,0.41379310344827586,0.10714285714285714,0.19548872180451127,0.17021276595744678,rnadist_400,telomerase
telomerase_AF221939.99-544,0.26666666666666666,0.07272727272727272,0.1142857142857143,0.1142857142857143,rnadist_400,telomerase
telomerase_AC121792.109554-109950,0.25925925925925924,0.07865168539325842,0.13793103448275862,0.12068965517241377,rnadist_400,telomerase
telomerase_AF221936.98-540,0.11538461538461539,0.02830188679245283,0.045454545454545456,0.045454545454545456,rnadist_400,telomerase
telomerase_AF221925.98-540,0.18181818181818182,0.036036036036036036,0.06015037593984963,0.06015037593984963,rnadist_400,telomerase
telomerase_AF221924.105-538,0.6,0.11214953271028037,0.1889763779527559,0.1889763779527559,rnadist_400,telomerase
telomerase_AY058901.1-397,0.20689655172413793,0.06976744186046512,0.12173913043478263,0.10434782608695653,rnadist_400,telomerase
telomerase_AF221940.103-499,0.045454545454545456,0.010526315789473684,0.017094017094017096,0.017094017094017096,rnadist_400,telomerase
telomerase_AF221935.112-602,0.034482758620689655,0.010309278350515464,0.015873015873015872,0.015873015873015872,rnadist_400,telomerase
telomerase_AF221937.99-545,0.35294117647058826,0.05660377358490566,0.0975609756097561,0.0975609756097561,rnadist_400,telomerase
telomerase_AF221908.136-584,0.03225806451612903,0.009900990099009901,0.015151515151515152,0.015151515151515152,rnadist_400,telomerase
telomerase_AF221928.95-476,0.28,0.07777777777777778,0.1391304347826087,0.12173913043478261,rnadist_400,telomerase
telomerase_AF221917.99-542,0.14285714285714285,0.02654867256637168,0.04477611940298508,0.04477611940298508,rnadist_400,telomerase
telomerase_AF221918.97-547,0.15789473684210525,0.02631578947368421,0.045112781954887216,0.045112781954887216,rnadist_400,telomerase
telomerase_AF221909.98-496,0.3,0.0625,0.10344827586206896,0.10344827586206896,rnadist_400,telomerase
