name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
RNaseP_ESH7-9,0.2222222222222222,0.08888888888888889,0.12698412698412698,0.12698412698412698,samples_200,RNaseP
RNaseP_T.pallidum,0.3958333333333333,0.18269230769230768,0.25,0.25,samples_200,RNaseP
RNaseP_SM-A2946,0.3333333333333333,0.06593406593406594,0.12844036697247707,0.11009174311926606,samples_200,RNaseP
RNaseP_M.vannielli,0.5121951219512195,0.3230769230769231,0.39622641509433965,0.39622641509433965,samples_200,RNaseP
RNaseP_E.faecalis-2,0.4482758620689655,0.23008849557522124,0.30409356725146197,0.30409356725146197,samples_200,RNaseP
RNaseP_S.acidocaldarius,0.5714285714285714,0.28865979381443296,0.3835616438356164,0.3835616438356164,samples_200,RNaseP
RNaseP_S.typhi,0.6,0.1487603305785124,0.23841059602649003,0.23841059602649003,samples_200,RNaseP
RNaseP_T.maritima,0.5142857142857142,0.16666666666666666,0.2517482517482517,0.2517482517482517,samples_200,RNaseP
RNaseP_S.negevensis,0.5365853658536586,0.3142857142857143,0.39639639639639646,0.39639639639639646,samples_200,RNaseP
RNaseP_PS33,0.2608695652173913,0.06666666666666667,0.10619469026548674,0.10619469026548674,samples_200,RNaseP
RNaseP_WA1,0.38461538461538464,0.11904761904761904,0.18181818181818182,0.18181818181818182,samples_200,RNaseP
RNaseP_SM-A01,0.17647058823529413,0.025210084033613446,0.044117647058823525,0.044117647058823525,samples_200,RNaseP
RNaseP_A.macrocytogenes123,0.34285714285714286,0.1411764705882353,0.19999999999999998,0.19999999999999998,samples_200,RNaseP
RNaseP_S.mutans,0.4,0.17699115044247787,0.24539877300613497,0.24539877300613497,samples_200,RNaseP
RNaseP_S.viridis-K185,0.30434782608695654,0.06796116504854369,0.11111111111111112,0.11111111111111112,samples_200,RNaseP
RNaseP_Onchorhynchus-1,0.11363636363636363,0.09615384615384616,0.1337579617834395,0.10416666666666666,samples_200,RNaseP
RNaseP_S.equi,0.375,0.1744186046511628,0.23809523809523814,0.23809523809523814,samples_200,RNaseP
RNaseP_M.fermentans,0.34782608695652173,0.18181818181818182,0.2388059701492537,0.2388059701492537,samples_200,RNaseP
RNaseP_LGW113,0.23076923076923078,0.03260869565217391,0.0761904761904762,0.05714285714285715,samples_200,RNaseP
RNaseP_CPB75,0.36,0.10465116279069768,0.16216216216216217,0.16216216216216217,samples_200,RNaseP
RNaseP_K.polysporus,0.15217391304347827,0.12962962962962962,0.13999999999999999,0.13999999999999999,samples_200,RNaseP
RNaseP_S.pneumoniae,0.47368421052631576,0.15384615384615385,0.232258064516129,0.232258064516129,samples_200,RNaseP
RNaseP_N.pyridinolyticus,0.4642857142857143,0.15476190476190477,0.23214285714285718,0.23214285714285718,samples_200,RNaseP
RNaseP_S.azurea-K161T,0.3333333333333333,0.0970873786407767,0.15037593984962405,0.15037593984962405,samples_200,RNaseP
RNaseP_S.caesia-K200,0.3333333333333333,0.0970873786407767,0.15037593984962405,0.15037593984962405,samples_200,RNaseP
RNaseP_CPB86,0.23076923076923078,0.06976744186046512,0.10714285714285714,0.10714285714285714,samples_200,RNaseP
RNaseP_P.canadensis,0.20454545454545456,0.1267605633802817,0.1565217391304348,0.1565217391304348,samples_200,RNaseP
RNaseP_F.yabuuchiae,0.391304347826087,0.1782178217821782,0.24489795918367346,0.24489795918367346,samples_200,RNaseP
RNaseP_S.diastaticus,0.4090909090909091,0.18947368421052632,0.2589928057553957,0.2589928057553957,samples_200,RNaseP
RNaseP_SM-A1726,0.4358974358974359,0.16666666666666666,0.24113475177304963,0.24113475177304963,samples_200,RNaseP
RNaseP_ESH7-16,0.4074074074074074,0.11827956989247312,0.18333333333333335,0.18333333333333335,samples_200,RNaseP
RNaseP_SM-A1113,0.3225806451612903,0.12345679012345678,0.17857142857142858,0.17857142857142858,samples_200,RNaseP
RNaseP_P.pygmaeus,0.1111111111111111,0.038461538461538464,0.05714285714285715,0.05714285714285715,samples_200,RNaseP
RNaseP_SM-A1417,0.3076923076923077,0.09195402298850575,0.1415929203539823,0.1415929203539823,samples_200,RNaseP
RNaseP_Halobacterium-NRC1,0.6296296296296297,0.1574074074074074,0.2518518518518519,0.2518518518518519,samples_200,RNaseP
RNaseP_H.volcanii,0.525,0.15328467153284672,0.23728813559322035,0.23728813559322035,samples_200,RNaseP
RNaseP_PF101,0.3333333333333333,0.13008130081300814,0.18713450292397663,0.18713450292397663,samples_200,RNaseP
RNaseP_vHge3-5,0.34210526315789475,0.12264150943396226,0.18055555555555552,0.18055555555555552,samples_200,RNaseP
RNaseP_G.sulfurreducens,0.6764705882352942,0.19827586206896552,0.30666666666666664,0.30666666666666664,samples_200,RNaseP
