name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
RNaseP_A.ferrooxidans,0.4725274725274725,0.39814814814814814,0.4321608040201005,0.4321608040201005,samples_100,RNaseP
RNaseP_L.japonicus-IFO12422,0.4943820224719101,0.4731182795698925,0.5274725274725275,0.4835164835164835,samples_100,RNaseP
RNaseP_S.viridis-K197,0.5777777777777777,0.5048543689320388,0.5388601036269429,0.5388601036269429,samples_100,RNaseP
RNaseP_T.syrichta,0.0,0.0,0.017699115044247787,0.0,samples_100,RNaseP
RNaseP_CPB80,0.5,0.46511627906976744,0.5242449431975617,0.4819277108433735,samples_100,RNaseP
RNaseP_LGB23,0.33695652173913043,0.3069306930693069,0.3571964580519286,0.3212435233160622,samples_100,RNaseP
RNaseP_C.testosteroni,0.6857142857142857,0.6233766233766234,0.686683721556483,0.6530612244897959,samples_100,RNaseP
RNaseP_T.thioparus,0.5333333333333333,0.5161290322580645,0.5245901639344263,0.5245901639344263,samples_100,RNaseP
RNaseP_M.sedula,0.4166666666666667,0.35714285714285715,0.3846153846153846,0.3846153846153846,samples_100,RNaseP
RNaseP_S.pyogenes,0.46153846153846156,0.48214285714285715,0.48034934497816595,0.4716157205240175,samples_100,RNaseP
RNaseP_S.caesia-SB22,0.5,0.44660194174757284,0.4820512820512821,0.4717948717948718,samples_100,RNaseP
RNaseP_S.pombe,0.4177215189873418,0.4782608695652174,0.48648648648648646,0.44594594594594594,samples_100,RNaseP
RNaseP_D.radiodurans,0.4897959183673469,0.4768211920529801,0.4832214765100671,0.4832214765100671,samples_100,RNaseP
RNaseP_C.psittaci-R54,0.51,0.4722222222222222,0.5145631067961165,0.4903846153846154,samples_100,RNaseP
RNaseP_SLC,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3770491803278688,samples_100,RNaseP
RNaseP_S.lividans,0.44545454545454544,0.3769230769230769,0.42500000000000004,0.4083333333333333,samples_100,RNaseP
RNaseP_Z.bailii,0.21428571428571427,0.23684210526315788,0.225,0.225,samples_100,RNaseP
RNaseP_N.jensenii,0.5581395348837209,0.5106382978723404,0.5444444444444444,0.5333333333333333,samples_100,RNaseP
RNaseP_H.sapiens,0.2604166666666667,0.36231884057971014,0.3151515151515151,0.30303030303030304,samples_100,RNaseP
RNaseP_T.celerAL1-2,0.5652173913043478,0.4020618556701031,0.4698795180722891,0.4698795180722891,samples_100,RNaseP
RNaseP_Oscillatoria-PCC7515,0.49504950495049505,0.45454545454545453,0.5072669266217653,0.4739336492890995,samples_100,RNaseP
RNaseP_SM-A5179,0.3902439024390244,0.32323232323232326,0.3977900552486187,0.35359116022099457,samples_100,RNaseP
RNaseP_R.palustris,0.5,0.4110429447852761,0.4511784511784512,0.4511784511784512,samples_100,RNaseP
RNaseP_H.pylori-26695,0.4,0.3655913978494624,0.38202247191011235,0.38202247191011235,samples_100,RNaseP
RNaseP_S.fibuligera,0.38666666666666666,0.6041666666666666,0.4715447154471545,0.4715447154471545,samples_100,RNaseP
RNaseP_SM-A3355,0.30434782608695654,0.23595505617977527,0.2911392405063291,0.26582278481012656,samples_100,RNaseP
