name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
tmRNA_Desu.desu._CP000112_1-360,0.27586206896551724,0.08421052631578947,0.12903225806451613,0.12903225806451613,samples_200,tmRNA
tmRNA_Stap.epid._TRW-176280_1-361,0.5833333333333334,0.13725490196078433,0.2222222222222222,0.2222222222222222,samples_200,tmRNA
tmRNA_Shig.flex._AE014073_1-363,0.3333333333333333,0.028846153846153848,0.05309734513274337,0.05309734513274337,samples_200,tmRNA
tmRNA_Neis.gono._TRW-242231_1-363,0.42105263157894735,0.07407407407407407,0.12598425196850394,0.12598425196850394,samples_200,tmRNA
tmRNA_Stap.aure._BX571856_1-362,0.6666666666666666,0.2376237623762376,0.3503649635036496,0.3503649635036496,samples_200,tmRNA
tmRNA_Salm.ente._AE017220_1-363,0.3333333333333333,0.00980392156862745,0.019047619047619046,0.019047619047619046,samples_200,tmRNA
tmRNA_Pseu.syri._CP000058_1-388,0.36363636363636365,0.039603960396039604,0.07142857142857144,0.07142857142857144,samples_200,tmRNA
tmRNA_Lact.acid._CP000033_1-369,0.22727272727272727,0.049019607843137254,0.08064516129032258,0.08064516129032258,samples_200,tmRNA
tmRNA_Shew.spec._CP000446_1-355,0.26666666666666666,0.041237113402061855,0.07142857142857142,0.07142857142857142,samples_200,tmRNA
tmRNA_Aste.yell._TRW-322098_1-426,0.14285714285714285,0.0297029702970297,0.04918032786885246,0.04918032786885246,samples_200,tmRNA
tmRNA_Aste.yell._CP000061_1-426,0.12,0.0297029702970297,0.047619047619047616,0.047619047619047616,samples_200,tmRNA
tmRNA_Baci.G._TRW-12333_1-312,0.2,0.10526315789473684,0.13793103448275862,0.13793103448275862,samples_200,tmRNA
tmRNA_Yers.moll._TRW-349967_1-381,0.1,0.010101010101010102,0.018348623853211014,0.018348623853211014,samples_200,tmRNA
tmRNA_Idio.loih._AE017340_1-359,0.46153846153846156,0.06593406593406594,0.11538461538461539,0.11538461538461539,samples_200,tmRNA
tmRNA_Xyle.fast._AE003849_1-355,0.18181818181818182,0.02,0.036036036036036036,0.036036036036036036,samples_200,tmRNA
tmRNA_Haem.infl._L42023_1-366,0.25,0.03,0.05357142857142856,0.05357142857142856,samples_200,tmRNA
tmRNA_Acid.caps._TRW-240015_1-352,0.1111111111111111,0.009259259259259259,0.017094017094017092,0.017094017094017092,samples_200,tmRNA
tmRNA_uncu.bact._TRW-80840-1_1-378,0.19047619047619047,0.037037037037037035,0.09302325581395349,0.06201550387596899,samples_200,tmRNA
tmRNA_Shew.spec._CP000444_1-355,0.3125,0.05102040816326531,0.08771929824561403,0.08771929824561403,samples_200,tmRNA
tmRNA_Arth.spec._CP000454_1-369,0.3333333333333333,0.05102040816326531,0.08849557522123894,0.08849557522123894,samples_200,tmRNA
tmRNA_Acid.ferr._TRW-133824_1-364,0.08333333333333333,0.009433962264150943,0.01694915254237288,0.01694915254237288,samples_200,tmRNA
tmRNA_envi.sequ._TRW-2-1_1-365,0.058823529411764705,0.00980392156862745,0.01680672268907563,0.01680672268907563,samples_200,tmRNA
tmRNA_Neis.lact._TRW-486_1-362,0.5416666666666666,0.12149532710280374,0.1984732824427481,0.1984732824427481,samples_200,tmRNA
tmRNA_Fran.tula._AM286280_1-421,0.4090909090909091,0.08411214953271028,0.13953488372093023,0.13953488372093023,samples_200,tmRNA
tmRNA_Citr.rode._TRW-67825_1-365,0.15384615384615385,0.019801980198019802,0.03508771929824561,0.03508771929824561,samples_200,tmRNA
tmRNA_Bord.para._TRW-257311_1-387,0.09090909090909091,0.008695652173913044,0.015873015873015872,0.015873015873015872,samples_200,tmRNA
tmRNA_List.gray._AF440336_1-321,0.18181818181818182,0.05063291139240506,0.07920792079207921,0.07920792079207921,samples_200,tmRNA
tmRNA_envi.sequ._TRW-204433_1-356,0.5,0.09803921568627451,0.1639344262295082,0.1639344262295082,samples_200,tmRNA
tmRNA_Cyan.mero._TRW-45157_1-236,0.391304347826087,0.5294117647058824,0.45,0.45,samples_200,tmRNA
tmRNA_Burk.xeno._CP000270_1-370,0.4117647058823529,0.0673076923076923,0.13432835820895522,0.11570247933884298,samples_200,tmRNA
tmRNA_Stap.aure._BA000018_1-362,0.631578947368421,0.24,0.34782608695652173,0.34782608695652173,samples_200,tmRNA
tmRNA_Salm.ente._TRW-295319_1-363,1.0,0.00980392156862745,0.01941747572815534,0.01941747572815534,samples_200,tmRNA
tmRNA_Baci.subt._TRW-1423_1-363,0.5,0.05319148936170213,0.09615384615384615,0.09615384615384615,samples_200,tmRNA
tmRNA_Dein.radi._AE001939_1-346,0.3,0.030303030303030304,0.055045871559633024,0.055045871559633024,samples_200,tmRNA
tmRNA_Desu.acet._TRW-281689_1-353,0.625,0.10869565217391304,0.18518518518518517,0.18518518518518517,samples_200,tmRNA
tmRNA_Moor.ther._CP000232_1-358,0.25,0.038461538461538464,0.06666666666666668,0.06666666666666668,samples_200,tmRNA
tmRNA_Ente.faec._BD193796_1-367,0.2727272727272727,0.061224489795918366,0.1,0.1,samples_200,tmRNA
tmRNA_Magn.spec._CP000471_1-366,0.0,0.0,0.0,0.0,samples_200,tmRNA
tmRNA_Meth.caps._AE017282_1-356,0.3157894736842105,0.06521739130434782,0.10810810810810811,0.10810810810810811,samples_200,tmRNA
tmRNA_Rubr.xyla._CP000386_1-360,0.25,0.030303030303030304,0.08771929824561404,0.054054054054054064,samples_200,tmRNA
tmRNA_Stre.coll._AY485228_1-386,0.55,0.11458333333333333,0.18965517241379307,0.18965517241379307,samples_200,tmRNA
tmRNA_Brev.line._TRW-321955_1-377,0.6176470588235294,0.21,0.3582089552238806,0.31343283582089554,samples_200,tmRNA
tmRNA_Erwi.amyl._TRW-552_1-381,0.13333333333333333,0.019417475728155338,0.03389830508474576,0.03389830508474576,samples_200,tmRNA
tmRNA_Lact.delb._AF440335_1-316,0.2916666666666667,0.08333333333333333,0.16666666666666666,0.12962962962962962,samples_200,tmRNA
