name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
grp1_a.I1.e.C.saccatum.C1.SSU.1512,0.47368421052631576,0.45985401459854014,0.4666666666666667,0.4666666666666667,hc_200,grp1
grp1_a.I1.e.P.carinii.Pc2.C1.LSU.1921,0.4387755102040816,0.38738738738738737,0.4210526315789474,0.41148325358851673,hc_200,grp1
grp1_a.I1.e.Staurastrum.sp.M752.C1.SSU.1506,0.34710743801652894,0.35294117647058826,0.38742048203565993,0.35000000000000003,hc_200,grp1
grp1_a.I1.e.A.capsulatus.CBS213.53.C1.SSU.943,0.44545454545454544,0.4049586776859504,0.4415584415584416,0.4242424242424242,hc_200,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.943,0.24770642201834864,0.25961538461538464,0.2816901408450704,0.25352112676056343,hc_200,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1052,0.3333333333333333,0.30303030303030304,0.31746031746031744,0.31746031746031744,hc_200,grp1
grp1_a.I1.e.P.carinii.C1.SSU.1506,0.296,0.32456140350877194,0.3302985390641541,0.3096234309623431,hc_200,grp1
grp1_a.I1.e.U.maydis.C1.SSU.943,0.4247787610619469,0.39344262295081966,0.4425531914893617,0.4085106382978723,hc_200,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.1506,0.38,0.36538461538461536,0.37254901960784315,0.37254901960784315,hc_200,grp1
grp1_a.I1.c.G.prostrata.C3.tLEU,0.060240963855421686,0.08333333333333333,0.10332103321033209,0.06993006993006992,hc_200,grp1
grp1_a.I1.e.T.cosmopolitanis.C1.LSU.1925,0.37857142857142856,0.41732283464566927,0.3970037453183521,0.3970037453183521,hc_200,grp1
grp1_a.I1.e.C.ellipsoidea.211-1a.C1.SSU.1506,0.3013698630136986,0.3333333333333333,0.33093525179856115,0.31654676258992803,hc_200,grp1
grp1_a.I1.e.G.planctonica.C1.SSU.943,0.4233576642335766,0.43283582089552236,0.46856478791400347,0.42804428044280446,hc_200,grp1
grp1_a.I1.m.S.luteus.A1.LSU.2504,0.36,0.34615384615384615,0.35294117647058826,0.35294117647058826,hc_200,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.1506,0.6055045871559633,0.5546218487394958,0.5877192982456141,0.5789473684210525,hc_200,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1210,0.4305555555555556,0.4025974025974026,0.44295302013422816,0.4161073825503356,hc_200,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.287,0.24242424242424243,0.13559322033898305,0.1739130434782609,0.1739130434782609,hc_200,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1516,0.2830188679245283,0.2459016393442623,0.2631578947368421,0.2631578947368421,hc_200,grp1
grp1_a.I1.e.S.granulatum.C1.SSU.1506,0.28695652173913044,0.2796610169491525,0.31759656652360513,0.28326180257510725,hc_200,grp1
grp1_a.I1.e.A.stipitatus.C1.SSU.1046,0.5043478260869565,0.464,0.5043058904581467,0.48333333333333334,hc_200,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1516,0.3880597014925373,0.3880597014925373,0.3880597014925373,0.3880597014925373,hc_200,grp1
grp1_a.I1.e.D.salina.C1.SSU.943,0.4491525423728814,0.4344262295081967,0.44166666666666665,0.44166666666666665,hc_200,grp1
grp1_a.I1.e.A.capsulatus.FLs1.C1.SSU,0.42857142857142855,0.4426229508196721,0.44354838709677424,0.43548387096774194,hc_200,grp1
grp1_a.I1.e.A.adeninivorans.C1.LSU.2449,0.2125984251968504,0.2647058823529412,0.23580786026200876,0.23580786026200876,hc_200,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1210,0.6862745098039216,0.5223880597014925,0.6101694915254238,0.5932203389830508,hc_200,grp1
grp1_a.I1.e.P.carinii.Pc1.C1.LSU.1921,0.4098360655737705,0.43478260869565216,0.4219409282700422,0.4219409282700422,hc_200,grp1
grp1_a.I1.e.E.dermatitidis.C1.SSU.943,0.23214285714285715,0.2047244094488189,0.21757322175732216,0.21757322175732216,hc_200,grp1
grp1_a.I1.e.D.parva.C1.SSU.1512,0.5158730158730159,0.49242424242424243,0.5038759689922481,0.5038759689922481,hc_200,grp1
grp1_a.I1.e.G.spirotaenia.C1.SSU.1506,0.2912621359223301,0.3,0.2955665024630542,0.2955665024630542,hc_200,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.943,0.22018348623853212,0.2553191489361702,0.23645320197044337,0.23645320197044337,hc_200,grp1
grp1_a.I1.e.B.yamatoana.JCM2896.C1.SSU.943,0.35766423357664234,0.35,0.38267148014440433,0.35379061371841153,hc_200,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.114,0.5964912280701754,0.5964912280701754,0.5964912280701754,0.5964912280701754,hc_200,grp1
grp1_a.I1.e.A.capsulatus.G186B.C1.SSU,0.34513274336283184,0.3277310924369748,0.3793103448275863,0.3362068965517241,hc_200,grp1
grp1_a.I1.e.C.grayi.UNK.SSU.1516,0.36904761904761907,0.484375,0.4594594594594595,0.41891891891891897,hc_200,grp1
grp1_a.I1.m.S.pombe.B1.OX1,0.3157894736842105,0.45454545454545453,0.3726708074534162,0.3726708074534162,hc_200,grp1
grp1_a.I1.e.P.carinii.Pc3.C1.LSU.1921,0.3302752293577982,0.3333333333333333,0.3778801843317972,0.33179723502304154,hc_200,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.114,0.3559322033898305,0.35,0.4364694471387003,0.3529411764705882,hc_200,grp1
grp1_a.I1.e.D.parva.C1.SSU.943,0.5961538461538461,0.5040650406504065,0.5550660792951542,0.5462555066079295,hc_200,grp1
grp1_a.I1.e.C.saxonicum.C1.SSU.1506,0.3448275862068966,0.3333333333333333,0.33898305084745767,0.33898305084745767,hc_200,grp1
grp1_a.I1.b.Phormidium.sp.N182.C3.tLEU,0.5256410256410257,0.5061728395061729,0.5157232704402517,0.5157232704402517,hc_200,grp1
grp1_a.I1.e.T.malaccensis.C1.LSU.1925,0.41044776119402987,0.44,0.47104247104247104,0.4247104247104247,hc_200,grp1
grp1_a.I1.e.T.hyperangularis.C1.LSU.1925,0.37857142857142856,0.41732283464566927,0.3970037453183521,0.3970037453183521,hc_200,grp1
grp1_a.I1.e.B.yamatoana.JCM2896.C1.SSU.1506,0.20588235294117646,0.208955223880597,0.2074074074074074,0.2074074074074074,hc_200,grp1
grp1_b.I1.e.M.anisopliae.3.C1.LSU.1921,0.21100917431192662,0.20909090909090908,0.24657534246575344,0.21004566210045664,hc_200,grp1
grp1_a.I1.e.T.pigmentosa.C1.LSU.1925,0.3611111111111111,0.4126984126984127,0.3851851851851852,0.3851851851851852,hc_200,grp1
grp1_a.I1.b.S.hofmanii.C3.tMET,0.4126984126984127,0.36619718309859156,0.38805970149253727,0.38805970149253727,hc_200,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1046,0.20754716981132076,0.18032786885245902,0.19298245614035087,0.19298245614035087,hc_200,grp1
grp1_a.I1.e.P.sarcinoidea.C1.SSU.943,0.24113475177304963,0.3177570093457944,0.2983870967741935,0.27419354838709675,hc_200,grp1
grp1_a.I1.c.A.cherimola.C3.tLEU,0.0873015873015873,0.2,0.12154696132596686,0.12154696132596686,hc_200,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.516,0.0,0.0,0.0,0.0,hc_200,grp1
grp1_s.I1.e.T.thermophila.C1.LSU.1925.schem,0.45112781954887216,0.46511627906976744,0.46564885496183206,0.4580152671755725,hc_200,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.789,0.08695652173913043,0.08888888888888889,0.0879120879120879,0.0879120879120879,hc_200,grp1
grp1_a.I1.e.P.pachydermus.C1.SSU.943,0.3113207547169811,0.32038834951456313,0.36829025844930413,0.3157894736842105,hc_200,grp1
grp1_a.I1.e.P.clavariiformis.C1.SSU.943,0.4146341463414634,0.51,0.4753363228699552,0.4573991031390135,hc_200,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1210,0.038461538461538464,0.04,0.0392156862745098,0.0392156862745098,hc_200,grp1
grp1_a.I1.e.S.sclerotiorum_1837.C1.LSU.798,0.37037037037037035,0.449438202247191,0.4207697006719609,0.40609137055837563,hc_200,grp1
grp1_a.I1.e.P.macrosporus.C1.SSU.1506,0.23728813559322035,0.24561403508771928,0.28865448932338567,0.24137931034482757,hc_200,grp1
grp1_a.I1.m.M.grisea.B2.ND1,0.35064935064935066,0.4153846153846154,0.4084507042253521,0.380281690140845,hc_200,grp1
grp1_a.I1.b.Synechococcus.sp2.C3.tLEU,0.5753424657534246,0.5526315789473685,0.563758389261745,0.563758389261745,hc_200,grp1
