name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
RNaseP_T.luteus,0.20833333333333334,0.16483516483516483,0.18404907975460125,0.18404907975460125,hc_100,RNaseP
RNaseP_LGB27,0.42857142857142855,0.3173076923076923,0.3756906077348066,0.3646408839779005,hc_100,RNaseP
RNaseP_A.fastidiosum,0.38028169014084506,0.29347826086956524,0.33128834355828224,0.33128834355828224,hc_100,RNaseP
RNaseP_T.acidophilum,0.425,0.37362637362637363,0.4505928853754941,0.39766081871345027,hc_100,RNaseP
RNaseP_ESH212C,0.4482758620689655,0.38235294117647056,0.41269841269841273,0.41269841269841273,hc_100,RNaseP
RNaseP_S.caesia-K76T,0.41333333333333333,0.30097087378640774,0.34831460674157305,0.34831460674157305,hc_100,RNaseP
RNaseP_S.negevensis,0.3111111111111111,0.2,0.2608695652173913,0.24347826086956526,hc_100,RNaseP
RNaseP_P.strasburgensis,0.42391304347826086,0.40625,0.41489361702127664,0.41489361702127664,hc_100,RNaseP
RNaseP_N.meningtidis-MC58,0.3132530120481928,0.24074074074074073,0.2827225130890052,0.27225130890052357,hc_100,RNaseP
RNaseP_P.putida,0.25,0.17857142857142858,0.24401913875598083,0.20833333333333331,hc_100,RNaseP
RNaseP_Y.pestis,0.33653846153846156,0.2892561983471074,0.3288888888888889,0.31111111111111106,hc_100,RNaseP
RNaseP_M.thermoautotrophicumDH-g,0.25757575757575757,0.20238095238095238,0.2606310013717421,0.22666666666666666,hc_100,RNaseP
RNaseP_A.brierleyi,0.5967741935483871,0.5285714285714286,0.5606060606060607,0.5606060606060607,hc_100,RNaseP
RNaseP_C.pneumoniae,0.30120481927710846,0.25773195876288657,0.30000000000000004,0.27777777777777785,hc_100,RNaseP
RNaseP_T.album,0.29577464788732394,0.21649484536082475,0.25000000000000006,0.25000000000000006,hc_100,RNaseP
RNaseP_CPA49,0.4897959183673469,0.4444444444444444,0.48543689320388356,0.46601941747572817,hc_100,RNaseP
RNaseP_P.vulgaris,0.43661971830985913,0.36470588235294116,0.4487179487179487,0.39743589743589747,hc_100,RNaseP
RNaseP_E.eschsholtzii,0.0821917808219178,0.1111111111111111,0.09448818897637795,0.09448818897637795,hc_100,RNaseP
RNaseP_V.cholera,0.2761904761904762,0.23770491803278687,0.2643171806167401,0.25550660792951535,hc_100,RNaseP
RNaseP_CPA61,0.4387755102040816,0.39814814814814814,0.4174757281553398,0.4174757281553398,hc_100,RNaseP
RNaseP_P.cultripes,0.19696969696969696,0.2653061224489796,0.24347826086956523,0.22608695652173913,hc_100,RNaseP
RNaseP_ESH7-9,0.36046511627906974,0.34444444444444444,0.37499999999999994,0.35227272727272724,hc_100,RNaseP
RNaseP_S.viridis-K73T,0.5057471264367817,0.42718446601941745,0.5100292746394882,0.4631578947368421,hc_100,RNaseP
RNaseP_P.alcalifaciens,0.3924050632911392,0.3563218390804598,0.39759036144578314,0.3734939759036145,hc_100,RNaseP
RNaseP_M.luteus,0.26436781609195403,0.23711340206185566,0.24999999999999994,0.24999999999999994,hc_100,RNaseP
RNaseP_SM1,0.2037037037037037,0.12941176470588237,0.15827338129496404,0.15827338129496404,hc_100,RNaseP
RNaseP_SM-A3254,0.35526315789473684,0.28125,0.32558139534883723,0.313953488372093,hc_100,RNaseP
RNaseP_C.psittaci-2,0.6276595744680851,0.5673076923076923,0.6161616161616162,0.5959595959595959,hc_100,RNaseP
RNaseP_S.solfataricus,0.43859649122807015,0.373134328358209,0.4193548387096774,0.4032258064516129,hc_100,RNaseP
RNaseP_LGW23,0.45569620253164556,0.36,0.4022346368715084,0.4022346368715084,hc_100,RNaseP
RNaseP_SM-A6090,0.3333333333333333,0.27710843373493976,0.32894736842105265,0.30263157894736836,hc_100,RNaseP
RNaseP_S.viridis-K197,0.5057471264367817,0.42718446601941745,0.5100292746394882,0.4631578947368421,hc_100,RNaseP
RNaseP_S.glauca-K195,0.33695652173913043,0.30097087378640774,0.3329654737505912,0.3179487179487179,hc_100,RNaseP
RNaseP_S.pneumoniae,0.39622641509433965,0.358974358974359,0.3856502242152467,0.3766816143497758,hc_100,RNaseP
RNaseP_C.trachomatis-2,0.5545454545454546,0.46564885496183206,0.5062240663900415,0.5062240663900415,hc_100,RNaseP
RNaseP_P.horikoshi,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.3469387755102041,hc_100,RNaseP
RNaseP_S.bayanus,0.4803921568627451,0.5157894736842106,0.517766497461929,0.49746192893401014,hc_100,RNaseP
RNaseP_S.viridis-K191,0.5180722891566265,0.4174757281553398,0.5101187111362352,0.46236559139784944,hc_100,RNaseP
RNaseP_C.opuntiae,0.175,0.17073170731707318,0.22222222222222224,0.17283950617283952,hc_100,RNaseP
RNaseP_G.sulfurreducens,0.32967032967032966,0.25862068965517243,0.3091787439613527,0.2898550724637681,hc_100,RNaseP
RNaseP_N.simplex,0.359375,0.2948717948717949,0.32394366197183094,0.32394366197183094,hc_100,RNaseP
RNaseP_SM-A1932,0.2463768115942029,0.19101123595505617,0.24050632911392406,0.21518987341772153,hc_100,RNaseP
RNaseP_SM2,0.2037037037037037,0.12941176470588237,0.15827338129496404,0.15827338129496404,hc_100,RNaseP
RNaseP_M.fermentans,0.5245901639344263,0.36363636363636365,0.45637583892617445,0.4295302013422819,hc_100,RNaseP
RNaseP_M.bovis,0.38181818181818183,0.32061068702290074,0.36058700209643607,0.34854771784232363,hc_100,RNaseP
RNaseP_C.trachomatis-D,0.5545454545454546,0.46564885496183206,0.5062240663900415,0.5062240663900415,hc_100,RNaseP
RNaseP_C.testosteroni,0.6,0.42857142857142855,0.5365126676602087,0.5,hc_100,RNaseP
RNaseP_P.abyssi,0.3076923076923077,0.28865979381443296,0.29787234042553196,0.29787234042553196,hc_100,RNaseP
RNaseP_S.polymorpha,0.2647058823529412,0.225,0.2627939142461964,0.24324324324324323,hc_100,RNaseP
RNaseP_N.fulvus-JCM3335,0.2463768115942029,0.2236842105263158,0.23448275862068965,0.23448275862068965,hc_100,RNaseP
RNaseP_Synechococcus-PCC7001,0.4065934065934066,0.3627450980392157,0.42487046632124353,0.383419689119171,hc_100,RNaseP
RNaseP_T.maritima-g,0.43,0.39814814814814814,0.4519230769230769,0.4134615384615385,hc_100,RNaseP
RNaseP_M.jannaschii,0.4852941176470588,0.4520547945205479,0.5178849144634525,0.46808510638297873,hc_100,RNaseP
RNaseP_D.radiodurans,0.19827586206896552,0.152317880794702,0.17977528089887643,0.17228464419475656,hc_100,RNaseP
RNaseP_A.ambivalens,0.5882352941176471,0.547945205479452,0.5673758865248226,0.5673758865248226,hc_100,RNaseP
