name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
grp1_a.I1.e.P.carinii.Pc1.C1.LSU.1921,0.5042735042735043,0.5130434782608696,0.5086206896551724,0.5086206896551724,samples_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.287,0.09090909090909091,0.0847457627118644,0.08771929824561403,0.08771929824561403,samples_400,grp1
grp1_a.I1.e.D.parva.C1.SSU.1512,0.5950413223140496,0.5454545454545454,0.5770750988142292,0.5691699604743082,samples_400,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.1506,0.37,0.3557692307692308,0.37254901960784315,0.3627450980392157,samples_400,grp1
grp1_a.I1.e.P.macrosporus.C1.SSU.943,0.42452830188679247,0.4411764705882353,0.4615384615384615,0.4326923076923077,samples_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.287,0.3050847457627119,0.26865671641791045,0.28571428571428575,0.28571428571428575,samples_400,grp1
grp1_a.I1.c.A.cherimola.C3.tLEU,0.07801418439716312,0.2,0.15306122448979592,0.11224489795918369,samples_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1210,0.4027777777777778,0.37662337662337664,0.42953020134228187,0.389261744966443,samples_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1506,0.3076923076923077,0.29850746268656714,0.31818181818181823,0.303030303030303,samples_400,grp1
grp1_a.I1.e.A.capsulatus.G186B.C1.SSU,0.39166666666666666,0.3949579831932773,0.4225352112676056,0.39330543933054396,samples_400,grp1
grp1_a.I1.e.G.planctonica.C1.SSU.943,0.5163934426229508,0.4701492537313433,0.527497973833507,0.4921875,samples_400,grp1
grp1_a.I1.e.Staurastrum.sp.M753.C1.SSU.1506,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,samples_400,grp1
grp1_a.I1.e.C.grayi.UNK.SSU.1516,0.38202247191011235,0.53125,0.47058823529411764,0.44444444444444436,samples_400,grp1
grp1_a.I1.b.Dermocarpa.sp.ATCC29371.C3.tMET,0.5066666666666667,0.4935064935064935,0.513157894736842,0.5,samples_400,grp1
grp1_a.I1.m.S.pombe.B1.OX1,0.1958762886597938,0.2878787878787879,0.28220858895705525,0.23312883435582823,samples_400,grp1
grp1_a.I1.e.G.spirotaenia.C1.SSU.1506,0.4117647058823529,0.42,0.42574257425742573,0.41584158415841577,samples_400,grp1
grp1_a.I1.e.P.carinii.Pc3.C1.LSU.1921,0.3181818181818182,0.32407407407407407,0.33027522935779813,0.3211009174311926,samples_400,grp1
grp1_a.I1.c.G.prostrata.C3.tLEU,0.2,0.3,0.3066666666666667,0.24,samples_400,grp1
grp1_a.I1.e.A.capsulatus.CBS213.53.C1.SSU.943,0.559322033898305,0.5454545454545454,0.5857740585774058,0.5523012552301255,samples_400,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.943,0.21052631578947367,0.2127659574468085,0.21164021164021166,0.21164021164021166,samples_400,grp1
grp1_a.I1.e.T.cosmopolitanis.C1.LSU.1925,0.4634146341463415,0.44881889763779526,0.45599999999999996,0.45599999999999996,samples_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1052,0.22413793103448276,0.19696969696969696,0.22580645161290322,0.20967741935483872,samples_400,grp1
grp1_a.I1.e.P.carinii.C1.SSU.1506,0.12686567164179105,0.14912280701754385,0.14516129032258063,0.13709677419354838,samples_400,grp1
grp1_a.I1.m.M.grisea.B2.ND1,0.32894736842105265,0.38461538461538464,0.36879432624113473,0.35460992907801425,samples_400,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.1506,0.5862068965517241,0.5714285714285714,0.6127659574468085,0.5787234042553192,samples_400,grp1
