name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
23s_H.pylori_domain4,0.6190476190476191,0.28888888888888886,0.3939393939393939,0.3939393939393939,hc_200,23s
23s_S.aureus_domain4,0.3684210526315789,0.07291666666666667,0.12173913043478261,0.12173913043478261,hc_200,23s
23s_H.pylori_domain3,0.25,0.06666666666666667,0.10526315789473685,0.10526315789473685,hc_200,23s
23s_B.subtilis_domain3,0.06666666666666667,0.009345794392523364,0.016393442622950817,0.016393442622950817,hc_200,23s
23s_S.aureus_domain6,0.34146341463414637,0.1917808219178082,0.24561403508771934,0.24561403508771934,hc_200,23s
23s_T.thermophilus_domain3,0.46875,0.14563106796116504,0.22222222222222224,0.22222222222222224,hc_200,23s
23s_E.coli_domain4,0.46153846153846156,0.12371134020618557,0.1951219512195122,0.1951219512195122,hc_200,23s
23s_B.subtilis_domain6,0.2,0.08108108108108109,0.11538461538461539,0.11538461538461539,hc_200,23s
23s_E.coli_domain3,0.3333333333333333,0.05454545454545454,0.09375,0.09375,hc_200,23s
23s_T.thermophilus_domain6,0.3888888888888889,0.1891891891891892,0.2545454545454546,0.2545454545454546,hc_200,23s
23s_B.subtilis_domain4,0.46153846153846156,0.061855670103092786,0.1090909090909091,0.1090909090909091,hc_200,23s
23s_S.aureus_domain3,0.3448275862068966,0.09259259259259259,0.14598540145985403,0.14598540145985403,hc_200,23s
23s_T.thermophilus_domain4,0.4482758620689655,0.1368421052631579,0.20967741935483875,0.20967741935483875,hc_200,23s
23s_E.coli_domain6,0.3939393939393939,0.1780821917808219,0.24528301886792453,0.24528301886792453,hc_200,23s
23s_H.pylori_domain6,0.20588235294117646,0.10294117647058823,0.1372549019607843,0.1372549019607843,hc_200,23s
