name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
srp_Camp.jeju._CP000768,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.5384615384615385,hc_400,srp
srp_Clos.perf._BA000016,0.18571428571428572,0.14444444444444443,0.1625,0.1625,hc_400,srp
srp_Buch.aphi._AE014017,0.7857142857142857,0.6285714285714286,0.6984126984126985,0.6984126984126985,hc_400,srp
srp_Vibr.vuln._AE016807,0.52,0.48148148148148145,0.5,0.5,hc_400,srp
srp_Baci.cere._CP000764,0.28169014084507044,0.22988505747126436,0.2658227848101266,0.25316455696202533,hc_400,srp
srp_Enta.inva._GSP-370355,0.38666666666666666,0.31521739130434784,0.3473053892215569,0.3473053892215569,hc_400,srp
srp_Zea.mays._CF919998,0.1724137931034483,0.15463917525773196,0.1956521739130435,0.16304347826086957,hc_400,srp
srp_Zea.mays._AY108846,0.24358974358974358,0.2087912087912088,0.2485207100591716,0.22485207100591717,hc_400,srp
srp_Cand.trop._GSP-294747,0.16455696202531644,0.16883116883116883,0.20512820512820512,0.16666666666666666,hc_400,srp
srp_Haem.infl._U32795,0.5172413793103449,0.36585365853658536,0.42857142857142855,0.42857142857142855,hc_400,srp
srp_Lyco.escu._Z46745,0.3333333333333333,0.25,0.32967032967032966,0.28571428571428575,hc_400,srp
srp_Neis.meni._AE002098,0.7619047619047619,0.45714285714285713,0.5714285714285714,0.5714285714285714,hc_400,srp
srp_Zea.mays._CK327537,0.25,0.21348314606741572,0.26666666666666666,0.23030303030303031,hc_400,srp
srp_Meth.acet._AE010299,0.22857142857142856,0.16494845360824742,0.19161676646706585,0.19161676646706585,hc_400,srp
srp_Neis.meni._AL162755,0.47058823529411764,0.26666666666666666,0.3404255319148936,0.3404255319148936,hc_400,srp
srp_Lact.lact._AM406671,0.0,0.0,0.0,0.0,hc_400,srp
srp_Shew.spec._CP000446,0.0,0.0,0.22508038585209003,0.0,hc_400,srp
srp_Kleb.pneu._CP000647,0.06666666666666667,0.04,0.05,0.05,hc_400,srp
srp_Homo.sapi._M20910,0.07894736842105263,0.058823529411764705,0.06741573033707866,0.06741573033707866,hc_400,srp
srp_Trit.aest._BQ167677,0.2361111111111111,0.2361111111111111,0.2361111111111111,0.2361111111111111,hc_400,srp
srp_Heli.pylo._AE000511,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4444444444444444,hc_400,srp
srp_Dros.viri._GSP-7244,0.2413793103448276,0.21,0.2245989304812834,0.2245989304812834,hc_400,srp
