name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
grp1_a.I1.e.C.saccatum.C1.SSU.1512,0.42735042735042733,0.36496350364963503,0.4015748031496063,0.39370078740157477,rnadist_400,grp1
grp1_a.I1.e.P.carinii.Pc2.C1.LSU.1921,0.40425531914893614,0.34234234234234234,0.3902439024390244,0.37073170731707317,rnadist_400,grp1
grp1_a.I1.e.Staurastrum.sp.M752.C1.SSU.1506,0.49586776859504134,0.5042016806722689,0.5166666666666667,0.4999999999999999,rnadist_400,grp1
grp1_a.I1.e.A.capsulatus.CBS213.53.C1.SSU.943,0.5192307692307693,0.4462809917355372,0.5380770361658336,0.48000000000000004,rnadist_400,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.943,0.336734693877551,0.3173076923076923,0.3663366336633664,0.3267326732673267,rnadist_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1052,0.13513513513513514,0.15151515151515152,0.14285714285714285,0.14285714285714285,rnadist_400,grp1
grp1_a.I1.e.P.carinii.C1.SSU.1506,0.18181818181818182,0.19298245614035087,0.18723404255319148,0.18723404255319148,rnadist_400,grp1
grp1_a.I1.e.U.maydis.C1.SSU.943,0.3813559322033898,0.36885245901639346,0.4,0.37500000000000006,rnadist_400,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.1506,0.35714285714285715,0.33653846153846156,0.3465346534653466,0.3465346534653466,rnadist_400,grp1
grp1_a.I1.c.G.prostrata.C3.tLEU,0.08860759493670886,0.11666666666666667,0.14388489208633096,0.10071942446043167,rnadist_400,grp1
grp1_a.I1.e.T.cosmopolitanis.C1.LSU.1925,0.3700787401574803,0.3700787401574803,0.37795275590551175,0.37007874015748027,rnadist_400,grp1
grp1_a.I1.e.C.ellipsoidea.211-1a.C1.SSU.1506,0.43478260869565216,0.45454545454545453,0.4444444444444445,0.4444444444444445,rnadist_400,grp1
grp1_a.I1.e.G.planctonica.C1.SSU.943,0.5317460317460317,0.5,0.5347060777150447,0.5153846153846154,rnadist_400,grp1
grp1_a.I1.m.S.luteus.A1.LSU.2504,0.32967032967032966,0.28846153846153844,0.30769230769230765,0.30769230769230765,rnadist_400,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.1506,0.4482758620689655,0.4369747899159664,0.46808510638297873,0.44255319148936173,rnadist_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1210,0.2608695652173913,0.23376623376623376,0.28103044496487123,0.2465753424657534,rnadist_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.287,0.0196078431372549,0.01694915254237288,0.01818181818181818,0.01818181818181818,rnadist_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1516,0.1864406779661017,0.18032786885245902,0.18333333333333335,0.18333333333333335,rnadist_400,grp1
grp1_a.I1.e.S.granulatum.C1.SSU.1506,0.2627118644067797,0.2627118644067797,0.3003103365958463,0.2627118644067797,rnadist_400,grp1
grp1_a.I1.e.A.stipitatus.C1.SSU.1046,0.336283185840708,0.304,0.319327731092437,0.319327731092437,rnadist_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1516,0.32432432432432434,0.3582089552238806,0.34042553191489366,0.34042553191489366,rnadist_400,grp1
grp1_a.I1.e.D.salina.C1.SSU.943,0.5660377358490566,0.4918032786885246,0.5350877192982456,0.5263157894736842,rnadist_400,grp1
grp1_a.I1.e.A.capsulatus.FLs1.C1.SSU,0.3467741935483871,0.3524590163934426,0.39837398373983735,0.34959349593495936,rnadist_400,grp1
grp1_a.I1.e.A.adeninivorans.C1.LSU.2449,0.1951219512195122,0.23529411764705882,0.21333333333333335,0.21333333333333335,rnadist_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1210,0.4411764705882353,0.44776119402985076,0.45925925925925926,0.4444444444444445,rnadist_400,grp1
grp1_a.I1.e.P.carinii.Pc1.C1.LSU.1921,0.4485981308411215,0.41739130434782606,0.4324324324324324,0.4324324324324324,rnadist_400,grp1
grp1_a.I1.e.E.dermatitidis.C1.SSU.943,0.19491525423728814,0.18110236220472442,0.1959183673469388,0.18775510204081633,rnadist_400,grp1
grp1_a.I1.e.D.parva.C1.SSU.1512,0.5245901639344263,0.48484848484848486,0.5394963780614004,0.5039370078740156,rnadist_400,grp1
grp1_a.I1.e.G.spirotaenia.C1.SSU.1506,0.2037037037037037,0.22,0.24038461538461536,0.21153846153846154,rnadist_400,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.943,0.2608695652173913,0.2553191489361702,0.25806451612903225,0.25806451612903225,rnadist_400,grp1
