name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
23s_S.aureus_domain6,0.2765957446808511,0.1780821917808219,0.21666666666666665,0.21666666666666665,rnadist_400,23s
23s_T.thermophilus_domain3,0.3055555555555556,0.10679611650485436,0.15827338129496404,0.15827338129496404,rnadist_400,23s
23s_E.coli_domain3,0.125,0.06363636363636363,0.08433734939759036,0.08433734939759036,rnadist_400,23s
23s_H.pylori_domain3,0.125,0.047619047619047616,0.06896551724137931,0.06896551724137931,rnadist_400,23s
23s_B.subtilis_domain4,0.6086956521739131,0.28865979381443296,0.3916083916083916,0.3916083916083916,rnadist_400,23s
23s_S.aureus_domain4,0.55,0.22916666666666666,0.32352941176470584,0.32352941176470584,rnadist_400,23s
23s_T.thermophilus_domain6,0.4857142857142857,0.22972972972972974,0.3119266055045872,0.3119266055045872,rnadist_400,23s
23s_E.coli_domain6,0.3488372093023256,0.2054794520547945,0.2586206896551724,0.2586206896551724,rnadist_400,23s
23s_B.subtilis_domain3,0.26666666666666666,0.11214953271028037,0.15789473684210525,0.15789473684210525,rnadist_400,23s
23s_H.pylori_domain6,0.25806451612903225,0.11764705882352941,0.1616161616161616,0.1616161616161616,rnadist_400,23s
23s_B.subtilis_domain6,0.2564102564102564,0.13513513513513514,0.17699115044247787,0.17699115044247787,rnadist_400,23s
23s_T.thermophilus_domain4,0.13333333333333333,0.042105263157894736,0.064,0.064,rnadist_400,23s
23s_E.coli_domain4,0.3220338983050847,0.1958762886597938,0.24358974358974356,0.24358974358974356,rnadist_400,23s
23s_S.aureus_domain3,0.35294117647058826,0.16666666666666666,0.22641509433962262,0.22641509433962262,rnadist_400,23s
23s_H.pylori_domain4,0.39215686274509803,0.2222222222222222,0.2836879432624113,0.2836879432624113,rnadist_400,23s
