name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
srp_Camp.jeju._CP000768,0.5909090909090909,0.43333333333333335,0.5,0.5,rnadist_400,srp
srp_Clos.perf._BA000016,0.2692307692307692,0.15555555555555556,0.19718309859154928,0.19718309859154928,rnadist_400,srp
srp_Buch.aphi._AE014017,0.5,0.2857142857142857,0.36363636363636365,0.36363636363636365,rnadist_400,srp
srp_Vibr.vuln._AE016807,0.09090909090909091,0.07407407407407407,0.08163265306122448,0.08163265306122448,rnadist_400,srp
srp_Baci.cere._CP000764,0.2571428571428571,0.10344827586206896,0.14754098360655737,0.14754098360655737,rnadist_400,srp
srp_Enta.inva._GSP-370355,0.2926829268292683,0.13043478260869565,0.18045112781954886,0.18045112781954886,rnadist_400,srp
srp_Zea.mays._CF919998,0.027777777777777776,0.010309278350515464,0.039735099337748346,0.015037593984962405,rnadist_400,srp
srp_Zea.mays._AY108846,0.09302325581395349,0.04395604395604396,0.059701492537313425,0.059701492537313425,rnadist_400,srp
srp_Cand.trop._GSP-294747,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.2222222222222222,rnadist_400,srp
srp_Haem.infl._U32795,0.3333333333333333,0.1951219512195122,0.24615384615384614,0.24615384615384614,rnadist_400,srp
srp_Lyco.escu._Z46745,0.39215686274509803,0.19230769230769232,0.25806451612903225,0.25806451612903225,rnadist_400,srp
srp_Neis.meni._AE002098,0.36363636363636365,0.22857142857142856,0.2807017543859649,0.2807017543859649,rnadist_400,srp
srp_Zea.mays._CK327537,0.043478260869565216,0.02247191011235955,0.02962962962962963,0.02962962962962963,rnadist_400,srp
srp_Meth.acet._AE010299,0.22916666666666666,0.1134020618556701,0.15172413793103448,0.15172413793103448,rnadist_400,srp
srp_Neis.meni._AL162755,0.5,0.3,0.37499999999999994,0.37499999999999994,rnadist_400,srp
srp_Lact.lact._AM406671,0.1111111111111111,0.125,0.11764705882352941,0.11764705882352941,rnadist_400,srp
srp_Shew.spec._CP000446,0.0,0.0,0.20231213872832374,0.0,rnadist_400,srp
srp_Kleb.pneu._CP000647,0.0,0.0,0.0,0.0,rnadist_400,srp
srp_Homo.sapi._M20910,0.022222222222222223,0.00980392156862745,0.01360544217687075,0.01360544217687075,rnadist_400,srp
srp_Trit.aest._BQ167677,0.14634146341463414,0.08333333333333333,0.10619469026548671,0.10619469026548671,rnadist_400,srp
srp_Heli.pylo._AE000511,0.4444444444444444,0.3333333333333333,0.380952380952381,0.380952380952381,rnadist_400,srp
srp_Dros.viri._GSP-7244,0.3170731707317073,0.13,0.1843971631205674,0.1843971631205674,rnadist_400,srp
srp_Leis.majo._AY722715,0.0,0.0,0.0,0.0,rnadist_400,srp
srp_Zygo.roux._BN000170,0.30952380952380953,0.2653061224489796,0.2857142857142857,0.2857142857142857,rnadist_400,srp
srp_Vibr.chol._CP000627,0.47058823529411764,0.2222222222222222,0.3018867924528302,0.3018867924528302,rnadist_400,srp
srp_Rals.eutr._AM260479,0.21428571428571427,0.18181818181818182,0.19672131147540986,0.19672131147540986,rnadist_400,srp
srp_Homo.sapi._BU566619,0.018867924528301886,0.00980392156862745,0.012903225806451613,0.012903225806451613,rnadist_400,srp
srp_Yers.pest._CP000668,0.4166666666666667,0.2564102564102564,0.31746031746031744,0.31746031746031744,rnadist_400,srp
srp_Lact.delb._AF496545,0.045454545454545456,0.05,0.04761904761904762,0.04761904761904762,rnadist_400,srp
srp_Clos.acet._AE007525,0.19047619047619047,0.12121212121212122,0.14814814814814814,0.14814814814814814,rnadist_400,srp
srp_Sphi.alas._CP000356,0.3333333333333333,0.1935483870967742,0.24489795918367346,0.24489795918367346,rnadist_400,srp
srp_Nitr.mult._CP000103,0.391304347826087,0.23076923076923078,0.2903225806451613,0.2903225806451613,rnadist_400,srp
srp_Lyco.escu._Z29110,0.2857142857142857,0.17204301075268819,0.21476510067114093,0.21476510067114093,rnadist_400,srp
srp_Salm.ente._CP000026,0.3793103448275862,0.2894736842105263,0.3283582089552239,0.3283582089552239,rnadist_400,srp
srp_Tryp.bruc._AC159431,0.2631578947368421,0.10101010101010101,0.14598540145985403,0.14598540145985403,rnadist_400,srp
srp_Baci.subt._D11417,0.13157894736842105,0.054945054945054944,0.07751937984496124,0.07751937984496124,rnadist_400,srp
srp_Myco.spec._CP000384,0.0,0.0,0.0,0.0,rnadist_400,srp
srp_Oryz.sati._AP003253,0.0,0.0,0.0,0.0,rnadist_400,srp
srp_Dros.will._GSP-7260,0.3333333333333333,0.11,0.16541353383458648,0.16541353383458648,rnadist_400,srp
srp_Cory.effi._BA000035,0.25,0.16,0.2926829268292683,0.19512195121951217,rnadist_400,srp
srp_Legi.pneu._M31830,0.4074074074074074,0.2894736842105263,0.3384615384615384,0.3384615384615384,rnadist_400,srp
