name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
tmRNA_Lact.sake._TRW-314315_1-370,0.21311475409836064,0.25742574257425743,0.23318385650224213,0.23318385650224213,famfold,tmRNA
tmRNA_Camp.upsa._TRW-306264_1-359,0.30434782608695654,0.3465346534653465,0.35612159077255795,0.32407407407407407,famfold,tmRNA
tmRNA_Ente.saka._TRW-28141_1-364,0.2894736842105263,0.3173076923076923,0.3119266055045871,0.30275229357798167,famfold,tmRNA
tmRNA_Baci.clau._AP006627_1-355,0.37168141592920356,0.4375,0.517348478125832,0.4019138755980861,famfold,tmRNA
tmRNA_Yers.pest._AL590842_1-364,0.3,0.32673267326732675,0.33175355450236965,0.3127962085308057,famfold,tmRNA
tmRNA_Chla.muri._AE002296_1-418,0.1826086956521739,0.1721311475409836,0.1856540084388186,0.1772151898734177,famfold,tmRNA
tmRNA_Stap.aure._BA000018_1-362,0.4732142857142857,0.53,0.513840830449827,0.5,famfold,tmRNA
tmRNA_uncu.mari._TRW-363180_1-347,0.2773109243697479,0.34375,0.3162790697674419,0.30697674418604654,famfold,tmRNA
tmRNA_Buch.aphi._AE013218_1-376,0.3937007874015748,0.5208333333333334,0.47533632286995514,0.4484304932735426,famfold,tmRNA
tmRNA_Nost.spec._BA000019_1-390,0.25396825396825395,0.29357798165137616,0.28473543966501713,0.2723404255319149,famfold,tmRNA
tmRNA_Acti.acti._TRW-272556_1-366,0.16037735849056603,0.17,0.19340765874939406,0.1650485436893204,famfold,tmRNA
tmRNA_Acid.ferr._TRW-133824_1-364,0.3779527559055118,0.4528301886792453,0.42918454935622313,0.41201716738197425,famfold,tmRNA
tmRNA_Pseu.fluo._TRW-216595_1-397,0.2366412213740458,0.30392156862745096,0.2918454935622318,0.26609442060085836,famfold,tmRNA
tmRNA_envi.sequ._TRW-32045-1_1-355,0.2828282828282828,0.3010752688172043,0.3487179487179487,0.2916666666666667,famfold,tmRNA
tmRNA_Erwi.amyl._TRW-552_1-381,0.21052631578947367,0.23300970873786409,0.22119815668202766,0.22119815668202766,famfold,tmRNA
tmRNA_uncu.bact._TRW-135621-1_1-397,0.24615384615384617,0.3137254901960784,0.3017241379310344,0.27586206896551724,famfold,tmRNA
tmRNA_Meth.caps._AE017282_1-356,0.23148148148148148,0.2717391304347826,0.2845129642606868,0.25,famfold,tmRNA
tmRNA_Rubr.xyla._CP000386_1-360,0.14736842105263157,0.1414141414141414,0.29361779063460497,0.14432989690721648,famfold,tmRNA
tmRNA_Lact.brev._CP000416_1-372,0.3474576271186441,0.43617021276595747,0.40566037735849053,0.38679245283018876,famfold,tmRNA
tmRNA_Salm.typh._AY316313_1-363,0.2708333333333333,0.2549019607843137,0.27272727272727276,0.26262626262626265,famfold,tmRNA
tmRNA_Clos.perf._TRW-195102_1-361,0.375,0.42857142857142855,0.4476190476190476,0.39999999999999997,famfold,tmRNA
tmRNA_Fran.tula._CP000437_1-421,0.2302158273381295,0.29906542056074764,0.2601626016260163,0.2601626016260163,famfold,tmRNA
tmRNA_Grac.tenu._AY673996_1-396,0.1171875,0.4411764705882353,0.18518518518518517,0.18518518518518517,famfold,tmRNA
tmRNA_Fran.tula._AM286280_1-421,0.2391304347826087,0.308411214953271,0.26938775510204077,0.26938775510204077,famfold,tmRNA
tmRNA_Salm.ente._TRW-59204_1-363,0.25961538461538464,0.26732673267326734,0.27317073170731715,0.26341463414634153,famfold,tmRNA
tmRNA_Bact.mari._TRW-97084_1-385,0.1810344827586207,0.26582278481012656,0.24615384615384614,0.21538461538461537,famfold,tmRNA
tmRNA_Myco.pene._BA000026_1-405,0.23015873015873015,0.31521739130434784,0.2660550458715596,0.2660550458715596,famfold,tmRNA
tmRNA_Acid.caps._TRW-240015_1-352,0.3238095238095238,0.3148148148148148,0.3192488262910798,0.3192488262910798,famfold,tmRNA
tmRNA_Leuc.mese._AF375574_1-307,0.29896907216494845,0.35365853658536583,0.3411592076302274,0.3240223463687151,famfold,tmRNA
tmRNA_Stre.miti._TRW-246201_1-348,0.24299065420560748,0.26804123711340205,0.27450980392156865,0.2549019607843137,famfold,tmRNA
tmRNA_Vibr.vuln._AE016795_1-367,0.19811320754716982,0.2079207920792079,0.21716738197424892,0.2028985507246377,famfold,tmRNA
tmRNA_Sulf.azor._TRW-204536_1-351,0.41379310344827586,0.48,0.4956702459300312,0.4444444444444445,famfold,tmRNA
tmRNA_Heli.pylo._AE000590_1-383,0.23255813953488372,0.28846153846153844,0.2575107296137339,0.2575107296137339,famfold,tmRNA
tmRNA_Bord.para._TRW-257311_1-387,0.4330708661417323,0.4782608695652174,0.45454545454545453,0.45454545454545453,famfold,tmRNA
tmRNA_Cory.glut._BX927150_1-377,0.43089430894308944,0.5196078431372549,0.47111111111111115,0.47111111111111115,famfold,tmRNA
tmRNA_Pant.stew._TRW-66269_1-363,0.2830188679245283,0.2912621359223301,0.2966507177033493,0.2870813397129186,famfold,tmRNA
tmRNA_Heli.pylo._TRW-85962_1-386,0.2713178294573643,0.33653846153846156,0.30042918454935624,0.30042918454935624,famfold,tmRNA
tmRNA_Rumi.albu._TRW-246199_1-354,0.06140350877192982,0.07608695652173914,0.06796116504854369,0.06796116504854369,famfold,tmRNA
tmRNA_Noca.farc._AP006618_1-368,0.20192307692307693,0.22826086956521738,0.2653061224489796,0.2142857142857143,famfold,tmRNA
tmRNA_Myco.smeg._CP000480_1-369,0.1981981981981982,0.2268041237113402,0.21153846153846154,0.21153846153846154,famfold,tmRNA
tmRNA_Fuso.nucl._AE009951_1-344,0.3238095238095238,0.3333333333333333,0.3381642512077294,0.3285024154589372,famfold,tmRNA
tmRNA_Xyle.fast._TRW-155919_1-355,0.2,0.22,0.20952380952380953,0.20952380952380953,famfold,tmRNA
tmRNA_Shew.spec._CP000469_1-355,0.2413793103448276,0.2857142857142857,0.31262190025076625,0.2616822429906542,famfold,tmRNA
tmRNA_Arth.spec._CP000454_1-369,0.3247863247863248,0.3877551020408163,0.3627906976744185,0.3534883720930233,famfold,tmRNA
tmRNA_Stre.suis._TRW-218494_1-354,0.2831858407079646,0.32653061224489793,0.3272827282728273,0.3033175355450237,famfold,tmRNA
tmRNA_Emil.huxl._AY741371_1-291,0.24705882352941178,0.5,0.36220472440944884,0.33070866141732286,famfold,tmRNA
