name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
telomerase_AF221906.96-545,0.05714285714285714,0.05357142857142857,0.08746355685131196,0.05529953917050691,hc_400,telomerase
telomerase_AF221923.106-554,0.1717171717171717,0.16037735849056603,0.17560975609756097,0.16585365853658537,hc_400,telomerase
telomerase_AF221916.94-481,0.23140495867768596,0.3146067415730337,0.30476190476190473,0.26666666666666666,hc_400,telomerase
telomerase_AF221931.99-541,0.1111111111111111,0.10619469026548672,0.12210667561221066,0.1085972850678733,hc_400,telomerase
telomerase_AF221920.99-541,0.0,0.0,0.0,0.0,hc_400,telomerase
telomerase_AF221914.112-589,0.09166666666666666,0.11224489795918367,0.11009174311926606,0.10091743119266056,hc_400,telomerase
telomerase_AF221921.98-548,0.3181818181818182,0.3333333333333333,0.33488372093023255,0.3255813953488372,hc_400,telomerase
telomerase_AF147806.247-692,0.16216216216216217,0.1978021978021978,0.1782178217821782,0.1782178217821782,hc_400,telomerase
telomerase_AF221911.104-513,0.18947368421052632,0.18,0.22052505966587113,0.18461538461538463,hc_400,telomerase
telomerase_AF221929.92-517,0.2698412698412698,0.32075471698113206,0.29310344827586204,0.29310344827586204,hc_400,telomerase
telomerase_AF221910.112-554,0.28695652173913044,0.3055555555555556,0.31390134529147984,0.29596412556053814,hc_400,telomerase
telomerase_AF221919.107-614,0.21705426356589147,0.30434782608695654,0.2714932126696833,0.2533936651583711,hc_400,telomerase
telomerase_AF221927.113-556,0.05084745762711865,0.058823529411764705,0.05454545454545455,0.05454545454545455,hc_400,telomerase
telomerase_AF221912.98-564,0.1782178217821782,0.1651376146788991,0.20872947277441659,0.17142857142857143,hc_400,telomerase
telomerase_AF221932.102-549,0.12380952380952381,0.12037037037037036,0.16901408450704225,0.12206572769953053,hc_400,telomerase
telomerase_AF221926.103-507,0.23157894736842105,0.25,0.24043715846994534,0.24043715846994534,hc_400,telomerase
telomerase_U85256.1-451,0.024793388429752067,0.02654867256637168,0.025641025641025644,0.025641025641025644,hc_400,telomerase
telomerase_AF221934.121-565,0.1308411214953271,0.13333333333333333,0.169811320754717,0.13207547169811318,hc_400,telomerase
telomerase_AY312571.605-1069,0.125,0.15384615384615385,0.15204307887234716,0.13793103448275862,hc_400,telomerase
telomerase_AF221913.109-520,0.23684210526315788,0.27835051546391754,0.2559241706161138,0.2559241706161138,hc_400,telomerase
telomerase_AF221930.94-546,0.23,0.20535714285714285,0.24074074074074076,0.21698113207547168,hc_400,telomerase
telomerase_AF221939.99-544,0.1,0.10909090909090909,0.10434782608695652,0.10434782608695652,hc_400,telomerase
telomerase_AC121792.109554-109950,0.18181818181818182,0.2247191011235955,0.23660522931847405,0.20100502512562815,hc_400,telomerase
telomerase_AF221936.98-540,0.03333333333333333,0.03773584905660377,0.035398230088495575,0.035398230088495575,hc_400,telomerase
telomerase_AF221925.98-540,0.12871287128712872,0.11711711711711711,0.12264150943396226,0.12264150943396226,hc_400,telomerase
telomerase_AF221924.105-538,0.21621621621621623,0.22429906542056074,0.22935779816513763,0.2201834862385321,hc_400,telomerase
telomerase_AY058901.1-397,0.07627118644067797,0.10465116279069768,0.11764705882352941,0.08823529411764705,hc_400,telomerase
telomerase_AF221940.103-499,0.08163265306122448,0.08421052631578947,0.08290155440414507,0.08290155440414507,hc_400,telomerase
telomerase_AF221935.112-602,0.01680672268907563,0.020618556701030927,0.018518518518518517,0.018518518518518517,hc_400,telomerase
telomerase_AF221937.99-545,0.19801980198019803,0.18867924528301888,0.1932367149758454,0.1932367149758454,hc_400,telomerase
telomerase_AF221908.136-584,0.06862745098039216,0.06930693069306931,0.06896551724137931,0.06896551724137931,hc_400,telomerase
telomerase_AF221928.95-476,0.26785714285714285,0.3333333333333333,0.3069306930693069,0.297029702970297,hc_400,telomerase
telomerase_AF221917.99-542,0.22772277227722773,0.20353982300884957,0.21495327102803738,0.21495327102803738,hc_400,telomerase
telomerase_AF221918.97-547,0.14655172413793102,0.14912280701754385,0.1908336625839589,0.14782608695652172,hc_400,telomerase
telomerase_AF221909.98-496,0.3185840707964602,0.375,0.35406698564593303,0.34449760765550236,hc_400,telomerase
