name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
telomerase_AF221931.99-541,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AC121792.109554-109950,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221906.96-545,1.0,0.008928571428571428,0.017699115044247787,0.017699115044247787,famfold,telomerase
telomerase_AF221940.103-499,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221937.99-545,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221917.99-542,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221927.113-556,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221934.121-565,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221909.98-496,0.16666666666666666,0.010416666666666666,0.0196078431372549,0.0196078431372549,famfold,telomerase
telomerase_AF221939.99-544,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221913.109-520,0.5,0.020618556701030927,0.0396039603960396,0.0396039603960396,famfold,telomerase
telomerase_AF221923.106-554,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221910.112-554,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221926.103-507,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF147806.247-692,1.0,0.01098901098901099,0.02173913043478261,0.02173913043478261,famfold,telomerase
telomerase_AF221916.94-481,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_U85256.1-451,1.0,0.035398230088495575,0.06837606837606837,0.06837606837606837,famfold,telomerase
telomerase_AF221924.105-538,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221921.98-548,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221932.102-549,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221929.92-517,1.0,0.009433962264150943,0.018691588785046728,0.018691588785046728,famfold,telomerase
telomerase_AF221930.94-546,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221911.104-513,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221935.112-602,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221920.99-541,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221908.136-584,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221919.107-614,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AY312571.605-1069,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221925.98-540,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221914.112-589,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221936.98-540,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AY058901.1-397,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221918.97-547,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221928.95-476,0.0,0.0,0.0,0.0,famfold,telomerase
telomerase_AF221912.98-564,0.0,0.0,0.0,0.0,famfold,telomerase
