name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
srp_Grac.tenu._AY673996,0.08333333333333333,0.06666666666666667,0.07407407407407407,0.07407407407407407,samples_100,srp
srp_Xyle.fast._AE012554,0.35294117647058826,0.17142857142857143,0.23076923076923078,0.23076923076923078,samples_100,srp
srp_Lotu.corn._AP006364,0.4,0.021052631578947368,0.039999999999999994,0.039999999999999994,samples_100,srp
srp_Baci.thur._CP000485,0.23076923076923078,0.034482758620689655,0.05999999999999999,0.05999999999999999,samples_100,srp
srp_Dani.reri._EH487580,0.3076923076923077,0.04040404040404041,0.07142857142857144,0.07142857142857144,samples_100,srp
srp_Proc.mari._CP000551,0.0,0.0,0.13043478260869565,0.0,samples_100,srp
srp_Geob.sulf._AE017180,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.3636363636363637,samples_100,srp
srp_Baci.cere._CP000001,0.3684210526315789,0.21212121212121213,0.3076923076923077,0.2692307692307693,samples_100,srp
srp_Schi.japo._GSP-402676,0.3684210526315789,0.08433734939759036,0.1372549019607843,0.1372549019607843,samples_100,srp
srp_Lact.delb._AF496545,0.07142857142857142,0.05,0.058823529411764705,0.058823529411764705,samples_100,srp
srp_List.mono._U15684,0.0,0.0,0.0,0.0,samples_100,srp
srp_Myco.pene._BA000026,0.3125,0.2,0.24390243902439027,0.24390243902439027,samples_100,srp
srp_Dros.mela._AE014297,0.2222222222222222,0.019801980198019802,0.03636363636363636,0.03636363636363636,samples_100,srp
srp_Chla.pneu._AE002161,0.047619047619047616,0.03571428571428571,0.09523809523809523,0.04081632653061224,samples_100,srp
srp_Bord.pert._BX640415,0.5652173913043478,0.38235294117647056,0.45614035087719296,0.45614035087719296,samples_100,srp
srp_Kluy.walt._AADM01000319,0.0,0.0,0.0,0.0,samples_100,srp
srp_Prop.acne._AE017283,0.30434782608695654,0.25925925925925924,0.27999999999999997,0.27999999999999997,samples_100,srp
srp_Lact.lact._AM406671,0.0,0.0,0.0,0.0,samples_100,srp
srp_Meth.ther._AE000666,0.3333333333333333,0.037037037037037035,0.06666666666666667,0.06666666666666667,samples_100,srp
srp_Aspe.terr._GSP-341663,0.46153846153846156,0.07142857142857142,0.12371134020618557,0.12371134020618557,samples_100,srp
srp_Homo.sapi._BF908693,0.0,0.0,0.0,0.0,samples_100,srp
srp_Lyco.escu._Z29101,0.0,0.0,0.0,0.0,samples_100,srp
srp_Dros.mela._AE001572,0.2222222222222222,0.019801980198019802,0.03636363636363636,0.03636363636363636,samples_100,srp
srp_Geob.kaus._BA000043,0.42105263157894735,0.24242424242424243,0.4081632653061224,0.3076923076923077,samples_100,srp
srp_Stre.pyog._AE004092,0.3684210526315789,0.35,0.41025641025641024,0.358974358974359,samples_100,srp
srp_Coxi.burn._AE016828,0.0,0.0,0.0,0.0,samples_100,srp
srp_Ther.fusc._CP000088,0.0,0.0,0.0,0.0,samples_100,srp
srp_Stre.pneu._AE005672,0.3684210526315789,0.3333333333333333,0.4,0.35,samples_100,srp
srp_Burk.ceno._CP000458,0.5652173913043478,0.38235294117647056,0.45614035087719296,0.45614035087719296,samples_100,srp
srp_Baci.circ._D11419,0.4782608695652174,0.125,0.23423423423423426,0.1981981981981982,samples_100,srp
srp_Ther.mari._AE000512,0.14285714285714285,0.07142857142857142,0.2678571428571429,0.09523809523809523,samples_100,srp
srp_Shig.flex._AE005674,0.2222222222222222,0.36363636363636365,0.27586206896551724,0.27586206896551724,samples_100,srp
srp_Stap.aure._AC025951,0.5384615384615384,0.42424242424242425,0.5084745762711863,0.47457627118644075,samples_100,srp
srp_Baci.mace._D11420,0.5714285714285714,0.13636363636363635,0.22018348623853207,0.22018348623853207,samples_100,srp
srp_Baci.anth._AE017334,0.0,0.0,0.0,0.0,samples_100,srp
srp_Cory.effi._BA000035,0.1875,0.12,0.14634146341463414,0.14634146341463414,samples_100,srp
srp_Neis.meni._DD001104,0.5,0.29411764705882354,0.4074074074074075,0.37037037037037035,samples_100,srp
srp_Stap.epid._AF269814,0.4827586206896552,0.42424242424242425,0.4838709677419355,0.45161290322580644,samples_100,srp
srp_Meth.mari._CP000609,0.038461538461538464,0.02702702702702703,0.031746031746031744,0.031746031746031744,samples_100,srp
srp_Batr.dend._GSP-403673,0.25,0.009900990099009901,0.019047619047619046,0.019047619047619046,samples_100,srp
srp_Bras.oler._GSP-109376,0.125,0.010416666666666666,0.038461538461538464,0.019230769230769232,samples_100,srp
srp_Stre.pyog._AE006489,0.32,0.3076923076923077,0.35294117647058826,0.3137254901960784,samples_100,srp
srp_Fran.tula._AM233362,0.08,0.08,0.08,0.08,samples_100,srp
srp_Plas.chab._GSP-31271,0.14285714285714285,0.018691588785046728,0.033057851239669415,0.033057851239669415,samples_100,srp
srp_Stre.ther._CP000024,0.38095238095238093,0.34782608695652173,0.4090909090909091,0.3636363636363636,samples_100,srp
srp_Cand.trop._GSP-294747,0.2,0.05194805194805195,0.08247422680412371,0.08247422680412371,samples_100,srp
srp_Baci.anth._AE016879,0.23076923076923078,0.03529411764705882,0.06122448979591837,0.06122448979591837,samples_100,srp
srp_Haem.infl._L42023,0.0,0.0,0.0,0.0,samples_100,srp
srp_Leis.dono._AY781795,0.25,0.35714285714285715,0.2941176470588235,0.2941176470588235,samples_100,srp
srp_Shew.spec._CP000469,0.26666666666666666,0.16,0.26666666666666666,0.2,samples_100,srp
srp_Trep.dent._AE017226,0.0,0.0,0.04545454545454545,0.0,samples_100,srp
srp_Toxo.gond._CO743022,0.0,0.0,0.0,0.0,samples_100,srp
srp_Stre.pyog._CP000017,0.32,0.3076923076923077,0.35294117647058826,0.3137254901960784,samples_100,srp
srp_Cocc.posa._GSP-222929,0.35714285714285715,0.10204081632653061,0.15873015873015872,0.15873015873015872,samples_100,srp
srp_Psyc.cryo._CP000323,0.15789473684210525,0.1111111111111111,0.17391304347826086,0.13043478260869565,samples_100,srp
srp_Neis.gono._DD110233,0.6111111111111112,0.3548387096774194,0.4489795918367347,0.4489795918367347,samples_100,srp
srp_Heli.pylo._AE000511,0.5652173913043478,0.3611111111111111,0.44067796610169496,0.44067796610169496,samples_100,srp
srp_Salm.ente._AL627266,0.2413793103448276,0.23333333333333334,0.23728813559322037,0.23728813559322037,samples_100,srp
srp_Myco.lepr._AL023596,0.125,0.08333333333333333,0.26785714285714285,0.1,samples_100,srp
srp_Chla.cavi._AE015925,0.18181818181818182,0.14285714285714285,0.21582733812949637,0.16,samples_100,srp
srp_Eime.tene._CD666347,0.09090909090909091,0.011494252873563218,0.020408163265306124,0.020408163265306124,samples_100,srp
srp_Ther.petr._CP000702,0.14285714285714285,0.07142857142857142,0.2678571428571429,0.09523809523809523,samples_100,srp
srp_Trit.aest._CA626434,0.2857142857142857,0.05128205128205128,0.08695652173913043,0.08695652173913043,samples_100,srp
srp_Ferv.nodo._CP000771,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.10526315789473685,samples_100,srp
srp_Burk.pseu._CP000572,0.10526315789473684,0.09090909090909091,0.0975609756097561,0.0975609756097561,samples_100,srp
srp_Stap.aure._BX571856,0.5384615384615384,0.42424242424242425,0.5084745762711863,0.47457627118644075,samples_100,srp
srp_Myco.spec._CP000580,0.034482758620689655,0.038461538461538464,0.18181818181818185,0.03636363636363637,samples_100,srp
