name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
grp1_a.I1.e.P.carinii.Pc1.C1.LSU.1921,0.4090909090909091,0.0782608695652174,0.13138686131386862,0.13138686131386862,hc_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.287,0.25,0.05084745762711865,0.08450704225352114,0.08450704225352114,hc_400,grp1
grp1_a.I1.e.D.parva.C1.SSU.1512,0.7777777777777778,0.10606060606060606,0.18666666666666665,0.18666666666666665,hc_400,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.1506,0.9166666666666666,0.10576923076923077,0.1896551724137931,0.1896551724137931,hc_400,grp1
grp1_a.I1.e.P.macrosporus.C1.SSU.943,0.20588235294117646,0.06862745098039216,0.10294117647058823,0.10294117647058823,hc_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.287,0.25,0.1044776119402985,0.1473684210526316,0.1473684210526316,hc_400,grp1
grp1_a.I1.c.A.cherimola.C3.tLEU,0.1111111111111111,0.03636363636363636,0.0547945205479452,0.0547945205479452,hc_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1210,0.058823529411764705,0.012987012987012988,0.02127659574468085,0.02127659574468085,hc_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1506,0.23076923076923078,0.04477611940298507,0.075,0.075,hc_400,grp1
grp1_a.I1.e.A.capsulatus.G186B.C1.SSU,0.5,0.03361344537815126,0.06299212598425197,0.06299212598425197,hc_400,grp1
grp1_a.I1.e.G.planctonica.C1.SSU.943,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.Staurastrum.sp.M753.C1.SSU.1506,0.3333333333333333,0.025,0.046511627906976744,0.046511627906976744,hc_400,grp1
grp1_a.I1.e.C.grayi.UNK.SSU.1516,0.26666666666666666,0.0625,0.10126582278481013,0.10126582278481013,hc_400,grp1
grp1_a.I1.b.Dermocarpa.sp.ATCC29371.C3.tMET,0.7096774193548387,0.2857142857142857,0.4259259259259259,0.40740740740740744,hc_400,grp1
grp1_a.I1.m.S.pombe.B1.OX1,0.5,0.15151515151515152,0.23255813953488375,0.23255813953488375,hc_400,grp1
grp1_a.I1.e.G.spirotaenia.C1.SSU.1506,0.25,0.03,0.05357142857142856,0.05357142857142856,hc_400,grp1
grp1_a.I1.e.P.carinii.Pc3.C1.LSU.1921,0.07692307692307693,0.009259259259259259,0.01652892561983471,0.01652892561983471,hc_400,grp1
grp1_a.I1.c.G.prostrata.C3.tLEU,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.A.capsulatus.CBS213.53.C1.SSU.943,0.7272727272727273,0.06611570247933884,0.12121212121212122,0.12121212121212122,hc_400,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.943,0.46153846153846156,0.06382978723404255,0.11214953271028037,0.11214953271028037,hc_400,grp1
grp1_a.I1.e.T.cosmopolitanis.C1.LSU.1925,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1052,0.47368421052631576,0.13636363636363635,0.2117647058823529,0.2117647058823529,hc_400,grp1
grp1_a.I1.e.P.carinii.C1.SSU.1506,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.m.M.grisea.B2.ND1,0.13793103448275862,0.06153846153846154,0.08510638297872342,0.08510638297872342,hc_400,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.1506,0.6470588235294118,0.09243697478991597,0.16176470588235295,0.16176470588235295,hc_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1046,0.5454545454545454,0.0821917808219178,0.18697829716193656,0.14285714285714285,hc_400,grp1
grp1_a.I1.e.Staurastrum.sp.M752.C1.SSU.1506,0.3333333333333333,0.03361344537815126,0.07633587786259544,0.061068702290076333,hc_400,grp1
grp1_s.I1.e.T.thermophila.C1.LSU.1925.schem,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.M.caldariorum.C1.SSU.1506,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.A.stipitatus.C1.SSU.1046,0.6666666666666666,0.048,0.08955223880597014,0.08955223880597014,hc_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1516,0.5666666666666667,0.2537313432835821,0.35051546391752575,0.35051546391752575,hc_400,grp1
grp1_a.I1.e.P.pachydermus.C1.SSU.943,0.06666666666666667,0.009708737864077669,0.06779661016949153,0.01694915254237288,hc_400,grp1
grp1_a.I1.e.B.yamatoana.JCM2896.C1.SSU.1506,0.375,0.022388059701492536,0.04225352112676056,0.04225352112676056,hc_400,grp1
grp1_a.I1.e.P.clavariiformis.C1.SSU.943,0.5454545454545454,0.06,0.10810810810810809,0.10810810810810809,hc_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.114,0.8421052631578947,0.5614035087719298,0.6736842105263158,0.6736842105263158,hc_400,grp1
grp1_a.I1.e.S.granulatum.C1.SSU.1506,0.6,0.07627118644067797,0.13533834586466165,0.13533834586466165,hc_400,grp1
grp1_a.I1.b.Phormidium.sp.N182.C3.tLEU,0.5294117647058824,0.1111111111111111,0.1836734693877551,0.1836734693877551,hc_400,grp1
grp1_a.I1.e.B.yamatoana.JCM2896.C1.SSU.943,0.18181818181818182,0.014285714285714285,0.026490066225165563,0.026490066225165563,hc_400,grp1
grp1_a.I1.e.T.hyperangularis.C1.LSU.1925,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_b.I1.e.C.saccharophila.C1.SSU.156,0.38461538461538464,0.040983606557377046,0.07407407407407407,0.07407407407407407,hc_400,grp1
grp1_a.I1.e.C.ellipsoidea.211-1a.C1.SSU.1506,0.375,0.022727272727272728,0.04285714285714286,0.04285714285714286,hc_400,grp1
grp1_a.I1.b.S.hofmanii.C3.tMET,0.8064516129032258,0.352112676056338,0.49019607843137253,0.49019607843137253,hc_400,grp1
grp1_a.I1.e.T.pigmentosa.C1.LSU.1925,0.08333333333333333,0.007936507936507936,0.014492753623188406,0.014492753623188406,hc_400,grp1
grp1_a.I1.e.C.saxonicum.C1.SSU.1506,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.789,0.15384615384615385,0.08888888888888889,0.11267605633802817,0.11267605633802817,hc_400,grp1
grp1_a.I1.e.C.grayi.UNK.SSU.1046,0.18181818181818182,0.02666666666666667,0.11267605633802817,0.04651162790697675,hc_400,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.943,0.4444444444444444,0.07692307692307693,0.1311475409836066,0.1311475409836066,hc_400,grp1
grp1_a.I1.e.D.salina.C1.SSU.943,0.2857142857142857,0.01639344262295082,0.031007751937984496,0.031007751937984496,hc_400,grp1
grp1_a.I1.e.P.carinii.Pc2.C1.LSU.1921,0.4,0.07207207207207207,0.12213740458015267,0.12213740458015267,hc_400,grp1
grp1_a.I1.e.C.saccatum.C1.SSU.1512,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.516,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.C.ellipsoidea.IAMC-87.C1.SSU.1506,0.0625,0.007462686567164179,0.013333333333333334,0.013333333333333334,hc_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1046,0.21428571428571427,0.04918032786885246,0.08000000000000002,0.08000000000000002,hc_400,grp1
grp1_a.I1.m.S.luteus.A1.LSU.2504,0.42105263157894735,0.07692307692307693,0.13008130081300814,0.13008130081300814,hc_400,grp1
grp1_a.I1.e.A.adeninivorans.C1.LSU.2449,0.75,0.058823529411764705,0.10909090909090909,0.10909090909090909,hc_400,grp1
grp1_a.I1.b.Synechococcus.sp2.C3.tLEU,0.5675675675675675,0.27631578947368424,0.3716814159292035,0.3716814159292035,hc_400,grp1
grp1_a.I1.e.U.maydis.C1.SSU.943,0.2,0.01639344262295082,0.030303030303030307,0.030303030303030307,hc_400,grp1
grp1_a.I1.e.A.capsulatus.G184B.C1.SSU,0.5,0.03361344537815126,0.06299212598425197,0.06299212598425197,hc_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1210,0.6818181818181818,0.22388059701492538,0.3370786516853933,0.3370786516853933,hc_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1516,0.15,0.04918032786885246,0.07407407407407407,0.07407407407407407,hc_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1210,0.3076923076923077,0.08,0.126984126984127,0.126984126984127,hc_400,grp1
grp1_a.I1.e.S.sclerotiorum_1837.C1.LSU.798,0.15,0.033707865168539325,0.055045871559633024,0.055045871559633024,hc_400,grp1
grp1_b.I1.e.M.anisopliae.3.C1.LSU.1921,0.7333333333333333,0.1,0.20594059405940593,0.17600000000000002,hc_400,grp1
grp1_a.I1.e.A.capsulatus.FLs1.C1.SSU,0.75,0.09836065573770492,0.17391304347826086,0.17391304347826086,hc_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1389,0.7619047619047619,0.25,0.3764705882352941,0.3764705882352941,hc_400,grp1
grp1_a.I1.c.S.bicolor.C3.tLEU,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.E.dermatitidis.C1.SSU.943,0.3333333333333333,0.031496062992125984,0.05755395683453238,0.05755395683453238,hc_400,grp1
grp1_b.I1.e.M.anisopliae.2.C1.LSU.1921,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.D.parva.C1.SSU.943,0.7368421052631579,0.11382113821138211,0.19718309859154928,0.19718309859154928,hc_400,grp1
grp1_a.I1.e.P.sarcinoidea.C1.SSU.943,0.0,0.0,0.0,0.0,hc_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.114,0.375,0.15,0.21428571428571425,0.21428571428571425,hc_400,grp1
grp1_a.I1.e.T.malaccensis.C1.LSU.1925,0.35294117647058826,0.048,0.08450704225352114,0.08450704225352114,hc_400,grp1
grp1_a.I1.e.P.macrosporus.C1.SSU.1506,0.5454545454545454,0.05263157894736842,0.096,0.096,hc_400,grp1
grp1_b.I1.e.T.thermophila.C1.LSU.1925,0.0,0.0,0.0,0.0,hc_400,grp1
