name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
grp1_a.I1.e.P.sarcinoidea.C1.SSU.943,0.1,0.028037383177570093,0.043795620437956206,0.043795620437956206,famfold,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1210,0.72,0.26865671641791045,0.391304347826087,0.391304347826087,famfold,grp1
grp1_a.I1.e.T.hyperangularis.C1.LSU.1925,0.46153846153846156,0.14173228346456693,0.21686746987951808,0.21686746987951808,famfold,grp1
grp1_a.I1.m.S.luteus.A1.LSU.2504,0.3888888888888889,0.0673076923076923,0.11475409836065574,0.11475409836065574,famfold,grp1
grp1_a.I1.e.P.inouyei.C1.SSU.943,0.56,0.1346153846153846,0.21705426356589147,0.21705426356589147,famfold,grp1
grp1_a.I1.e.C.saxonicum.C1.SSU.1506,0.2,0.06666666666666667,0.1,0.1,famfold,grp1
grp1_a.I1.e.P.carinii.Pc2.C1.LSU.1921,0.5217391304347826,0.10810810810810811,0.17910447761194032,0.17910447761194032,famfold,grp1
grp1_a.I1.e.A.capsulatus.G184B.C1.SSU,0.25806451612903225,0.06722689075630252,0.10666666666666666,0.10666666666666666,famfold,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.1506,0.5151515151515151,0.16346153846153846,0.24817518248175183,0.24817518248175183,famfold,grp1
grp1_a.I1.e.Staurastrum.sp.M752.C1.SSU.1506,0.525,0.17647058823529413,0.2641509433962264,0.2641509433962264,famfold,grp1
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.943,0.4642857142857143,0.13829787234042554,0.21311475409836067,0.21311475409836067,famfold,grp1
grp1_a.I1.e.A.capsulatus.FLs1.C1.SSU,0.2619047619047619,0.09016393442622951,0.13414634146341464,0.13414634146341464,famfold,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1046,0.4074074074074074,0.18032786885245902,0.25,0.25,famfold,grp1
grp1_a.I1.e.P.carinii.Pc3.C1.LSU.1921,0.14705882352941177,0.046296296296296294,0.0704225352112676,0.0704225352112676,famfold,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.516,0.0,0.0,0.0,0.0,famfold,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1052,0.5384615384615384,0.21212121212121213,0.30434782608695654,0.30434782608695654,famfold,grp1
grp1_a.I1.e.D.salina.C1.SSU.943,0.4583333333333333,0.09016393442622951,0.1506849315068493,0.1506849315068493,famfold,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.287,0.6363636363636364,0.208955223880597,0.3146067415730337,0.3146067415730337,famfold,grp1
grp1_a.I1.e.S.granulatum.C1.SSU.1506,0.64,0.13559322033898305,0.2237762237762238,0.2237762237762238,famfold,grp1
grp1_a.I1.c.S.bicolor.C3.tLEU,0.06976744186046512,0.03614457831325301,0.04761904761904762,0.04761904761904762,famfold,grp1
